LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Number of Lines,Impedance @ Frequency,Tolerance,DC Resistance(DCR),Current Rating,Operating Temperature
C1533913,BLM18DN601SN1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/3b16e30ffcdee37caf484875412efa7d.pdf?productCode=C1533913,440,0.1339,5,5,https://www.lcsc.com/product-detail/C1533913.html,0603,Tape & Reel (TR),1,600Ω@100MHz,±25%,435mΩ,700mA,-55℃~+125℃
C41747050,BLM21PG601SH1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/cbfff71716764302a0bea5ea082ea432.pdf?productCode=C41747050,425,0.0789,5,5,https://www.lcsc.com/product-detail/C41747050.html,0805,Tape & Reel (TR),,,,,,
C668302,BLM18KG601BH1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/8163782b8c85e13d7abf66d8b8c2dad3.pdf?productCode=C668302,410,0.0527,10,10,https://www.lcsc.com/product-detail/C668302.html,0603,Tape & Reel (TR),1,600Ω@100MHz,±25%,150mΩ,1A,-55℃~+150℃
C3716637,ILBB0603ER600V,VISHAY,https://datasheet.lcsc.com/datasheet/pdf/aa9dad5ff0ec6041b126b33fbab815ca.pdf?productCode=C3716637,400,0.0279,10,10,https://www.lcsc.com/product-detail/C3716637.html,0603,Tape & Reel (TR),1,60Ω@100MHz,±25%,100mΩ,100mA,-55℃~+125℃
C2661467,MMZ1608S121ATD25,TDK,https://datasheet.lcsc.com/datasheet/pdf/fab8d2d2124d001f5f7e194a14e1d56a.pdf?productCode=C2661467,400,0.0193,50,50,https://www.lcsc.com/product-detail/C2661467.html,0603,Tape & Reel (TR),1,120Ω@100MHz,±25%,150mΩ,500mA,-55℃~+125℃
C397297,BLM15BA470SN1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/f9ac50304e05b2702008f07ca258ce9a.pdf?productCode=C397297,400,0.0057,100,100,https://www.lcsc.com/product-detail/C397297.html,0402,Tape & Reel (TR),1,47Ω@100MHz,±25%,600mΩ,200mA,-55℃~+125℃
C560054,BLM18AG601BH1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/0b4a23897cfbfcb266e74774e445a0ee.pdf?productCode=C560054,390,0.0577,10,10,https://www.lcsc.com/product-detail/C560054.html,0603,Tape & Reel (TR),1,600Ω@100MHz,±25%,380mΩ,500mA,-55℃~+150℃
C6868431,BBPY00160808600Y00,PULSE,https://datasheet.lcsc.com/datasheet/pdf/99a7bc4204d45bf970094c6487e1252a.pdf?productCode=C6868431,380,0.0266,20,20,https://www.lcsc.com/product-detail/C6868431.html,0603,Tape & Reel (TR),1,60Ω@100MHz,±25%,40mΩ,3A,-55℃~+125℃
C441741,BLM21BD601SH1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/2b9f35c7e82519eec2c7437ad76c70ed.pdf?productCode=C441741,375,0.0868,5,5,https://www.lcsc.com/product-detail/C441741.html,0805,Tape & Reel (TR),1,600Ω@100MHz,±25%,350mΩ,300mA,-55℃~+125℃
C275420,MMZ1005F470ET000,TDK,https://datasheet.lcsc.com/datasheet/pdf/4809a58093646d7c6f777b7170a7d9d9.pdf?productCode=C275420,370,0.0303,10,10,https://www.lcsc.com/product-detail/C275420.html,0402,Tape & Reel (TR),1,47Ω@100MHz,±25%,700mΩ,300mA,-55℃~+125℃
