LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Number of Lines,Impedance @ Frequency,Tolerance,DC Resistance(DCR),Current Rating,Operating Temperature
C3716400,BLM18SP102SN1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/b0420d09ed33c828d6e8ff1ec1ff38fb.pdf?productCode=C3716400,5820,0.1085,5,5,https://www.lcsc.com/product-detail/C3716400.html,0603,Tape & Reel (TR),1,1kΩ@100MHz,±25%,185mΩ,1.2A,-55℃~+125℃
C723884,BLM15HG601SZ1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/b2e007170f353387940373be80151771.pdf?productCode=C723884,5780,0.0309,20,20,https://www.lcsc.com/product-detail/C723884.html,0402,Tape & Reel (TR),1,600Ω@100MHz,±25%,700mΩ,300mA,-55℃~+125℃
C88974,BLM18BB050SN1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/2d503a4b167da9bb5d0eb4a3fa711314.pdf?productCode=C88974,5700,0.0237,50,50,https://www.lcsc.com/product-detail/C88974.html,0603,Tape & Reel (TR),1,5Ω@100MHz,±25%,50mΩ,700mA,-55℃~+125℃
C3716583,BLM18SP601SN1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/b0420d09ed33c828d6e8ff1ec1ff38fb.pdf?productCode=C3716583,5670,0.1915,5,5,https://www.lcsc.com/product-detail/C3716583.html,0603,Tape & Reel (TR),1,600Ω@100MHz,±25%,140mΩ,1.5A,-55℃~+125℃
C413911,MAF1005GAD152AT000,TDK,https://datasheet.lcsc.com/datasheet/pdf/0e6335929b4c37e55312c42aefc6ac8f.pdf?productCode=C413911,5670,0.0737,10,10,https://www.lcsc.com/product-detail/C413911.html,0402,Tape & Reel (TR),1,200Ω@100MHz,±25%,700mΩ,400mA,-55℃~+125℃
C275419,MMZ1005F470CT000,TDK,https://datasheet.lcsc.com/datasheet/pdf/5cb64914119eac12dd818df36ace095d.pdf?productCode=C275419,5600,0.0091,50,50,https://www.lcsc.com/product-detail/C275419.html,0402,Tape & Reel (TR),1,47Ω@100MHz,±25%,600mΩ,100mA,-55℃~+125℃
C275445,MMZ1608R150ATA00,TDK,https://datasheet.lcsc.com/datasheet/pdf/87432f053e79e0383615d7ea0c5b69df.pdf?productCode=C275445,5560,0.0244,20,20,https://www.lcsc.com/product-detail/C275445.html,0603,Tape & Reel (TR),1,15Ω@100MHz,±25%,50mΩ,1.5A,-55℃~+125℃
C269770,BLM15BX750SN1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/f85b01b3a1a015a5ec4a9f03876e0063.pdf?productCode=C269770,5500,0.0081,100,100,https://www.lcsc.com/product-detail/C269770.html,0402,Tape & Reel (TR),1,75Ω@100MHz,±25%,150mΩ,600mA,-55℃~+125℃
C560047,BLM18KG121JH1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/0b4a23897cfbfcb266e74774e445a0ee.pdf?productCode=C560047,5390,0.0572,10,10,https://www.lcsc.com/product-detail/C560047.html,0603,Tape & Reel (TR),1,120Ω@100MHz,±25%,30mΩ,1.9A,-55℃~+150℃
C440134,BLM21BD222SN1L,muRata,https://datasheet.lcsc.com/datasheet/pdf/02bfc87a298765c48304c1f74ec446b1.pdf?productCode=C440134,5380,0.1144,5,5,https://www.lcsc.com/product-detail/C440134.html,0805,Tape & Reel (TR),1,2.25kΩ@100MHz,±25%,600mΩ,250mA,-55℃~+125℃
C113022,BLM18BD222SN1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/138cd0d36536472da378bf00c495d8f0.pdf?productCode=C113022,5360,0.0376,20,20,https://www.lcsc.com/product-detail/C113022.html,0603,Tape & Reel (TR),1,2.2kΩ@100MHz,±25%,1.5Ω,150mA,-55℃~+125℃
C85820,BLM15BD182SN1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/f85b01b3a1a015a5ec4a9f03876e0063.pdf?productCode=C85820,5300,0.0095,100,100,https://www.lcsc.com/product-detail/C85820.html,0402,Tape & Reel (TR),1,1.8kΩ@100MHz,±25%,1.4Ω,100mA,-55℃~+125℃
C560062,BLM15KD200SN1D11,muRata,https://datasheet.lcsc.com/datasheet/pdf/e75043babdebbe8ca9dd2e0ea70ebad9.pdf?productCode=C560062,5250,0.0172,50,50,https://www.lcsc.com/product-detail/C560062.html,0402,Tape & Reel (TR),1,20Ω@100MHz,±25%,11mΩ,3.8A,-55℃~+125℃
C2661933,MU2029-221Y,BOURNS,https://datasheet.lcsc.com/datasheet/pdf/6ef15315d95c60bea477791930eda001.pdf?productCode=C2661933,5240,0.0622,10,10,https://www.lcsc.com/product-detail/C2661933.html,0805,Tape & Reel (TR),1,220Ω@100MHz,±25%,300mΩ,500mA,-55℃~+125℃
