LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Number of Lines,Impedance @ Frequency,Tolerance,DC Resistance(DCR),Current Rating,Operating Temperature
C2661638,MMZ1608B121CTDH5,TDK,https://datasheet.lcsc.com/datasheet/pdf/fab8d2d2124d001f5f7e194a14e1d56a.pdf?productCode=C2661638,3380,0.0290,20,20,https://www.lcsc.com/product-detail/C2661638.html,0603,Tape & Reel (TR),1,120Ω@100MHz,±25%,150mΩ,600mA,
C524529,BLM18HE102SZ1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/210231e81ccd85191206dc40cd6475a9.pdf?productCode=C524529,3380,0.0679,10,10,https://www.lcsc.com/product-detail/C524529.html,0603,Tape & Reel (TR),1,1kΩ@100MHz,±25%,350mΩ,600mA,-55℃~+125℃
C710508,BLM21PG121BH1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/ce88fe4bcc3f46757dcd799dd482696b.pdf?productCode=C710508,3370,0.0625,10,10,https://www.lcsc.com/product-detail/C710508.html,0805,Tape & Reel (TR),1,120Ω@100MHz,±25%,30mΩ,1.55A,-55℃~+150℃
C710387,BLM18PG471SZ1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/e3b16fa972d2984b5e74b7dd315db4b9.pdf?productCode=C710387,3350,0.0186,50,50,https://www.lcsc.com/product-detail/C710387.html,0603,Tape & Reel (TR),1,470Ω@100MHz,±25%,200mΩ,1A,-55℃~+125℃
C1533970,MZ2029-601T,BOURNS,https://datasheet.lcsc.com/datasheet/pdf/6ef15315d95c60bea477791930eda001.pdf?productCode=C1533970,3260,0.0996,5,5,https://www.lcsc.com/product-detail/C1533970.html,0805,Tape & Reel (TR),1,600Ω@100MHz,±25%,400mΩ,200mA,-55℃~+125℃
C275412,MMZ1005A601ET000,TDK,https://datasheet.lcsc.com/datasheet/pdf/4809a58093646d7c6f777b7170a7d9d9.pdf?productCode=C275412,3220,0.0284,20,20,https://www.lcsc.com/product-detail/C275412.html,0402,Tape & Reel (TR),1,600Ω@100MHz,±25%,850mΩ,300mA,-55℃~+125℃
C710353,BLM18AG601SZ1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/275d6a6b9900489555a262315b27af2d.pdf?productCode=C710353,3200,0.0383,20,20,https://www.lcsc.com/product-detail/C710353.html,0603,Tape & Reel (TR),1,600Ω@100MHz,±25%,380mΩ,500mA,-55℃~+125℃
C5598104,BLM21SP700SN1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/0ee383dc36c372afa54e497fdc748330.pdf?productCode=C5598104,3190,0.1727,5,5,https://www.lcsc.com/product-detail/C5598104.html,0805,Tape & Reel (TR),1,70Ω@100MHz,±25%,9mΩ,6A,-55℃~+125℃
C6968654,ILBB0805ER320V,VISHAY,https://datasheet.lcsc.com/datasheet/pdf/2e6c25fe0a8bd056fe8b50c71cffe1b2.pdf?productCode=C6968654,3150,0.0504,10,10,https://www.lcsc.com/product-detail/C6968654.html,0805,Tape & Reel (TR),1,32Ω@100MHz,±25%,300mΩ,200mA,-55℃~+125℃
C711570,BLM21BB331SN1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/02bfc87a298765c48304c1f74ec446b1.pdf?productCode=C711570,3150,0.0673,10,10,https://www.lcsc.com/product-detail/C711570.html,0805,Tape & Reel (TR),1,330Ω@100MHz,±25%,330mΩ,400mA,-55℃~+125℃
C710510,BLM21PG300SZ1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/75ddaa75c3e0197d894f80e0f4cbbf36.pdf?productCode=C710510,3140,0.0472,20,20,https://www.lcsc.com/product-detail/C710510.html,0805,Tape & Reel (TR),1,30Ω@100MHz,±25%,14mΩ,4A,-55℃~+125℃
C710503,BLM21BB750SN1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/6242bda61675039a79fe525df931ed03.pdf?productCode=C710503,3125,0.1225,5,5,https://www.lcsc.com/product-detail/C710503.html,0805,Tape & Reel (TR),1,75Ω@100MHz,±25%,160mΩ,700mA,-55℃~+125℃
C2661573,MAF1608GAD471LTAH0,TDK,https://datasheet.lcsc.com/datasheet/pdf/77e6d2435015be9afe1feb441b9f1e64.pdf?productCode=C2661573,3120,0.0450,10,10,https://www.lcsc.com/product-detail/C2661573.html,0603,Tape & Reel (TR),1,60Ω@100MHz,±25%,75mΩ,1.6A,-
C1533843,ILBB0603ER300V,VISHAY,https://datasheet.lcsc.com/datasheet/pdf/b442b06571b434efb3a2ec0f70ccb9c8.pdf?productCode=C1533843,3120,0.0388,20,20,https://www.lcsc.com/product-detail/C1533843.html,0603,Tape & Reel (TR),1,30Ω@100MHz,±25%,800mΩ,150mA,-55℃~+125℃
C307772,MPZ1608S300ATDH5,TDK,https://datasheet.lcsc.com/datasheet/pdf/f736b4933bebc4d7fd9d10965ffea16d.pdf?productCode=C307772,3100,0.0232,20,20,https://www.lcsc.com/product-detail/C307772.html,0603,Tape & Reel (TR),1,30Ω@100MHz,-,10mΩ,5A,-55℃~+125℃
C2661450,PE-0805PFB600ST,PULSE,https://datasheet.lcsc.com/datasheet/pdf/c3b8e22ba7ae71d08095f536d6488c7d.pdf?productCode=C2661450,3070,0.0567,10,10,https://www.lcsc.com/product-detail/C2661450.html,0805,Tape & Reel (TR),1,60Ω@100MHz,±25%,25mΩ,3A,-40℃~+105℃
C710361,BLM18EG101TZ1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/f67c328301c24fea5f49adbfba9f8f6c.pdf?productCode=C710361,3060,0.0613,10,10,https://www.lcsc.com/product-detail/C710361.html,0603,Tape & Reel (TR),1,100Ω@100MHz,±25%,45mΩ,2A,-55℃~+125℃
C275408,MMZ1005A102ET000,TDK,https://datasheet.lcsc.com/datasheet/pdf/4809a58093646d7c6f777b7170a7d9d9.pdf?productCode=C275408,3060,0.0227,20,20,https://www.lcsc.com/product-detail/C275408.html,0402,Tape & Reel (TR),1,1kΩ@100MHz,±25%,1.25Ω,250mA,-55℃~+125℃
C88973,BLM18BA100SN1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/2d503a4b167da9bb5d0eb4a3fa711314.pdf?productCode=C88973,3060,0.1039,10,10,https://www.lcsc.com/product-detail/C88973.html,0603,Tape & Reel (TR),1,10Ω@100MHz,±25%,250mΩ,500mA,-55℃~+125℃
C7212526,KMZ1608YHR152BTD25,TDK,https://datasheet.lcsc.com/datasheet/pdf/652f81a951ad59080de91844b6f5bb21.pdf?productCode=C7212526,3050,0.0858,5,5,https://www.lcsc.com/product-detail/C7212526.html,0603,Tape & Reel (TR),1,1.5kΩ@100MHz,±25%,600mΩ,300mA,-55℃~+150℃
C275439,MMZ1608D121CTAH0,TDK,https://datasheet.lcsc.com/datasheet/pdf/87432f053e79e0383615d7ea0c5b69df.pdf?productCode=C275439,3050,0.0157,50,50,https://www.lcsc.com/product-detail/C275439.html,0603,Tape & Reel (TR),1,120Ω@100MHz,±25%,300mΩ,400mA,-55℃~+125℃
C3764469,BLM18SP221SZ1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/13e49b40614e8103a667d396d76a6e70.pdf?productCode=C3764469,3045,0.1855,5,5,https://www.lcsc.com/product-detail/C3764469.html,0603,Tape & Reel (TR),1,220Ω@100MHz,±25%,40mΩ,2.8A,-55℃~+125℃
C710384,BLM18PG221SZ1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/602e8b5d7e1ea5bc4b7f63c9b2318323.pdf?productCode=C710384,3020,0.0291,20,20,https://www.lcsc.com/product-detail/C710384.html,0603,Tape & Reel (TR),1,220Ω@100MHz,±25%,100mΩ,1.4A,-55℃~+125℃
