LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Number of Lines,Impedance @ Frequency,Tolerance,DC Resistance(DCR),Current Rating,Operating Temperature
C3716766,BLM21BD222TH1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/d451308a2b8cb34c08916ec24b94fc89.pdf?productCode=C3716766,3015,0.0890,5,5,https://www.lcsc.com/product-detail/C3716766.html,0805,Tape & Reel (TR),1,2.2kΩ@100MHz,±25%,600mΩ,200mA,-55℃~+125℃
C2661947,BLM15GG221SZ1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/21740b36f578847603ef549c65296c80.pdf?productCode=C2661947,3010,0.1298,5,5,https://www.lcsc.com/product-detail/C2661947.html,0402,Tape & Reel (TR),1,220Ω@100MHz,±25%,700mΩ,300mA,-55℃~+125℃
C160987,BLM21PG121SZ1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/d01ccfa469de492cbfb27103ad9ea006.pdf?productCode=C160987,3010,0.0643,10,10,https://www.lcsc.com/product-detail/C160987.html,0805,Tape & Reel (TR),1,120Ω@100MHz,±25%,30mΩ,3A,-55℃~+125℃
C5598068,BLM15HD601SH1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/45952d1191ff01b968127000c6255028.pdf?productCode=C5598068,3000,0.0207,50,50,https://www.lcsc.com/product-detail/C5598068.html,0402,Tape & Reel (TR),1,600Ω@100MHz,±25%,850mΩ,300mA,-55℃~+125℃
C404396,KPZ1608SHR601ATD25,TDK,https://datasheet.lcsc.com/datasheet/pdf/1af8f8c605397e6b36071a20051fa325.pdf?productCode=C404396,2980,0.0883,5,5,https://www.lcsc.com/product-detail/C404396.html,0603,Tape & Reel (TR),1,600Ω@100MHz,±25%,150mΩ,1A,-55℃~+150℃
C701265,BLM21PG331SZ1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/2112cb1c85cfd15d2cf822633f1226f3.pdf?productCode=C701265,2970,0.0395,10,10,https://www.lcsc.com/product-detail/C701265.html,0805,Tape & Reel (TR),1,330Ω@100MHz,±25%,70mΩ,1.5A,-55℃~+125℃
C2661578,BLM18BB100SH1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/c2ce8d9b6a83440f36dd37f39e8c9489.pdf?productCode=C2661578,2920,0.0218,20,20,https://www.lcsc.com/product-detail/C2661578.html,0603,Tape & Reel (TR),1,10Ω@100MHz,±25%,100mΩ,700mA,-55℃~+125℃
C307767,MPZ1608D300BTD25,TDK,https://datasheet.lcsc.com/datasheet/pdf/f736b4933bebc4d7fd9d10965ffea16d.pdf?productCode=C307767,2920,0.0226,20,20,https://www.lcsc.com/product-detail/C307767.html,0603,Tape & Reel (TR),1,30Ω@100MHz,-,60mΩ,1.8A,-55℃~+125℃
C307773,MPZ1608S331ATD25,TDK,https://datasheet.lcsc.com/datasheet/pdf/f736b4933bebc4d7fd9d10965ffea16d.pdf?productCode=C307773,2910,0.0191,10,10,https://www.lcsc.com/product-detail/C307773.html,0603,Tape & Reel (TR),1,330Ω@100MHz,±25%,80mΩ,1.7A,-55℃~+125℃
C6750922,BBPY00201209221Y00,PULSE,https://datasheet.lcsc.com/datasheet/pdf/99a7bc4204d45bf970094c6487e1252a.pdf?productCode=C6750922,2890,0.0434,10,10,https://www.lcsc.com/product-detail/C6750922.html,0805,Tape & Reel (TR),1,220Ω@100MHz,±25%,80mΩ,2A,-55℃~+125℃
C1533840,MH2029-101Y,BOURNS,https://datasheet.lcsc.com/datasheet/pdf/7f0426ef046fbb06a31cef2ca0797607.pdf?productCode=C1533840,2890,0.0741,5,5,https://www.lcsc.com/product-detail/C1533840.html,0805,Tape & Reel (TR),1,100Ω@100MHz,±25%,100mΩ,2A,-55℃~+125℃
C882971,BLM15KD121SN1D11,muRata,https://datasheet.lcsc.com/datasheet/pdf/e75043babdebbe8ca9dd2e0ea70ebad9.pdf?productCode=C882971,2850,0.0168,50,50,https://www.lcsc.com/product-detail/C882971.html,0402,Tape & Reel (TR),-,120Ω@100MHz,±25%,70mΩ,1.5A,-55℃~+125℃
C437400,BLM18BD102SH1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/f7ab88246111b2e9e57c070fda380180.pdf?productCode=C437400,2800,0.0273,20,20,https://www.lcsc.com/product-detail/C437400.html,0603,Tape & Reel (TR),1,1kΩ@100MHz,±25%,850mΩ,200mA,-55℃~+125℃
C710365,BLM18EG221TZ1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/f67c328301c24fea5f49adbfba9f8f6c.pdf?productCode=C710365,2790,0.0549,10,10,https://www.lcsc.com/product-detail/C710365.html,0603,Tape & Reel (TR),1,220Ω@100MHz,±25%,150mΩ,1A,-55℃~+125℃
C2661775,MMZ2012Y301BTD25,TDK,https://datasheet.lcsc.com/datasheet/pdf/aae2bf22559af779dc120e2472e9332e.pdf?productCode=C2661775,2773,0.0496,1,1,https://www.lcsc.com/product-detail/C2661775.html,0805,Tape & Reel (TR),1,300Ω@100MHz,±25%,150mΩ,600mA,-55℃~+125℃
C5374769,BLM18HE102SH1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/eb25d43f04cfb53ece4cc23f585cfdda.pdf?productCode=C5374769,2750,0.0780,5,5,https://www.lcsc.com/product-detail/C5374769.html,0603,Tape & Reel (TR),1,1kΩ@100MHz,±25%,350mΩ,600mA,-55℃~+125℃
C3716913,BLE18PK160SN1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/6187cfb8644571f71c232046c552035f.pdf?productCode=C3716913,2745,0.1179,5,5,https://www.lcsc.com/product-detail/C3716913.html,0603,Tape & Reel (TR),1,16Ω@100MHz,±25%,12mΩ,5A,-55℃~+125℃
C5578407,BLM21SP601BH1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/df0003f5c1f1263c69b841fd1c80c0f5.pdf?productCode=C5578407,2730,0.3215,5,5,https://www.lcsc.com/product-detail/C5578407.html,0805,Tape & Reel (TR),1,600Ω@100MHz,±25%,60mΩ,2.3A,-55℃~+150℃
C76802,MMZ1005A152ET000,TDK,https://datasheet.lcsc.com/datasheet/pdf/4809a58093646d7c6f777b7170a7d9d9.pdf?productCode=C76802,2720,0.0288,20,20,https://www.lcsc.com/product-detail/C76802.html,0402,Tape & Reel (TR),1,1.5kΩ@100MHz,±25%,1.6Ω,230mA,-55℃~+125℃
C710504,BLM21BD151SN1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/6242bda61675039a79fe525df931ed03.pdf?productCode=C710504,2670,0.0546,10,10,https://www.lcsc.com/product-detail/C710504.html,0805,Tape & Reel (TR),1,150Ω@100MHz,±25%,250mΩ,350mA,-55℃~+125℃
C596495,BLM18BD102SZ1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/13e49b40614e8103a667d396d76a6e70.pdf?productCode=C596495,2640,0.0248,20,20,https://www.lcsc.com/product-detail/C596495.html,0603,Tape & Reel (TR),1,1kΩ@100MHz,±25%,850mΩ,200mA,-55℃~+125℃
C139471,MU1608-221Y,BOURNS,https://datasheet.lcsc.com/datasheet/pdf/31ed0ecc3b384ba7b1cef9c9b67c407b.pdf?productCode=C139471,2640,0.0507,10,10,https://www.lcsc.com/product-detail/C139471.html,0603,Tape & Reel (TR),1,220Ω@100MHz,±25%,300mΩ,200mA,-55℃~+125℃
C5954453,BMC1EY0070AN,TE Connectivity,https://datasheet.lcsc.com/datasheet/pdf/2d281cbff39dc0ea61e863cd08cdf44c.pdf?productCode=C5954453,2630,0.0739,10,10,https://www.lcsc.com/product-detail/C5954453.html,0402,Tape & Reel (TR),1,70Ω@100MHz,±25%,400mΩ,200mA,-55℃~+125℃
C2661784,BLM21SP331SH1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/be003126cb51e2cdfc8c2f6e84627b0f.pdf?productCode=C2661784,2605,0.2189,5,5,https://www.lcsc.com/product-detail/C2661784.html,0805,Tape & Reel (TR),1,330Ω@100MHz,±25%,40mΩ,2.8A,-55℃~+125℃
C113035,BLM21BB050SN1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/1addff62e5484bf39ea4690b7cc5dd21.pdf?productCode=C113035,2590,0.0710,10,10,https://www.lcsc.com/product-detail/C113035.html,0805,Tape & Reel (TR),1,5Ω@100MHz,±25%,20mΩ,1A,-55℃~+125℃
C6869200,BLM18BD152BH1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/c806a198e0fa32fb4051b4eb50e1cf8e.pdf?productCode=C6869200,2560,0.0244,20,20,https://www.lcsc.com/product-detail/C6869200.html,0603,Tape & Reel (TR),1,1.5kΩ@100MHz,±25%,1.2Ω,150mA,-55℃~+150℃
C1533880,BLM15HB221SH1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/964cb2c5c1f2a1a104c55473cafd3d88.pdf?productCode=C1533880,2500,0.0288,20,20,https://www.lcsc.com/product-detail/C1533880.html,0402,Tape & Reel (TR),1,220Ω@100MHz,±25%,1Ω,250mA,-55℃~+125℃
C6869202,BLM21HE601SH1L,muRata,https://datasheet.lcsc.com/datasheet/pdf/350e7ba1e29d36aca7e8da9ccfd70259.pdf?productCode=C6869202,2490,0.3736,5,5,https://www.lcsc.com/product-detail/C6869202.html,0805,Tape & Reel (TR),1,600Ω@100MHz,±25%,55mΩ,2.3A,-55℃~+125℃
C780182,MH2029-600Y,BOURNS,https://datasheet.lcsc.com/datasheet/pdf/7f0426ef046fbb06a31cef2ca0797607.pdf?productCode=C780182,2480,0.0868,5,5,https://www.lcsc.com/product-detail/C780182.html,0805,Tape & Reel (TR),1,60Ω@100MHz,±25%,20mΩ,5A,-55℃~+125℃
C710338,BLM15EG221SZ1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/2e4c08717e4c73448844ea7907b87b7c.pdf?productCode=C710338,2480,0.0301,20,20,https://www.lcsc.com/product-detail/C710338.html,0402,Tape & Reel (TR),1,220Ω@100MHz,±25%,280mΩ,700mA,-55℃~+125℃
C2661880,MMZ1608D301BTD25,TDK,https://datasheet.lcsc.com/datasheet/pdf/fab8d2d2124d001f5f7e194a14e1d56a.pdf?productCode=C2661880,2450,0.0192,50,50,https://www.lcsc.com/product-detail/C2661880.html,0603,Tape & Reel (TR),1,300Ω@100MHz,±25%,700mΩ,300mA,-55℃~+125℃
C710337,BLM15EG121SZ1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/2e4c08717e4c73448844ea7907b87b7c.pdf?productCode=C710337,2440,0.0538,20,20,https://www.lcsc.com/product-detail/C710337.html,0402,Tape & Reel (TR),1,120Ω@100MHz,±25%,95mΩ,1.5A,-55℃~+125℃
C701156,BLM18EG221TH1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/49fedd63cdb8cd4ace8cb2774b5e5ff7.pdf?productCode=C701156,2440,0.0690,10,10,https://www.lcsc.com/product-detail/C701156.html,0603,Tape & Reel (TR),1,220Ω@100MHz,±25%,150mΩ,1A,-55℃~+125℃
C437402,BLM18HD601SH1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/4da4ddc10286ebc40a4f884e0b0a6145.pdf?productCode=C437402,2440,0.0532,20,20,https://www.lcsc.com/product-detail/C437402.html,0603,Tape & Reel (TR),1,600Ω@100MHz,±25%,1.5Ω,100mA,-55℃~+125℃
C237604,BLM21BB201SH1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/2b9f35c7e82519eec2c7437ad76c70ed.pdf?productCode=C237604,2435,0.1240,5,5,https://www.lcsc.com/product-detail/C237604.html,0805,Tape & Reel (TR),1,200Ω@100MHz,±25%,260mΩ,500mA,-55℃~+125℃
C139474,MU2029-151Y,BOURNS,https://datasheet.lcsc.com/datasheet/pdf/31ed0ecc3b384ba7b1cef9c9b67c407b.pdf?productCode=C139474,2430,0.0524,10,10,https://www.lcsc.com/product-detail/C139474.html,0805,Tape & Reel (TR),1,150Ω@100MHz,±25%,250mΩ,600mA,-55℃~+125℃
C307758,MMZ1608B102CTD25,TDK,https://datasheet.lcsc.com/datasheet/pdf/fab8d2d2124d001f5f7e194a14e1d56a.pdf?productCode=C307758,2420,0.0280,20,20,https://www.lcsc.com/product-detail/C307758.html,0603,Tape & Reel (TR),1,1kΩ@100MHz,±25%,600mΩ,300mA,-55℃~+125℃
C3764407,BLE18PS080SN1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/6187cfb8644571f71c232046c552035f.pdf?productCode=C3764407,2370,0.1516,5,5,https://www.lcsc.com/product-detail/C3764407.html,0603,Tape & Reel (TR),1,8.5Ω@100MHz,±25%,4mΩ,5A,-55℃~+125℃
C701257,BLM21PG300SH1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/2b9f35c7e82519eec2c7437ad76c70ed.pdf?productCode=C701257,2340,0.0352,20,20,https://www.lcsc.com/product-detail/C701257.html,0805,Tape & Reel (TR),1,30Ω@100MHz,±25%,14mΩ,4A,-55℃~+125℃
C710339,BLM15GG471SZ1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/21740b36f578847603ef549c65296c80.pdf?productCode=C710339,2310,0.1940,5,5,https://www.lcsc.com/product-detail/C710339.html,0402,Tape & Reel (TR),1,470Ω@100MHz,±25%,1.3Ω,200mA,-55℃~+125℃
C3716705,BLM18PG330SZ1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/13e49b40614e8103a667d396d76a6e70.pdf?productCode=C3716705,2300,0.0437,20,20,https://www.lcsc.com/product-detail/C3716705.html,0603,Tape & Reel (TR),1,33Ω@100MHz,±25%,25mΩ,3A,-55℃~+125℃
C2661789,BLM21SP102SH1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/34fabb2349e60cffc41d2d29fab6f114.pdf?productCode=C2661789,2300,0.1627,5,5,https://www.lcsc.com/product-detail/C2661789.html,0805,Tape & Reel (TR),1,1kΩ@100MHz,±25%,120mΩ,1.6A,-55℃~+125℃
C710506,BLM21BD331SN1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/6242bda61675039a79fe525df931ed03.pdf?productCode=C710506,2260,0.0584,10,10,https://www.lcsc.com/product-detail/C710506.html,0805,Tape & Reel (TR),1,330Ω@100MHz,±25%,300mΩ,300mA,-55℃~+125℃
C5143540,BLM21SP700SZ1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/72175fbb77ef30c456c8436fda7b79de.pdf?productCode=C5143540,2215,0.2940,5,5,https://www.lcsc.com/product-detail/C5143540.html,0805,Tape & Reel (TR),1,70Ω@100MHz,±25%,9mΩ,6A,-55℃~+125℃
C139463,MG2029-121Y,BOURNS,https://datasheet.lcsc.com/datasheet/pdf/31ed0ecc3b384ba7b1cef9c9b67c407b.pdf?productCode=C139463,2190,0.0423,5,5,https://www.lcsc.com/product-detail/C139463.html,0805,Tape & Reel (TR),1,120Ω@100MHz,±25%,300mΩ,800mA,-55℃~+125℃
C1513036,MDF1005GAD102ATD25,TDK,https://datasheet.lcsc.com/datasheet/pdf/c82adfb05de0f7b9289e1a27f9d95630.pdf?productCode=C1513036,2155,0.1287,5,5,https://www.lcsc.com/product-detail/C1513036.html,0402,Tape & Reel (TR),1,1kΩ@900MHz,±25%,690mΩ,550mA,-55℃~+125℃
C783274,BLM15HD102SZ1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/9da86dd80055cca554845caa215ced52.pdf?productCode=C783274,2150,0.0194,50,50,https://www.lcsc.com/product-detail/C783274.html,0402,Tape & Reel (TR),1,1kΩ@100MHz,±25%,1.25Ω,250mA,-55℃~+125℃
C94265,MMZ1608S181ATA00,TDK,https://datasheet.lcsc.com/datasheet/pdf/87432f053e79e0383615d7ea0c5b69df.pdf?productCode=C94265,2100,0.0284,10,10,https://www.lcsc.com/product-detail/C94265.html,0603,Tape & Reel (TR),1,180Ω@100MHz,±25%,200mΩ,500mA,-55℃~+125℃
C1235333,BLM21BD121SH1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/3dfe47a4f58d63f3b94af79302b61975.pdf?productCode=C1235333,2070,0.0738,10,10,https://www.lcsc.com/product-detail/C1235333.html,0805,Tape & Reel (TR),1,120Ω@100MHz,±25%,250mΩ,350mA,-55℃~+125℃
C1533901,BLM18DN221SZ1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/ab062a3a4e96a819ff5ec326d6770734.pdf?productCode=C1533901,2020,0.1344,5,5,https://www.lcsc.com/product-detail/C1533901.html,0603,Tape & Reel (TR),1,220Ω@100MHz,±25%,210mΩ,1A,-55℃~+125℃
C710509,BLM21PG220BH1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/ce88fe4bcc3f46757dcd799dd482696b.pdf?productCode=C710509,2020,0.0657,10,10,https://www.lcsc.com/product-detail/C710509.html,0805,Tape & Reel (TR),1,22Ω@100MHz,±25%,9mΩ,3.3A,-55℃~+150℃
C3716538,MMZ1608SHE601ATD25,TDK,https://datasheet.lcsc.com/datasheet/pdf/0a1db82f15627954b1c1c952073361a8.pdf?productCode=C3716538,1970,0.0424,10,10,https://www.lcsc.com/product-detail/C3716538.html,0603,Tape & Reel (TR),1,600Ω@100MHz,±25%,350mΩ,500mA,-55℃~+150℃
C307761,MMZ1608R102ATD25,TDK,https://datasheet.lcsc.com/datasheet/pdf/fab8d2d2124d001f5f7e194a14e1d56a.pdf?productCode=C307761,1940,0.0234,20,20,https://www.lcsc.com/product-detail/C307761.html,0603,Tape & Reel (TR),1,1kΩ@100MHz,±25%,500mΩ,400mA,-55℃~+125℃
C167448,BLM15GG221SN1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/c9501b0b9c379a89e9b79c5ce118a5f3.pdf?productCode=C167448,1880,0.1066,5,5,https://www.lcsc.com/product-detail/C167448.html,0402,Tape & Reel (TR),1,220Ω@100MHz,±25%,700mΩ,300mA,-
C907937,BLM18EG331TH1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/8cf48a9fb425f820b9f08ec84784b924.pdf?productCode=C907937,1860,0.0851,10,10,https://www.lcsc.com/product-detail/C907937.html,0603,Tape & Reel (TR),1,330Ω@100MHz,±25%,210mΩ,500mA,-55℃~+125℃
C113023,BLM18BD421SN1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/138cd0d36536472da378bf00c495d8f0.pdf?productCode=C113023,1850,0.0126,50,50,https://www.lcsc.com/product-detail/C113023.html,0603,Tape & Reel (TR),1,420Ω@100MHz,±25%,550mΩ,250mA,-55℃~+125℃
C237300,BLM21PG600SZ1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/2112cb1c85cfd15d2cf822633f1226f3.pdf?productCode=C237300,1840,0.0369,20,20,https://www.lcsc.com/product-detail/C237300.html,0805,Tape & Reel (TR),1,60Ω@100MHz,±25%,20mΩ,3.5A,-55℃~+125℃
C15014,MMZ2012S601AT000,TDK,https://datasheet.lcsc.com/datasheet/pdf/40368da21a4744be8f2f2fb7909b7ca6.pdf?productCode=C15014,1840,0.0320,20,20,https://www.lcsc.com/product-detail/C15014.html,0805,Tape & Reel (TR),1,600Ω@100MHz,±25%,300mΩ,500mA,-55℃~+125℃
C139459,MG1608-101Y,BOURNS,https://datasheet.lcsc.com/datasheet/pdf/31ed0ecc3b384ba7b1cef9c9b67c407b.pdf?productCode=C139459,1820,0.0262,10,10,https://www.lcsc.com/product-detail/C139459.html,0603,Tape & Reel (TR),1,100Ω@100MHz,±25%,250mΩ,200mA,-55℃~+125℃
C275454,MMZ1608Y152BTA00,TDK,https://datasheet.lcsc.com/datasheet/pdf/87432f053e79e0383615d7ea0c5b69df.pdf?productCode=C275454,1770,0.0168,10,10,https://www.lcsc.com/product-detail/C275454.html,0603,Tape & Reel (TR),1,1.5kΩ@100MHz,±25%,600mΩ,300mA,-55℃~+125℃
C695168,MMZ1608Q121BTA00,TDK,https://datasheet.lcsc.com/datasheet/pdf/87432f053e79e0383615d7ea0c5b69df.pdf?productCode=C695168,1750,0.0186,50,50,https://www.lcsc.com/product-detail/C695168.html,0603,Tape & Reel (TR),1,120Ω@100MHz,±25%,300mΩ,500mA,-55℃~+125℃
