LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Number of Lines,Impedance @ Frequency,Tolerance,DC Resistance(DCR),Current Rating,Operating Temperature
C501996,MPZ1608Y101BTA00,TDK,https://datasheet.lcsc.com/datasheet/pdf/5525eadde63874e80c8e8f485485d5a6.pdf?productCode=C501996,10920,0.0271,20,20,https://www.lcsc.com/product-detail/C501996.html,0603,Tape & Reel (TR),1,100Ω@100MHz,±25%,40mΩ,2A,-55℃~+125℃
C193412,MMZ1005S102HT000,TDK,https://datasheet.lcsc.com/datasheet/pdf/6578fba18f32b5dac3fd1f899fc6058a.pdf?productCode=C193412,10780,0.0189,10,10,https://www.lcsc.com/product-detail/C193412.html,0402,Tape & Reel (TR),1,1kΩ@100MHz,±25%,490mΩ,360mA,-55℃~+125℃
C840592,MH2029-601Y,BOURNS,https://datasheet.lcsc.com/datasheet/pdf/7f0426ef046fbb06a31cef2ca0797607.pdf?productCode=C840592,10580,0.0702,10,10,https://www.lcsc.com/product-detail/C840592.html,0805,Tape & Reel (TR),1,600Ω@100MHz,±25%,200mΩ,1A,-55℃~+125℃
C596497,BLM15BB220SN1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/f9ac50304e05b2702008f07ca258ce9a.pdf?productCode=C596497,10550,0.0139,50,50,https://www.lcsc.com/product-detail/C596497.html,0402,Tape & Reel (TR),1,22Ω@100MHz,±25%,200mΩ,300mA,-55℃~+125℃
C442498,ILHB0805ER121V,VISHAY,https://datasheet.lcsc.com/datasheet/pdf/d7d8f720322ba0c040b0403964bbd13d.pdf?productCode=C442498,10310,0.0847,10,10,https://www.lcsc.com/product-detail/C442498.html,0805,Tape & Reel (TR),1,120Ω@100MHz,±25%,30mΩ,3A,-55℃~+125℃
C337883,BLM21PG600SH1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/2b9f35c7e82519eec2c7437ad76c70ed.pdf?productCode=C337883,10170,0.0914,10,10,https://www.lcsc.com/product-detail/C337883.html,0805,Tape & Reel (TR),1,60Ω@100MHz,±25%,20mΩ,3.5A,-55℃~+125℃
C7509833,BLM15PX601SH1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/d12c04bbd2c2d6885be3ff9ad21057d0.pdf?productCode=C7509833,10095,0.1787,5,5,https://www.lcsc.com/product-detail/C7509833.html,0402,Tape & Reel (TR),1,600Ω@100MHz,±25%,230mΩ,900mA,-55℃~+125℃
C88964,BLM15GG471SN1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/46ffb28894294ca99ee16b717c565e1a.pdf?productCode=C88964,10040,0.2443,5,5,https://www.lcsc.com/product-detail/C88964.html,0402,Tape & Reel (TR),1,470Ω@100MHz,±25%,1.3Ω,200mA,-55℃~+125℃
C2833000,MAF1005GWZ102AT000,TDK,https://datasheet.lcsc.com/datasheet/pdf/8be8f6f5db2d5d7d12a82d918651c4e9.pdf?productCode=C2833000,10030,0.0548,10,10,https://www.lcsc.com/product-detail/C2833000.html,0402,Tape & Reel (TR),,,,,150mA,
C6131963,BLM15PE331SH1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/d12c04bbd2c2d6885be3ff9ad21057d0.pdf?productCode=C6131963,9980,0.0481,20,20,https://www.lcsc.com/product-detail/C6131963.html,0402,Tape & Reel (TR),1,330Ω@100MHz,±25%,210mΩ,1A,-55℃~+125℃
C3716558,BLM15HB221SZ1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/a5251b238e3a3978de8c3f8b384433db.pdf?productCode=C3716558,9980,0.0334,20,20,https://www.lcsc.com/product-detail/C3716558.html,0402,Tape & Reel (TR),1,220Ω@100MHz,±25%,1Ω,250mA,-55℃~+125℃
C840593,MH2029-300Y,BOURNS,https://datasheet.lcsc.com/datasheet/pdf/7f0426ef046fbb06a31cef2ca0797607.pdf?productCode=C840593,9960,0.0492,10,10,https://www.lcsc.com/product-detail/C840593.html,0805,Tape & Reel (TR),1,30Ω@100MHz,±25%,3mΩ,3A,-55℃~+125℃
C710347,BLM15PX601SZ1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/40e60f8537126a31d49777ebc6c609ca.pdf?productCode=C710347,9960,0.0357,20,20,https://www.lcsc.com/product-detail/C710347.html,0402,Tape & Reel (TR),1,600Ω@100MHz,±25%,230mΩ,900mA,-55℃~+125℃
C432169,BLM18KG471SH1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/f7ab88246111b2e9e57c070fda380180.pdf?productCode=C432169,9960,0.0513,20,20,https://www.lcsc.com/product-detail/C432169.html,0603,Tape & Reel (TR),1,470Ω@100MHz,±25%,130mΩ,1.5A,-55℃~+125℃
C2661897,BLM18SG221TZ1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/275d6a6b9900489555a262315b27af2d.pdf?productCode=C2661897,9915,0.0951,5,5,https://www.lcsc.com/product-detail/C2661897.html,0603,Tape & Reel (TR),1,220Ω@100MHz,±25%,40mΩ,2.5A,-55℃~+125℃
C3716829,BLM15HD601BH1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/3c12a5c556c5dbcfd2bee2b2e2b3f8b3.pdf?productCode=C3716829,9900,0.0408,10,10,https://www.lcsc.com/product-detail/C3716829.html,0402,Tape & Reel (TR),1,600Ω@100MHz,±25%,850mΩ,300mA,-55℃~+150℃
C710331,BLM15BB100SZ1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/40e60f8537126a31d49777ebc6c609ca.pdf?productCode=C710331,9900,0.0096,50,50,https://www.lcsc.com/product-detail/C710331.html,0402,Tape & Reel (TR),1,10Ω@100MHz,±25%,100mΩ,300mA,-55℃~+125℃
C560050,BLM15PX221SZ1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/9f04e1cfeb369f3ae2900e7ed7ddee06.pdf?productCode=C560050,9880,0.0325,20,20,https://www.lcsc.com/product-detail/C560050.html,0402,Tape & Reel (TR),1,220Ω@100MHz,±25%,100mΩ,1.4A,-55℃~+125℃
C6673658,MMZ1005F181ET000,TDK,https://datasheet.lcsc.com/datasheet/pdf/4809a58093646d7c6f777b7170a7d9d9.pdf?productCode=C6673658,9820,0.0334,20,20,https://www.lcsc.com/product-detail/C6673658.html,0402,Tape & Reel (TR),1,180Ω@100MHz,±25%,1.6Ω,200mA,-55℃~+125℃
C560060,BLM15AG601SN1D11,muRata,https://datasheet.lcsc.com/datasheet/pdf/e75043babdebbe8ca9dd2e0ea70ebad9.pdf?productCode=C560060,9800,0.0130,50,50,https://www.lcsc.com/product-detail/C560060.html,0402,Tape & Reel (TR),1,600Ω@100MHz,±25%,520mΩ,300mA,-55℃~+125℃
C531393,MAF1005GAD701DT000,TDK,https://datasheet.lcsc.com/datasheet/pdf/0e6335929b4c37e55312c42aefc6ac8f.pdf?productCode=C531393,9795,0.0736,5,5,https://www.lcsc.com/product-detail/C531393.html,0402,Tape & Reel (TR),1,105Ω@100MHz,±25%,351mΩ,800mA,-55℃~+125℃
C2986272,NFZ15SG331SN11D,muRata,https://datasheet.lcsc.com/datasheet/pdf/c5eb2ab63e31dac1cfd52cdbf8919cc7.pdf?productCode=C2986272,9710,0.0688,10,10,https://www.lcsc.com/product-detail/C2986272.html,0402,Tape & Reel (TR),1,330Ω@900MHz,-,300mΩ,300mA,-40℃~+85℃
C710340,BLM15HD601SZ1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/17144fffe5b71f61ed594b23239eb2f7.pdf?productCode=C710340,9400,0.0311,20,20,https://www.lcsc.com/product-detail/C710340.html,0402,Tape & Reel (TR),1,600Ω@100MHz,±25%,850mΩ,300mA,-55℃~+125℃
C7509800,BLM15PX221BH1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/e1cb09a45c786bd09f4eee4a59fa8340.pdf?productCode=C7509800,9365,0.2073,5,5,https://www.lcsc.com/product-detail/C7509800.html,0402,Tape & Reel (TR),1,220Ω@100MHz,±25%,100mΩ,1.4A,-55℃~+150℃
C193388,MMZ1005S601CTD25,TDK,https://datasheet.lcsc.com/datasheet/pdf/a624fe9bbcfa218798e6d6b222dc314e.pdf?productCode=C193388,9350,0.0096,50,50,https://www.lcsc.com/product-detail/C193388.html,0402,Tape & Reel (TR),1,600Ω@100MHz,±25%,520mΩ,300mA,-55℃~+125℃
C17141,BLM18BB121SN1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/2d503a4b167da9bb5d0eb4a3fa711314.pdf?productCode=C17141,9260,0.0353,20,20,https://www.lcsc.com/product-detail/C17141.html,0603,Tape & Reel (TR),1,120Ω@100MHz,±25%,300mΩ,550mA,-55℃~+125℃
C560053,BLM18KG221BH1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/0b4a23897cfbfcb266e74774e445a0ee.pdf?productCode=C560053,9170,0.0855,10,10,https://www.lcsc.com/product-detail/C560053.html,0603,Tape & Reel (TR),1,220Ω@100MHz,±25%,50mΩ,1A,-55℃~+150℃
C396652,BLM18KG121TZ1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/0b2ba9df31d2f15cc1921ba428af2626.pdf?productCode=C396652,9140,0.0400,20,20,https://www.lcsc.com/product-detail/C396652.html,0603,Tape & Reel (TR),1,120Ω@100MHz,±25%,30mΩ,3A,-55℃~+125℃
C527619,BLM15EX221SN1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/9f98a9f88c1f8ce65ed99729dbc3bfab.pdf?productCode=C527619,9120,0.0414,10,10,https://www.lcsc.com/product-detail/C527619.html,0402,Tape & Reel (TR),1,220Ω@100MHz,±25%,140mΩ,1.3A,-55℃~+125℃
C7303942,MMZ1005D121ET000,TDK,https://datasheet.lcsc.com/datasheet/pdf/4809a58093646d7c6f777b7170a7d9d9.pdf?productCode=C7303942,9100,0.0170,50,50,https://www.lcsc.com/product-detail/C7303942.html,0402,Tape & Reel (TR),1,120Ω@100MHz,±25%,700mΩ,300mA,-55℃~+125℃
C880687,MPZ1005F470ETD25,TDK,https://datasheet.lcsc.com/datasheet/pdf/5eecdb70d24b990a6352139cb8b9e378.pdf?productCode=C880687,9060,0.0530,10,10,https://www.lcsc.com/product-detail/C880687.html,0402,Tape & Reel (TR),1,47Ω@100MHz,±25%,450mΩ,450mA,-55℃~+125℃
C76805,MMZ1005S800CT000,TDK,https://datasheet.lcsc.com/datasheet/pdf/5cb64914119eac12dd818df36ace095d.pdf?productCode=C76805,9025,0.0125,1,1,https://www.lcsc.com/product-detail/C76805.html,0402,Tape & Reel (TR),1,80Ω@100MHz,±25%,120mΩ,500mA,-55℃~+125℃
C165810,MPZ1005S221ETD25,TDK,https://datasheet.lcsc.com/datasheet/pdf/5eecdb70d24b990a6352139cb8b9e378.pdf?productCode=C165810,9000,0.0321,20,20,https://www.lcsc.com/product-detail/C165810.html,0402,Tape & Reel (TR),1,220Ω@100MHz,±25%,220mΩ,900mA,-55℃~+125℃
C87552,MMZ1005Y601CT000,TDK,https://datasheet.lcsc.com/datasheet/pdf/5cb64914119eac12dd818df36ace095d.pdf?productCode=C87552,9000,0.0080,100,100,https://www.lcsc.com/product-detail/C87552.html,0402,Tape & Reel (TR),1,600Ω@100MHz,±25%,540mΩ,250mA,-55℃~+125℃
C668299,BLM15AX100SN1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/610e45bbcfbca895c7b6a1ac60517363.pdf?productCode=C668299,8900,0.0144,50,50,https://www.lcsc.com/product-detail/C668299.html,0402,Tape & Reel (TR),1,10Ω@100MHz,±25%,15mΩ,1.74A,-55℃~+125℃
C94131,BLM15BD221SN1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/f85b01b3a1a015a5ec4a9f03876e0063.pdf?productCode=C94131,8800,0.0141,50,50,https://www.lcsc.com/product-detail/C94131.html,0402,Tape & Reel (TR),1,220Ω@100MHz,±25%,400mΩ,300mA,-55℃~+125℃
C560058,BLM18KG102BH1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/0b4a23897cfbfcb266e74774e445a0ee.pdf?productCode=C560058,8500,0.0704,10,10,https://www.lcsc.com/product-detail/C560058.html,0603,Tape & Reel (TR),1,1kΩ@100MHz,±25%,200mΩ,800mA,-55℃~+150℃
C501997,MPZ1608D300BTA00,TDK,https://datasheet.lcsc.com/datasheet/pdf/5525eadde63874e80c8e8f485485d5a6.pdf?productCode=C501997,8500,0.0163,50,50,https://www.lcsc.com/product-detail/C501997.html,0603,Tape & Reel (TR),1,30Ω@100MHz,±25%,60mΩ,1.8A,-55℃~+125℃
C404687,MPZ1005S121CTD25,TDK,https://datasheet.lcsc.com/datasheet/pdf/f3f9f00dc17a4e4a57d5507b658c8475.pdf?productCode=C404687,8460,0.0195,20,20,https://www.lcsc.com/product-detail/C404687.html,0402,Tape & Reel (TR),1,120Ω@100MHz,±25%,90mΩ,1.2A,-55℃~+125℃
C113025,BLM18EG221TN1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/f56d59225adc45bfab675df0e0fbb20e.pdf?productCode=C113025,8430,0.0810,10,10,https://www.lcsc.com/product-detail/C113025.html,0603,Tape & Reel (TR),1,220Ω@100MHz,±25%,150mΩ,1A,-55℃~+125℃
C160968,BLM15AX700SN1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/a01134fb8896253eb817b94b5e7cbf19.pdf?productCode=C160968,8400,0.0108,50,50,https://www.lcsc.com/product-detail/C160968.html,0402,Tape & Reel (TR),1,70Ω@100MHz,±25%,100mΩ,780mA,-55℃~+125℃
C89458,MMZ1005F121ET000,TDK,https://datasheet.lcsc.com/datasheet/pdf/4809a58093646d7c6f777b7170a7d9d9.pdf?productCode=C89458,8310,0.0241,10,10,https://www.lcsc.com/product-detail/C89458.html,0402,Tape & Reel (TR),1,120Ω@100MHz,±25%,1.5Ω,200mA,-55℃~+125℃
C107326,MMZ1608R601ATA00,TDK,https://datasheet.lcsc.com/datasheet/pdf/87432f053e79e0383615d7ea0c5b69df.pdf?productCode=C107326,8200,0.0115,50,50,https://www.lcsc.com/product-detail/C107326.html,0603,Tape & Reel (TR),1,600Ω@100MHz,±25%,400mΩ,500mA,-55℃~+125℃
C1512132,BLM18SP102SH1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/c2ce8d9b6a83440f36dd37f39e8c9489.pdf?productCode=C1512132,8160,0.2955,5,5,https://www.lcsc.com/product-detail/C1512132.html,0603,Tape & Reel (TR),1,1kΩ@100MHz,±25%,185mΩ,1.2A,-55℃~+125℃
C307763,MMZ1608S102ATD25,TDK,https://datasheet.lcsc.com/datasheet/pdf/fab8d2d2124d001f5f7e194a14e1d56a.pdf?productCode=C307763,8160,0.0286,20,20,https://www.lcsc.com/product-detail/C307763.html,0603,Tape & Reel (TR),1,1kΩ@100MHz,±25%,500mΩ,400mA,-55℃~+125℃
C97851,BLM18BD121SN1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/2d503a4b167da9bb5d0eb4a3fa711314.pdf?productCode=C97851,8160,0.0337,20,20,https://www.lcsc.com/product-detail/C97851.html,0603,Tape & Reel (TR),1,120Ω@100MHz,±25%,400mΩ,300mA,-55℃~+125℃
C165811,MPZ1005S221ET000,TDK,https://datasheet.lcsc.com/datasheet/pdf/08f042b5ebd8f2638022c64aa0b90155.pdf?productCode=C165811,8150,0.0204,50,50,https://www.lcsc.com/product-detail/C165811.html,0402,Tape & Reel (TR),1,220Ω@100MHz,±25%,220mΩ,900mA,-55℃~+125℃
C275415,MMZ1005D221ET000,TDK,https://datasheet.lcsc.com/datasheet/pdf/4809a58093646d7c6f777b7170a7d9d9.pdf?productCode=C275415,8063,0.0240,1,1,https://www.lcsc.com/product-detail/C275415.html,0402,Tape & Reel (TR),1,220Ω@100MHz,±25%,1Ω,250mA,-55℃~+125℃
C275442,MMZ1608D800CTAH0,TDK,https://datasheet.lcsc.com/datasheet/pdf/87432f053e79e0383615d7ea0c5b69df.pdf?productCode=C275442,8040,0.0170,10,10,https://www.lcsc.com/product-detail/C275442.html,0603,Tape & Reel (TR),1,80Ω@100MHz,±25%,300mΩ,500mA,-55℃~+125℃
C1870222,MPZ1005S221HT000,TDK,https://datasheet.lcsc.com/datasheet/pdf/8d03624d294aba7f515f7107402d6929.pdf?productCode=C1870222,8020,0.0147,10,10,https://www.lcsc.com/product-detail/C1870222.html,0402,Tape & Reel (TR),1,220Ω@100MHz,±25%,95mΩ,1.5A,-55℃~+125℃
C404684,MPZ1608D101BTD25,TDK,https://datasheet.lcsc.com/datasheet/pdf/f736b4933bebc4d7fd9d10965ffea16d.pdf?productCode=C404684,8000,0.0171,50,50,https://www.lcsc.com/product-detail/C404684.html,0603,Tape & Reel (TR),1,100Ω@100MHz,±25%,150mΩ,1A,-55℃~+125℃
C2661668,BLM18BD222SH1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/c2ce8d9b6a83440f36dd37f39e8c9489.pdf?productCode=C2661668,7940,0.0512,20,20,https://www.lcsc.com/product-detail/C2661668.html,0603,Tape & Reel (TR),1,2.2kΩ@100MHz,±25%,1.5Ω,150mA,-55℃~+125℃
C275449,MMZ1608S202ATA00,TDK,https://datasheet.lcsc.com/datasheet/pdf/87432f053e79e0383615d7ea0c5b69df.pdf?productCode=C275449,7910,0.0194,10,10,https://www.lcsc.com/product-detail/C275449.html,0603,Tape & Reel (TR),1,2kΩ@100MHz,±25%,900mΩ,400mA,-55℃~+125℃
C2661472,PE-0603PFB121ST,PULSE,https://datasheet.lcsc.com/datasheet/pdf/c3b8e22ba7ae71d08095f536d6488c7d.pdf?productCode=C2661472,7870,0.0446,10,10,https://www.lcsc.com/product-detail/C2661472.html,0603,Tape & Reel (TR),1,120Ω@100MHz,±25%,50mΩ,2A,-40℃~+125℃
