LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Frequency,Frequency Stability,Normal temperature Frequency Tolerance,Output Type,Voltage - Supply,Current - Supply,Operating Temperature,Load Capacitance,Equivalent Series Resistance(ESR)
C48994905,XL7EL89CKI-111YLC-26M,YXC Crystal Oscillators,https://datasheet.lcsc.com/datasheet/pdf/03f32cc3dfdcdfc9fffa8449db791193.pdf?productCode=C48994905,8530,0.0858,5,5,https://www.lcsc.com/product-detail/C48994905.html,SMD2016-4P,Tape & Reel (TR),26MHz,±20ppm,±10ppm,,,,-40℃~+85℃,8pF,100Ω
C37635333,XTM20032000JT00351005,TOGNJING,https://datasheet.lcsc.com/datasheet/pdf/fb9cdf0764a7fd64af68f813a9470953.pdf?productCode=C37635333,8500,0.0520,10,10,https://www.lcsc.com/product-detail/C37635333.html,SMD2016-4P,Tape & Reel (TR),32MHz,±20ppm,±10ppm,,,,-40℃~+85℃,12pF,40Ω
C20885031,T201650MDBDE2X,Yajingxin,https://datasheet.lcsc.com/datasheet/pdf/1f5d0757dbe6436b91f4d32c775ff808.pdf?productCode=C20885031,8375,0.0995,5,5,https://www.lcsc.com/product-detail/C20885031.html,SMD2016-4P,Tape & Reel (TR),50MHz,±30ppm,±10ppm,,,,-30℃~+85℃,10pF,27Ω
C37635321,XTM20016000FT00351001,TOGNJING,https://datasheet.lcsc.com/datasheet/pdf/fb9cdf0764a7fd64af68f813a9470953.pdf?productCode=C37635321,8285,0.0573,5,5,https://www.lcsc.com/product-detail/C37635321.html,SMD2016-4P,Tape & Reel (TR),16MHz,±10ppm,±10ppm,,,,-20℃~+70℃,9pF,80Ω
C6616880,XRCGB24M000F1SBAR0,muRata,https://datasheet.lcsc.com/datasheet/pdf/0e37964dc9558127fb1b0738c70f99cd.pdf?productCode=C6616880,8195,0.2320,5,5,https://www.lcsc.com/product-detail/C6616880.html,SMD2016-4P,Tape & Reel (TR),24MHz,±20ppm,±10ppm,,,,-40℃~+105℃,6pF,70Ω
C7301945,SX1B25.000F1210F30,SCTF,https://datasheet.lcsc.com/datasheet/pdf/13229e0c60531151aa04379404d8b21a.pdf?productCode=C7301945,8145,0.0610,5,5,https://www.lcsc.com/product-detail/C7301945.html,SMD2016-4P,Tape & Reel (TR),25MHz,±30ppm,±10ppm,,,,-40℃~+85℃,12pF,80Ω
C49158157,Y201616MCBCX,JLYE,https://datasheet.lcsc.com/datasheet/pdf/9156dce15499427736617be1731f86a5.pdf?productCode=C49158157,8080,0.0741,10,10,https://www.lcsc.com/product-detail/C49158157.html,SMD2016-4P,Tape & Reel (TR),16MHz,±20ppm,±10ppm,,,,-40℃~+85℃,8pF,
C2939050,TAXM38.4M4ZCBDDT2T,Yajingxin,https://datasheet.lcsc.com/datasheet/pdf/f1d90cc13e7201aff534101782b1a785.pdf?productCode=C2939050,8070,0.0798,10,10,https://www.lcsc.com/product-detail/C2939050.html,SMD2016-4P,Tape & Reel (TR),38.4MHz,±20ppm,±10ppm,,,,-30℃~+85℃,9pF,40Ω
C19711739,XL7EL89CKI-111YLC-25M,YXC Crystal Oscillators,https://datasheet.lcsc.com/datasheet/pdf/03f32cc3dfdcdfc9fffa8449db791193.pdf?productCode=C19711739,7975,0.0840,5,5,https://www.lcsc.com/product-detail/C19711739.html,SMD2016-4P,Tape & Reel (TR),25MHz,±20ppm,±10ppm,,,,-40℃~+85℃,8pF,100Ω
C388794,TAXM24M4ZFBCCT2T,Yajingxin,https://datasheet.lcsc.com/datasheet/pdf/5ea6c0de9eae3b1ceb883cae63c02160.pdf?productCode=C388794,7690,0.0772,10,10,https://www.lcsc.com/product-detail/C388794.html,SMD2016-4P,Tape & Reel (TR),24MHz,±10ppm,±20ppm,,,,-40℃~+85℃,12pF,80Ω
