LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Frequency,Frequency Stability,Normal temperature Frequency Tolerance,Output Type,Voltage - Supply,Current - Supply,Operating Temperature,Load Capacitance,Equivalent Series Resistance(ESR)
C7275070,HY24MSMD2016CA1R30,Huiyuan crystal,https://datasheet.lcsc.com/datasheet/pdf/9de0aa28b7de987c4da5ebeb50f85e68.pdf?productCode=C7275070,2960,0.1116,5,5,https://www.lcsc.com/product-detail/C7275070.html,SMD2016-4P,Tape & Reel (TR),24MHz,±10ppm,,,,,,8pF,45Ω
C2939051,TAXM26M4ZDBDDT2T,Yajingxin,https://datasheet.lcsc.com/datasheet/pdf/b93cca4a20f96bc6e240db6a38e4f74a.pdf?productCode=C2939051,2960,0.0764,10,10,https://www.lcsc.com/product-detail/C2939051.html,SMD2016-4P,Tape & Reel (TR),26MHz,±20ppm,±10ppm,,,,-30℃~+85℃,10pF,40Ω
C2901735,SX1B16.000F0910F30,SCTF,https://datasheet.lcsc.com/datasheet/pdf/13229e0c60531151aa04379404d8b21a.pdf?productCode=C2901735,2960,0.0863,5,5,https://www.lcsc.com/product-detail/C2901735.html,SMD2016-4P,Tape & Reel (TR),16MHz,±30ppm,±10ppm,,,,-40℃~+85℃,9pF,200Ω
C655073,7N032768HW2,HD,https://datasheet.lcsc.com/datasheet/pdf/f5609749c567b309cf6ac25c561ada67.pdf?productCode=C655073,2960,0.5335,1,1,https://www.lcsc.com/product-detail/C655073.html,SMD3215-2P,Tape & Reel (TR),32.768kHz,±20ppm,±20ppm,,,,-,9pF,
C2757567,E1SB24E00000XE,HOSONIC,https://datasheet.lcsc.com/datasheet/pdf/94c51f4bf09a4e58d93b36c897b76d7c.pdf?productCode=C2757567,2955,0.1252,5,5,https://www.lcsc.com/product-detail/C2757567.html,SMD2016-4P,Tape & Reel (TR),24MHz,,±10ppm,,,,-,16pF,100Ω
C669087,OT201654MJBA4SL,YXC Crystal Oscillators,https://datasheet.lcsc.com/datasheet/pdf/b336a5b52993e15e0134a8f3d7decec7.pdf?productCode=C669087,2952,0.6751,1,1,https://www.lcsc.com/product-detail/C669087.html,SMD2016-4P,Tape & Reel (TR),54MHz,±20ppm,±10ppm,CMOS,1.8V~3.3V,12mA,-40℃~+85℃,,
C55080689,X2EFBC-27M,Yajingxin,https://datasheet.lcsc.com/datasheet/pdf/c1bd00f922a36f300e4db59dd0c2a022.pdf?productCode=C55080689,2950,0.0712,10,10,https://www.lcsc.com/product-detail/C55080689.html,SMD2016-4P,Tape & Reel (TR),27MHz,±20ppm,±10ppm,,,,-40℃~+85℃,12pF,60Ω
C53202272,3SQ3270028,YL(Failong Crystal),https://datasheet.lcsc.com/datasheet/pdf/454c13ed373437b12c3c03d336bbf4cc.pdf?productCode=C53202272,2950,0.1716,5,5,https://www.lcsc.com/product-detail/C53202272.html,SMD3215,Tape & Reel (TR),,,,,,,,,
C53132205,SCDYS32X00000YEPM,SOSET,https://datasheet.lcsc.com/datasheet/pdf/271915952071f607080cfb3b431d4e61.pdf?productCode=C53132205,2950,0.0625,10,10,https://www.lcsc.com/product-detail/C53132205.html,SMD2016-4P,Tape & Reel (TR),,,,,,,,,
C51949558,XL7EL89CMO-114YLC-27.12M,YXC Crystal Oscillators,https://datasheet.lcsc.com/datasheet/pdf/03f32cc3dfdcdfc9fffa8449db791193.pdf?productCode=C51949558,2950,0.1068,5,5,https://www.lcsc.com/product-detail/C51949558.html,SMD2016-4P,Tape & Reel (TR),27.12MHz,±80ppm,±10ppm,,,,-40℃~+125℃,10pF,100Ω
C50396607,SCFYS32X76800YERN,SOSET,https://datasheet.lcsc.com/datasheet/pdf/499457d57980cca3a46d40e500ce536f.pdf?productCode=C50396607,2950,0.1808,5,5,https://www.lcsc.com/product-detail/C50396607.html,SMD3215,Tape & Reel (TR),32.768kHz,,±20ppm,,,,,12.5pF,70kΩ
C49158170,Y201626MEBCX,JLYE,https://datasheet.lcsc.com/datasheet/pdf/ba147b6537d0631128eb61a900c6a6e2.pdf?productCode=C49158170,2950,0.0784,5,5,https://www.lcsc.com/product-detail/C49158170.html,SMD2016-4P,Tape & Reel (TR),26MHz,±20ppm,±10ppm,,,,-40℃~+85℃,10pF,
C5548373,ABM11W-32.0000MHZ-6-B1U-T3,ABRACON,https://datasheet.lcsc.com/datasheet/pdf/859e09f2b5059baf71f1b89444f4cc79.pdf?productCode=C5548373,2950,0.6036,1,1,https://www.lcsc.com/product-detail/C5548373.html,SMD2016-4P,Tape & Reel (TR),32MHz,±10ppm,±10ppm,,,,-20℃~+70℃,6pF,50Ω
C1870437,XRCGB40M000F1S2FR0,muRata,https://datasheet.lcsc.com/datasheet/pdf/edccca1a49900ed3cc4ed93d18220992.pdf?productCode=C1870437,2950,0.4912,1,1,https://www.lcsc.com/product-detail/C1870437.html,SMD2016-4P,Tape & Reel (TR),40MHz,±20ppm,±10ppm,,,,-40℃~+105℃,6pF,50Ω
C781784,7D052000K01,HD,https://datasheet.lcsc.com/datasheet/pdf/093704717471e75b569efb6c3150f33f.pdf?productCode=C781784,2950,0.1407,5,5,https://www.lcsc.com/product-detail/C781784.html,SMD2016-4P,Tape & Reel (TR),52MHz,±20ppm,±10ppm,,,,-,11pF,
C409319,8Y40000001,TXC,https://datasheet.lcsc.com/datasheet/pdf/f2fb79cca0f53d897c8431422303854e.pdf?productCode=C409319,2950,0.2021,5,5,https://www.lcsc.com/product-detail/C409319.html,SMD2016-4P,Tape & Reel (TR),-,,,,,,-,-,
C3034268,OT201664MJBA4SL,YXC Crystal Oscillators,https://datasheet.lcsc.com/datasheet/pdf/b336a5b52993e15e0134a8f3d7decec7.pdf?productCode=C3034268,2947,0.8069,1,1,https://www.lcsc.com/product-detail/C3034268.html,SMD2016-4P,Tape & Reel (TR),64MHz,±20ppm,±10ppm,CMOS,1.8V~3.3V,,-40℃~+85℃,,
C55266157,XL7EL89CKI-111YLC-48M,YXC Crystal Oscillators,https://datasheet.lcsc.com/datasheet/pdf/03f32cc3dfdcdfc9fffa8449db791193.pdf?productCode=C55266157,2945,0.0998,5,5,https://www.lcsc.com/product-detail/C55266157.html,SMD2016-4P,Tape & Reel (TR),48MHz,±20ppm,±10ppm,,,,-40℃~+85℃,8pF,40Ω
C37635336,XTM20040000FT00351005,TOGNJING,https://datasheet.lcsc.com/datasheet/pdf/fb9cdf0764a7fd64af68f813a9470953.pdf?productCode=C37635336,2945,0.0886,5,5,https://www.lcsc.com/product-detail/C37635336.html,SMD2016-4P,Tape & Reel (TR),40MHz,±20ppm,±10ppm,,,,-40℃~+85℃,9pF,40Ω
C55250327,Y321532768KSCCJ,JLYE,https://datasheet.lcsc.com/datasheet/pdf/7a5a62594018bb8fcae6454b13def66e.pdf?productCode=C55250327,2940,0.1776,5,5,https://www.lcsc.com/product-detail/C55250327.html,SMD3215,Tape & Reel (TR),32.768kHz,±30ppm,±20ppm,,,,-40℃~+85℃,12.5pF,70kΩ
C54561143,SX20C025000DA1T001,TKD,https://datasheet.lcsc.com/datasheet/pdf/5a21ef0f964a1161edda129f541cb560.pdf?productCode=C54561143,2940,0.2763,5,5,https://www.lcsc.com/product-detail/C54561143.html,SMD2016-4P,Tape & Reel (TR),25MHz,,±20ppm,,,,-40℃~+125℃,10pF,80Ω
C19723462,3K32.768RQ,huaxindianzi,https://datasheet.lcsc.com/datasheet/pdf/d1f5ac377a07b11c157dfcaa78fd130f.pdf?productCode=C19723462,2940,0.2017,5,5,https://www.lcsc.com/product-detail/C19723462.html,SMD3215-2P,Tape & Reel (TR),32.768kHz,±30ppm,±20ppm,,,,-40℃~+85℃,7pF,70kΩ
C2929402,R940000171,TROQ,https://datasheet.lcsc.com/datasheet/pdf/ee39e0cf485f7b7c9541ede66cc8803d.pdf?productCode=C2929402,2935,0.1264,5,5,https://www.lcsc.com/product-detail/C2929402.html,SMD2016-4P,Tape & Reel (TR),40MHz,±10ppm,±10ppm,,,,-20℃~+70℃,9pF,40Ω
C7434944,OT7EL89CJI-111YLC-50M,YXC Crystal Oscillators,https://datasheet.lcsc.com/datasheet/pdf/b336a5b52993e15e0134a8f3d7decec7.pdf?productCode=C7434944,2933,0.6259,1,1,https://www.lcsc.com/product-detail/C7434944.html,SMD2016-4P,Tape & Reel (TR),50MHz,±20ppm,±10ppm,CMOS,1.8V~3.3V,,-40℃~+85℃,,
C52160879,XL7EL89COI-111YLC-37.4M,YXC Crystal Oscillators,https://datasheet.lcsc.com/datasheet/pdf/03f32cc3dfdcdfc9fffa8449db791193.pdf?productCode=C52160879,2930,0.0922,5,5,https://www.lcsc.com/product-detail/C52160879.html,SMD2016-4P,Tape & Reel (TR),37.4MHz,±20ppm,±10ppm,,,,-40℃~+85℃,12pF,80Ω
C5366537,CM7V-T1A-32.768KHZ-7PF-20PPM-TB-QA,Micro Crystal,https://www.microcrystal.com/fileadmin/Media/Products/32kHz/Datasheet/CM7V-T1A.pdf,2928,0.6093,1,1,https://www.lcsc.com/product-detail/C5366537.html,SMD3215-2P,Tape & Reel (TR),32.768kHz,-,±20ppm,,,,-40℃~+125℃,7pF,70kΩ
C49158177,Y201638.4MDBCX,JLYE,https://datasheet.lcsc.com/datasheet/pdf/1e55bfae5dea31c19dde88b0ef17ba17.pdf?productCode=C49158177,2925,0.0786,5,5,https://www.lcsc.com/product-detail/C49158177.html,SMD2016-4P,Tape & Reel (TR),38.4MHz,±20ppm,±10ppm,,,,-40℃~+85℃,9pF,
C19173174,RU26000026,TROQ,https://datasheet.lcsc.com/datasheet/pdf/5a39a4a6dde9dc01ba6a9051755c08b6.pdf?productCode=C19173174,2925,0.4836,1,1,https://www.lcsc.com/product-detail/C19173174.html,SMD2016-4P,Tape & Reel (TR),26MHz,,±20ppm,CMOS,1.8V~3.3V,,-40℃~+85℃,,
C5241207,E1SB27E000007E,HOSONIC,https://datasheet.lcsc.com/datasheet/pdf/59f81f8e92a0e6f5072ec9646ba3e804.pdf?productCode=C5241207,2925,0.0984,5,5,https://www.lcsc.com/product-detail/C5241207.html,SMD2016-4P,Tape & Reel (TR),27MHz,,±10ppm,,,,-20℃~+70℃,12pF,
C54561110,SX20Y024000DC1T004,TKD,https://datasheet.lcsc.com/datasheet/pdf/5a21ef0f964a1161edda129f541cb560.pdf?productCode=C54561110,2920,0.0728,10,10,https://www.lcsc.com/product-detail/C54561110.html,SMD2016-4P,Tape & Reel (TR),24MHz,,±20ppm,,,,-40℃~+85℃,12pF,60Ω
C42420965,2.D.1.320001012,MDH,https://datasheet.lcsc.com/datasheet/pdf/e71f580b246ce36fa256782cfb0ce063.pdf?productCode=C42420965,2920,0.0677,10,10,https://www.lcsc.com/product-detail/C42420965.html,SMD2016-4P,Tape & Reel (TR),32MHz,-,-,,,,-40℃~+85℃,10pF,40Ω
