LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Frequency,Frequency Stability,Normal temperature Frequency Tolerance,Output Type,Voltage - Supply,Current - Supply,Operating Temperature,Load Capacitance,Equivalent Series Resistance(ESR)
C54561122,SX20Y040000BF1T008,TKD,https://datasheet.lcsc.com/datasheet/pdf/5a21ef0f964a1161edda129f541cb560.pdf?productCode=C54561122,3030,0.0729,10,10,https://www.lcsc.com/product-detail/C54561122.html,SMD2016-4P,Tape & Reel (TR),40MHz,,±10ppm,,,,-40℃~+85℃,15pF,40Ω
C20617561,XL7MI-111-24M,YXC Crystal Oscillators,https://datasheet.lcsc.com/datasheet/pdf/03f32cc3dfdcdfc9fffa8449db791193.pdf?productCode=C20617561,3025,0.0889,5,5,https://www.lcsc.com/product-detail/C20617561.html,SMD2016-4P,Tape & Reel (TR),24MHz,±20ppm,±10ppm,,,,-40℃~+85℃,10pF,100Ω
C54427943,YE32MBBCD2X,Yajingxin,https://datasheet.lcsc.com/datasheet/pdf/c1bd00f922a36f300e4db59dd0c2a022.pdf?productCode=C54427943,3020,0.0738,10,10,https://www.lcsc.com/product-detail/C54427943.html,SMD2016-4P,Tape & Reel (TR),32MHz,±20ppm,±10ppm,,,,-40℃~+85℃,8pF,40Ω
C712907,CJ16-260000610B20,JSCJ,https://datasheet.lcsc.com/datasheet/pdf/96a0bdfa56e97a4158c3408196e52e5f.pdf?productCode=C712907,3015,0.1181,5,5,https://www.lcsc.com/product-detail/C712907.html,SMD2016-4P,Tape & Reel (TR),26MHz,±20ppm,±10ppm,,,,-40℃~+85℃,6pF,100Ω
C54561135,SX20C020000D81T001,TKD,https://datasheet.lcsc.com/datasheet/pdf/5a21ef0f964a1161edda129f541cb560.pdf?productCode=C54561135,3010,0.2763,5,5,https://www.lcsc.com/product-detail/C54561135.html,SMD2016-4P,Tape & Reel (TR),20MHz,,±20ppm,,,,-40℃~+125℃,8pF,150Ω
C54561121,SX20Y040000BC1T001,TKD,https://datasheet.lcsc.com/datasheet/pdf/5a21ef0f964a1161edda129f541cb560.pdf?productCode=C54561121,3010,0.0728,10,10,https://www.lcsc.com/product-detail/C54561121.html,SMD2016-4P,Tape & Reel (TR),40MHz,,±10ppm,,,,-30℃~+85℃,12pF,40Ω
C49158179,Y201640MDBCX,JLYE,https://datasheet.lcsc.com/datasheet/pdf/227d38e099aeaf90fbca1926947b1e82.pdf?productCode=C49158179,3010,0.0784,5,5,https://www.lcsc.com/product-detail/C49158179.html,SMD2016-4P,Tape & Reel (TR),40MHz,±20ppm,±10ppm,,,,-40℃~+85℃,9pF,
C2835993,K2B160000910,KYX,https://datasheet.lcsc.com/datasheet/pdf/995a881da8ffb3f7eed62e77e4008e5a.pdf?productCode=C2835993,3010,0.2100,5,5,https://www.lcsc.com/product-detail/C2835993.html,SMD2016-4P,Tape & Reel (TR),16MHz,±20ppm,±10ppm,,,,-40℃~+85℃,9pF,60Ω
C255886,Q22FA12800230,EPSON,https://datasheet.lcsc.com/datasheet/pdf/072a7f7b720682eba8fb78c985213f61.pdf?productCode=C255886,3010,0.2516,5,5,https://www.lcsc.com/product-detail/C255886.html,SMD2016-4P,Tape & Reel (TR),26MHz,,±10ppm,,,,-40℃~+85℃,10pF,60Ω
C648963,7D032000M01,HD,https://datasheet.lcsc.com/datasheet/pdf/d8c26f277606d98adfee36453a080be1.pdf?productCode=C648963,3005,0.1005,5,5,https://www.lcsc.com/product-detail/C648963.html,SMD2016-4P,Tape & Reel (TR),32MHz,±20ppm,±10ppm,,,,-,12pF,
C5203553,OT7EL4C4JI-111OLP-26M,YXC Crystal Oscillators,https://datasheet.lcsc.com/datasheet/pdf/b336a5b52993e15e0134a8f3d7decec7.pdf?productCode=C5203553,3003,0.5817,1,1,https://www.lcsc.com/product-detail/C5203553.html,SMD2016-4P,Tape & Reel (TR),26MHz,±20ppm,±10ppm,CMOS,1.8V~3.3V,,-40℃~+85℃,,
C55374946,XL7EL89CJI-111YLC-40M,YXC Crystal Oscillators,https://datasheet.lcsc.com/datasheet/pdf/6191bd3e5330815647bbaa3c0c3f29ca.pdf?productCode=C55374946,3000,0.0807,5,5,https://www.lcsc.com/product-detail/C55374946.html,SMD2016-4P,Tape & Reel (TR),,,,,,,,,
C55129538,0121M4-48.000FSLDTSLL,HCI,https://datasheet.lcsc.com/datasheet/pdf/4f0d4689ed400d11e37c6eedab83700d.pdf?productCode=C55129538,3000,0.0964,5,5,https://www.lcsc.com/product-detail/C55129538.html,SMD2016-4P,Tape & Reel (TR),48MHz,±20ppm,-6ppm~+8ppm,,,,-40℃~+85℃,8.8pF,60Ω
