LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Frequency,Frequency Stability,Normal temperature Frequency Tolerance,Output Type,Voltage - Supply,Current - Supply,Operating Temperature,Load Capacitance,Equivalent Series Resistance(ESR),Features
C50387148,XL7EL89CLI-111YLC-24M,YXC Crystal Oscillators,https://datasheet.lcsc.com/datasheet/pdf/03f32cc3dfdcdfc9fffa8449db791193.pdf?productCode=C50387148,9045,0.0855,5,5,https://www.lcsc.com/product-detail/C50387148.html,SMD2016-4P,Tape & Reel (TR),24MHz,±20ppm,±10ppm,,,,-40℃~+85℃,9pF,100Ω,
C54561109,SX20Y024000BA1T001,TKD,https://datasheet.lcsc.com/datasheet/pdf/5a21ef0f964a1161edda129f541cb560.pdf?productCode=C54561109,9000,0.0732,10,10,https://www.lcsc.com/product-detail/C54561109.html,SMD2016-4P,Tape & Reel (TR),24MHz,,±10ppm,,,,-40℃~+125℃,10pF,60Ω,
C182057,CM315D32768DZFT,CITIZEN,https://datasheet.lcsc.com/datasheet/pdf/4054372430c144f4afb8c1d3ec925937.pdf?productCode=C182057,8955,0.2481,5,5,https://www.lcsc.com/product-detail/C182057.html,SMD3215-2P,Tape & Reel (TR),32.768kHz,,±20ppm,,,,-40℃~+85℃,12.5pF,70kΩ,
C7420712,SX20Y040000BC1T002,TKD,,8940,0.0732,10,10,https://www.lcsc.com/product-detail/C7420712.html,SMD2016-4P,Tape & Reel (TR),40MHz,,±10ppm,,,,,12pF,40Ω,
C94673,X1A0001410006,EPSON,https://datasheet.lcsc.com/datasheet/pdf/0f3ba6784c67f0721660c317cb275580.pdf?productCode=C94673,8935,0.2333,5,5,https://www.lcsc.com/product-detail/C94673.html,SMD3215-2P,Tape & Reel (TR),32.768kHz,,±20ppm,,,,-40℃~+85℃,6pF,,
C37635327,XTM20025000JT00351001,TOGNJING,https://datasheet.lcsc.com/datasheet/pdf/fb9cdf0764a7fd64af68f813a9470953.pdf?productCode=C37635327,8930,0.0498,10,10,https://www.lcsc.com/product-detail/C37635327.html,SMD2016-4P,Tape & Reel (TR),25MHz,±10ppm,±10ppm,,,,-20℃~+70℃,12pF,60Ω,
C255884,Q22FA12800388,EPSON,https://datasheet.lcsc.com/datasheet/pdf/072a7f7b720682eba8fb78c985213f61.pdf?productCode=C255884,8910,0.2577,5,5,https://www.lcsc.com/product-detail/C255884.html,SMD2016-4P,Tape & Reel (TR),25MHz,,±10ppm,,,,-40℃~+85℃,16pF,80Ω,
C37635400,XOS20040000LT00351005,TOGNJING,https://datasheet.lcsc.com/datasheet/pdf/520e0007995304d68afc02d6c8d28772.pdf?productCode=C37635400,8883,0.2931,1,1,https://www.lcsc.com/product-detail/C37635400.html,SMD2016-4P,Tape & Reel (TR),40MHz,±20ppm,±10ppm,CMOS,1.62V~3.63V,5mA,-40℃~+85℃,,,
C7423074,L214S260C313L,Lucki,https://datasheet.lcsc.com/datasheet/pdf/0a20180873720be588103b98c2ada8bc.pdf?productCode=C7423074,8880,0.0966,5,5,https://www.lcsc.com/product-detail/C7423074.html,SMD2016-4P,Tape & Reel (TR),26MHz,,±10ppm,,,,-40℃~+85℃,7.3pF,40Ω,
C7206305,R938400054,TROQ,https://datasheet.lcsc.com/datasheet/pdf/b3bde0dae84a8ac3bb438bd01845f522.pdf?productCode=C7206305,8825,0.0994,5,5,https://www.lcsc.com/product-detail/C7206305.html,SMD2016-4P,Tape & Reel (TR),38.4MHz,±10ppm,±10ppm,,,,-20℃~+70℃,10pF,50Ω,
C5441424,NX2016SA-32MHZ-EXS00A-CS06654,NDK,https://datasheet.lcsc.com/datasheet/pdf/38a372b49ac926e7ac48b979fac2e376.pdf?productCode=C5441424,8819,0.4426,1,1,https://www.lcsc.com/product-detail/C5441424.html,SMD2016-4P,Tape & Reel (TR),32MHz,,,,,,-40℃~+125℃,8pF,60Ω,
C500340,NX3215SA_32.768K_STD-MUS-2,NDK,https://datasheet.lcsc.com/datasheet/pdf/9b59fe37689db807afb963e1e8fe8625.pdf?productCode=C500340,8690,0.3922,5,5,https://www.lcsc.com/product-detail/C500340.html,SMD3215-2P,Tape & Reel (TR),32.768kHz,,±20ppm,,,,-40℃~+125℃,12.5pF,70kΩ,
C5221300,3131M32768DT06LL,HCI,https://datasheet.lcsc.com/datasheet/pdf/f76eff92c5095c6d71361cb9182d5dca.pdf?productCode=C5221300,8650,0.2001,5,5,https://www.lcsc.com/product-detail/C5221300.html,SMD3215-2P,Tape & Reel (TR),32.768kHz,±20ppm,±20ppm,,,,-40℃~+85℃,6pF,70kΩ,
