LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Frequency,Frequency Stability,Normal temperature Frequency Tolerance,Output Type,Voltage - Supply,Current - Supply,Operating Temperature,Load Capacitance,Equivalent Series Resistance(ESR),Features
C49158176,Y201632MFBCX,JLYE,https://datasheet.lcsc.com/datasheet/pdf/d5bf333addf8d057f1a3131a6d4a7fed.pdf?productCode=C49158176,17220,0.0559,10,10,https://www.lcsc.com/product-detail/C49158176.html,SMD2016-4P,Tape & Reel (TR),32MHz,±20ppm,±10ppm,,,,-40℃~+85℃,12pF,,
C2976104,SG-3031CM 32.768K,EPSON,https://datasheet.lcsc.com/datasheet/pdf/581229cf9c66513050aa15f8d956adf1.pdf?productCode=C2976104,16916,0.9365,1,1,https://www.lcsc.com/product-detail/C2976104.html,SMD3215-4P,Tape & Reel (TR),32.768kHz,±50ppm,,CMOS,3.3V,,-40℃~+105℃,,,
C18214311,XL7EL89COI-111YLC-27M,YXC Crystal Oscillators,https://datasheet.lcsc.com/datasheet/pdf/03f32cc3dfdcdfc9fffa8449db791193.pdf?productCode=C18214311,16495,0.0817,5,5,https://www.lcsc.com/product-detail/C18214311.html,SMD2016-4P,Tape & Reel (TR),27MHz,±20ppm,±10ppm,,,,-40℃~+85℃,12pF,100Ω,
C49304715,XL7EL89CMI-111YLC-38.4M,YXC Crystal Oscillators,https://datasheet.lcsc.com/datasheet/pdf/03f32cc3dfdcdfc9fffa8449db791193.pdf?productCode=C49304715,16145,0.0996,5,5,https://www.lcsc.com/product-detail/C49304715.html,SMD2016-4P,Tape & Reel (TR),38.4MHz,±20ppm,±10ppm,,,,-40℃~+85℃,10pF,80Ω,
C424431,TAXM40M4ZCBCDT2T,Yajingxin,https://datasheet.lcsc.com/datasheet/pdf/33992c1fac28a83b8ff34f30aa06bdde.pdf?productCode=C424431,15600,0.0811,10,10,https://www.lcsc.com/product-detail/C424431.html,SMD2016-4P,Tape & Reel (TR),40MHz,±20ppm,±20ppm,,,,-40℃~+85℃,9pF,40Ω,
C843260,NX2016SA-32MHZ-STD-CZS-5,NDK,https://datasheet.lcsc.com/datasheet/pdf/7d295f64f7c44230fecd37b1086251f1.pdf?productCode=C843260,15595,0.3534,5,5,https://www.lcsc.com/product-detail/C843260.html,SMD2016-4P,Tape & Reel (TR),-,,,,,,-,-,,
C22386770,SXTF321532768A20F,SCTF,https://datasheet.lcsc.com/datasheet/pdf/4e4c0c04aadb8a07df47ce11f04f4675.pdf?productCode=C22386770,15450,0.1371,5,5,https://www.lcsc.com/product-detail/C22386770.html,SMD3215-2P,Tape & Reel (TR),32.768kHz,±30ppm,±20ppm,,,,-40℃~+85℃,12.5pF,70kΩ,
C194420,XRCGB24M000F3A00R0,muRata,https://datasheet.lcsc.com/datasheet/pdf/b874d35f7abc7b180bba0ec4e4dcec20.pdf?productCode=C194420,15448,0.5420,1,1,https://www.lcsc.com/product-detail/C194420.html,SMD2016-4P,Tape & Reel (TR),24MHz,±35ppm,±30ppm,,,,-40℃~+125℃,6pF,120Ω,
C2965581,XL7EL89CMI-111YLC-24M,YXC Crystal Oscillators,https://datasheet.lcsc.com/datasheet/pdf/03f32cc3dfdcdfc9fffa8449db791193.pdf?productCode=C2965581,14655,0.0933,5,5,https://www.lcsc.com/product-detail/C2965581.html,SMD2016-4P,Tape & Reel (TR),24MHz,±20ppm,±10ppm,,,,-40℃~+85℃,10pF,100Ω,
C5210654,X201627MOB4SI,YXC Crystal Oscillators,https://datasheet.lcsc.com/datasheet/pdf/03f32cc3dfdcdfc9fffa8449db791193.pdf?productCode=C5210654,13820,0.1117,5,5,https://www.lcsc.com/product-detail/C5210654.html,SMD2016-4P,Tape & Reel (TR),27MHz,±20ppm,±10ppm,,,,-40℃~+85℃,12pF,100Ω,
C54110342,XL7EL89CLI-111YLC-20M,YXC Crystal Oscillators,https://datasheet.lcsc.com/datasheet/pdf/03f32cc3dfdcdfc9fffa8449db791193.pdf?productCode=C54110342,13580,0.0737,5,5,https://www.lcsc.com/product-detail/C54110342.html,SMD2016-4P,Tape & Reel (TR),20MHz,±20ppm,±10ppm,,,,-40℃~+85℃,9pF,100Ω,
C2965583,XL7EL89CMI-111YLC-32M,YXC Crystal Oscillators,https://datasheet.lcsc.com/datasheet/pdf/03f32cc3dfdcdfc9fffa8449db791193.pdf?productCode=C2965583,13545,0.0878,5,5,https://www.lcsc.com/product-detail/C2965583.html,SMD2016-4P,Tape & Reel (TR),32MHz,±20ppm,±10ppm,,,,-40℃~+85℃,10pF,80Ω,
C37635330,XTM20026000FT00351005,TOGNJING,https://datasheet.lcsc.com/datasheet/pdf/fb9cdf0764a7fd64af68f813a9470953.pdf?productCode=C37635330,13010,0.0551,10,10,https://www.lcsc.com/product-detail/C37635330.html,SMD2016-4P,Tape & Reel (TR),26MHz,±20ppm,±10ppm,,,,-40℃~+85℃,9pF,60Ω,
C7294751,DF2032K76812001,huaxindianzi,https://datasheet.lcsc.com/datasheet/pdf/b0e80c94a450f4639174c7dfa39f593d.pdf?productCode=C7294751,13010,0.1891,5,5,https://www.lcsc.com/product-detail/C7294751.html,SMD3215-2P,Tape & Reel (TR),32.768kHz,±30ppm,±20ppm,,,,-40℃~+85℃,12.5pF,70kΩ,
C3034315,XC21M4-39.000-F10LLDTL,HCI,https://datasheet.lcsc.com/datasheet/pdf/7b490713dbcf39cf6333186d26586025.pdf?productCode=C3034315,12900,0.1315,5,5,https://www.lcsc.com/product-detail/C3034315.html,SMD2016-4P,Tape & Reel (TR),39MHz,±20ppm,±20ppm,,,,-40℃~+85℃,10pF,80Ω,
C37635334,XTM20032000JT00351001,TOGNJING,https://datasheet.lcsc.com/datasheet/pdf/fb9cdf0764a7fd64af68f813a9470953.pdf?productCode=C37635334,12375,0.0776,5,5,https://www.lcsc.com/product-detail/C37635334.html,SMD2016-4P,Tape & Reel (TR),32MHz,±10ppm,±10ppm,,,,-20℃~+70℃,12pF,40Ω,
C37635363,XTF32032768JT00351011,TOGNJING,https://datasheet.lcsc.com/datasheet/pdf/7c740c11d0b41488c4aabb261066380b.pdf?productCode=C37635363,12350,0.1936,5,5,https://www.lcsc.com/product-detail/C37635363.html,SMD3215-2P,Tape & Reel (TR),32.768kHz,±10ppm;±20ppm,±10ppm,,,,-40℃~+85℃,12pF,70kΩ,
C387600,ECS-.327-12.5-34B-TR,ECS,https://datasheet.lcsc.com/datasheet/pdf/760e43d5189f9141b92b102414ae3328.pdf?productCode=C387600,12313,0.4752,1,1,https://www.lcsc.com/product-detail/C387600.html,SMD3215-2P,Tape & Reel (TR),32.768kHz,-,±20ppm,,,,-40℃~+85℃,12.5pF,70kΩ,
C6554955,FC-135R 32.7680KA-A3,EPSON,https://datasheet.lcsc.com/datasheet/pdf/678bee3f71695ab857bf1f7d8238f208.pdf?productCode=C6554955,12255,0.2407,5,5,https://www.lcsc.com/product-detail/C6554955.html,SMD3215-2P,Tape & Reel (TR),32.768kHz,,±20ppm,,,,-40℃~+85℃,12.5pF,50kΩ,
C49158168,Y201625MFBCX,JLYE,https://datasheet.lcsc.com/datasheet/pdf/91efb18bed4c18a28957f17d569dbf15.pdf?productCode=C49158168,12050,0.0569,10,10,https://www.lcsc.com/product-detail/C49158168.html,SMD2016-4P,Tape & Reel (TR),25MHz,±20ppm,±10ppm,,,,-40℃~+85℃,12pF,,
C576558,XRCGB27M120F3M00R0,muRata,https://datasheet.lcsc.com/datasheet/pdf/c3c14d678427147522c5e5b5620495de.pdf?productCode=C576558,12015,0.3086,5,5,https://www.lcsc.com/product-detail/C576558.html,SMD2016-4P,Tape & Reel (TR),27.12MHz,,,,-,-,-30℃~+85℃,,,-
C37635401,XOS20050000LT00351005,TOGNJING,https://datasheet.lcsc.com/datasheet/pdf/520e0007995304d68afc02d6c8d28772.pdf?productCode=C37635401,11981,0.3039,1,1,https://www.lcsc.com/product-detail/C37635401.html,SMD2016-4P,Tape & Reel (TR),50MHz,±20ppm,±10ppm,CMOS,1.62V~3.63V,5mA,-40℃~+85℃,,,
C193187,Q22FA12800569,EPSON,https://datasheet.lcsc.com/datasheet/pdf/70d49b6091e2cd2ffcbc784508a6ca9f.pdf?productCode=C193187,11970,0.2787,5,5,https://www.lcsc.com/product-detail/C193187.html,SMD2016-4P,Tape & Reel (TR),25MHz,±20ppm,±10ppm,,,,-40℃~+85℃,8pF,80Ω,
