LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Capacitance,Tolerance,Voltage Rating,Temperature Coefficient
C107166,CC0805KRX7RYBB222,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/23ccee80ee542e7cf156a772bb589942.pdf?productCode=C107166,4650,0.0211,50,50,https://www.lcsc.com/product-detail/C107166.html,0805,Tape & Reel (TR),2.2nF,±10%,250V,X7R
C107165,CC0805KRX7RYBB221,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/23ccee80ee542e7cf156a772bb589942.pdf?productCode=C107165,1450,0.0219,50,50,https://www.lcsc.com/product-detail/C107165.html,0805,Tape & Reel (TR),220pF,±10%,250V,X7R
C107151,CC0805KRX7R9BB391,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/23ccee80ee542e7cf156a772bb589942.pdf?productCode=C107151,3450,0.0186,50,50,https://www.lcsc.com/product-detail/C107151.html,0805,Tape & Reel (TR),390pF,±10%,50V,X7R
C107129,CC0805KKX7R8BB334,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/23ccee80ee542e7cf156a772bb589942.pdf?productCode=C107129,4700,0.0256,50,50,https://www.lcsc.com/product-detail/C107129.html,0805,Tape & Reel (TR),330nF,±10%,25V,X7R
C107101,CC0603KRX7RYBB221,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/23ccee80ee542e7cf156a772bb589942.pdf?productCode=C107101,4600,0.0115,100,100,https://www.lcsc.com/product-detail/C107101.html,0603,Tape & Reel (TR),220pF,±10%,250V,X7R
C107090,CC0603KRX7R9BB392,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/23ccee80ee542e7cf156a772bb589942.pdf?productCode=C107090,5700,0.0149,100,100,https://www.lcsc.com/product-detail/C107090.html,0603,Tape & Reel (TR),3.9nF,±10%,50V,X7R
C107065,CC0603KRX7R7BB154,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/23ccee80ee542e7cf156a772bb589942.pdf?productCode=C107065,1050,0.0130,50,50,https://www.lcsc.com/product-detail/C107065.html,0603,Tape & Reel (TR),150nF,±10%,16V,X7R
C107014,CC0402KRX7R6BB683,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/23ccee80ee542e7cf156a772bb589942.pdf?productCode=C107014,10000,0.0065,100,100,https://www.lcsc.com/product-detail/C107014.html,0402,Tape & Reel (TR),68nF,±10%,10V,X7R
C106216,CC0603KRX7R6BB224,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/23ccee80ee542e7cf156a772bb589942.pdf?productCode=C106216,3300,0.0139,100,100,https://www.lcsc.com/product-detail/C106216.html,0603,Tape & Reel (TR),220nF,±10%,10V,X7R
C35224454,AC1206KKX7RZBB103,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/e147909414eb3b900a42b90481dc8914.pdf?productCode=C35224454,140,0.0567,10,10,https://www.lcsc.com/product-detail/C35224454.html,1206,Tape & Reel (TR),10nF,±10%,630V,X7R
