LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Capacitance,Tolerance,Voltage Rating,Temperature Coefficient
C17588990,GCM21B5C1H203FA16L,muRata,https://datasheet.lcsc.com/datasheet/pdf/5de4b9af659f99dc4f40b93f316cf9f4.pdf?productCode=C17588990,2190,0.4328,5,5,https://www.lcsc.com/product-detail/C17588990.html,0805,Tape & Reel (TR),20nF,±1%,50V,C0G
C2178686,AC1206JKNPOZBN101,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/e147909414eb3b900a42b90481dc8914.pdf?productCode=C2178686,2190,0.0751,10,10,https://www.lcsc.com/product-detail/C2178686.html,1206,Tape & Reel (TR),100pF,±5%,630V,NP0
C710936,GRM2165C1H432JA01D,muRata,https://datasheet.lcsc.com/datasheet/pdf/cd90aaa7f3d2dd52592b88695e56ba79.pdf?productCode=C710936,2180,0.0303,20,20,https://www.lcsc.com/product-detail/C710936.html,0805,Tape & Reel (TR),4.3nF,±5%,50V,C0G
C577167,CC1206JRNPO9BN622,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/4eca2bb4b507f1633db47e922d632b95.pdf?productCode=C577167,2180,0.0527,10,10,https://www.lcsc.com/product-detail/C577167.html,1206,Tape & Reel (TR),6.2nF,±5%,50V,NP0
C113885,CC1206JRNPO9BN471,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/4eca2bb4b507f1633db47e922d632b95.pdf?productCode=C113885,2180,0.0459,20,20,https://www.lcsc.com/product-detail/C113885.html,1206,Tape & Reel (TR),470pF,±5%,50V,NP0
C577269,CC1210JKNPOCBN471,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/9a86cbae8c34c796174906a7ab23dad0.pdf?productCode=C577269,2170,0.2637,5,5,https://www.lcsc.com/product-detail/C577269.html,1210,Tape & Reel (TR),470pF,±5%,1kV,NP0
C1850553,VJ1206A103JXAAT,VISHAY,https://datasheet.lcsc.com/datasheet/pdf/eeb5a217987250da372b0768bba66d9f.pdf?productCode=C1850553,2160,0.3485,5,5,https://www.lcsc.com/product-detail/C1850553.html,1206,Tape & Reel (TR),10nF,±5%,50V,C0G
C597073,06031A220JAT2A,Kyocera AVX,,2160,0.0209,10,10,https://www.lcsc.com/product-detail/C597073.html,0603,Tape & Reel (TR),22pF,±5%,100V,C0G
C3904341,C0805C104J1RECAUTO,KEMET,https://datasheet.lcsc.com/datasheet/pdf/0cea301ee8abf06e5c984aabf6d6d086.pdf?productCode=C3904341,2155,0.1406,5,5,https://www.lcsc.com/product-detail/C3904341.html,0805,Tape & Reel (TR),100nF,±5%,100V,X7R
C597287,08051C104JAT2A,Kyocera AVX,,2155,0.1842,5,5,https://www.lcsc.com/product-detail/C597287.html,0805,Tape & Reel (TR),100nF,±5%,100V,X7R
C1853022,CC0603JRX7R7BB684,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/23ccee80ee542e7cf156a772bb589942.pdf?productCode=C1853022,2150,0.0182,50,50,https://www.lcsc.com/product-detail/C1853022.html,0603,Tape & Reel (TR),680nF,±5%,16V,X7R
C2180901,06031A120JAT2A,Kyocera AVX,,2140,0.0221,20,20,https://www.lcsc.com/product-detail/C2180901.html,0603,Tape & Reel (TR),12pF,±5%,100V,C0G
C437459,GCM1885C2A471GA16D,muRata,https://datasheet.lcsc.com/datasheet/pdf/85f4a41ef4e34047da8bc0c6c562a4a2.pdf?productCode=C437459,2140,0.0465,10,10,https://www.lcsc.com/product-detail/C437459.html,0603,Tape & Reel (TR),470pF,±2%,100V,C0G
C113891,CC1206JRNPOYBN221,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/4eca2bb4b507f1633db47e922d632b95.pdf?productCode=C113891,2140,0.0298,20,20,https://www.lcsc.com/product-detail/C113891.html,1206,Tape & Reel (TR),220pF,±5%,250V,NP0
