LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Capacitance,Tolerance,Voltage Rating,Temperature Coefficient
C113894,CC1206KKX7RABB104,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/23ccee80ee542e7cf156a772bb589942.pdf?productCode=C113894,32000,0.0603,20,20,https://www.lcsc.com/product-detail/C113894.html,1206,Tape & Reel (TR),100nF,±10%,200V,X7R
C110045,CC1206KKX7R6BB226,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/23ccee80ee542e7cf156a772bb589942.pdf?productCode=C110045,5395,0.3988,5,5,https://www.lcsc.com/product-detail/C110045.html,1206,Tape & Reel (TR),22uF,±10%,10V,X7R
C107184,CC1206KKX7R8BB105,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/23ccee80ee542e7cf156a772bb589942.pdf?productCode=C107184,23080,0.1038,10,10,https://www.lcsc.com/product-detail/C107184.html,1206,Tape & Reel (TR),1uF,±10%,25V,X7R
C107182,CC1206KKX7R0BB474,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/23ccee80ee542e7cf156a772bb589942.pdf?productCode=C107182,15120,0.1701,5,5,https://www.lcsc.com/product-detail/C107182.html,1206,Tape & Reel (TR),470nF,±10%,100V,X7R
C106241,CC1206KKX7RYBB104,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/23ccee80ee542e7cf156a772bb589942.pdf?productCode=C106241,29070,0.0679,10,10,https://www.lcsc.com/product-detail/C106241.html,1206,Tape & Reel (TR),100nF,±10%,250V,X7R
C7500389,CC1206JRNPO9BN223,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/4eca2bb4b507f1633db47e922d632b95.pdf?productCode=C7500389,4935,0.2333,5,5,https://www.lcsc.com/product-detail/C7500389.html,1206,Tape & Reel (TR),22nF,±5%,50V,C0G;NP0
C700527,CC1210KKX7R8BB106,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/23ccee80ee542e7cf156a772bb589942.pdf?productCode=C700527,3540,0.5072,5,5,https://www.lcsc.com/product-detail/C700527.html,1210,Tape & Reel (TR),10uF,±10%,25V,X7R
C596318,CC1210KKX7R9BB475,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/23ccee80ee542e7cf156a772bb589942.pdf?productCode=C596318,14210,0.4070,5,5,https://www.lcsc.com/product-detail/C596318.html,1210,Tape & Reel (TR),4.7uF,±10%,50V,X7R
C577284,CC1210KKX7RCBB472,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/9a86cbae8c34c796174906a7ab23dad0.pdf?productCode=C577284,7035,0.2671,5,5,https://www.lcsc.com/product-detail/C577284.html,1210,Tape & Reel (TR),4.7nF,±10%,1kV,X7R
C577229,CC1206KKX7RZBB333,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/9a86cbae8c34c796174906a7ab23dad0.pdf?productCode=C577229,21980,0.1056,10,10,https://www.lcsc.com/product-detail/C577229.html,1206,Tape & Reel (TR),33nF,±10%,630V,X7R
C389104,CC0805JRX7R9BB223,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/23ccee80ee542e7cf156a772bb589942.pdf?productCode=C389104,63200,0.0213,50,50,https://www.lcsc.com/product-detail/C389104.html,0805,Tape & Reel (TR),22nF,±5%,50V,X7R
C326590,CC0402KRX7R7BB224,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/23ccee80ee542e7cf156a772bb589942.pdf?productCode=C326590,53700,0.0255,50,50,https://www.lcsc.com/product-detail/C326590.html,0402,Tape & Reel (TR),220nF,±10%,16V,X7R
C107206,CC1206KRX7R0BB473,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/23ccee80ee542e7cf156a772bb589942.pdf?productCode=C107206,31650,0.0395,50,50,https://www.lcsc.com/product-detail/C107206.html,1206,Tape & Reel (TR),47nF,±10%,100V,X7R
