LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Capacitance,Tolerance,Voltage Rating,Temperature Coefficient
C113839,CC0805JRNPOBBN470,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/9a86cbae8c34c796174906a7ab23dad0.pdf?productCode=C113839,12300,0.0208,50,50,https://www.lcsc.com/product-detail/C113839.html,0805,Tape & Reel (TR),47pF,±5%,500V,NP0
C513661,CC1206JRNPO0BN102,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/4eca2bb4b507f1633db47e922d632b95.pdf?productCode=C513661,12220,0.0498,20,20,https://www.lcsc.com/product-detail/C513661.html,1206,Tape & Reel (TR),1nF,±5%,100V,NP0
C408549,GCM1885C2A220JA16D,muRata,https://datasheet.lcsc.com/datasheet/pdf/47339be8e3c887c27f5ca6e005570b45.pdf?productCode=C408549,12200,0.0299,50,50,https://www.lcsc.com/product-detail/C408549.html,0603,Tape & Reel (TR),22pF,±5%,100V,C0G
C113835,CC0805JRNPOABN101,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/4eca2bb4b507f1633db47e922d632b95.pdf?productCode=C113835,12200,0.0142,100,100,https://www.lcsc.com/product-detail/C113835.html,0805,Tape & Reel (TR),100pF,±5%,200V,NP0
C519560,CC0603JRX7R7BB105,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/23ccee80ee542e7cf156a772bb589942.pdf?productCode=C519560,12140,0.0324,20,20,https://www.lcsc.com/product-detail/C519560.html,0603,Tape & Reel (TR),1uF,±5%,16V,X7R
C2168592,06035A100JAT4A,Kyocera AVX,,12023,0.0218,1,1,https://www.lcsc.com/product-detail/C2168592.html,0603,Tape & Reel (TR),10pF,±5%,50V,C0G
C597078,06031A271JAT2A,Kyocera AVX,,12020,0.0328,20,20,https://www.lcsc.com/product-detail/C597078.html,0603,Tape & Reel (TR),270pF,±5%,100V,C0G
C541512,CC0805FRNPO9BN100,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/4eca2bb4b507f1633db47e922d632b95.pdf?productCode=C541512,12010,0.0735,10,10,https://www.lcsc.com/product-detail/C541512.html,0805,Tape & Reel (TR),10pF,±1%,50V,NP0
C519492,CC0603FRNPO9BN360,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/4eca2bb4b507f1633db47e922d632b95.pdf?productCode=C519492,12000,0.0329,50,50,https://www.lcsc.com/product-detail/C519492.html,0603,Tape & Reel (TR),36pF,±1%,50V,NP0
C3843411,GJM1555C1H470GB01D,muRata,https://datasheet.lcsc.com/datasheet/pdf/2d688917c57971fccc224108b9e7de31.pdf?productCode=C3843411,11920,0.0450,10,10,https://www.lcsc.com/product-detail/C3843411.html,0402,Tape & Reel (TR),47pF,±2%,50V,C0G
C492066,GRM155R71H222JA01D,muRata,https://datasheet.lcsc.com/datasheet/pdf/6f5d6b4eaf620a6c62f06dcc6b2c1be3.pdf?productCode=C492066,11900,0.0094,100,100,https://www.lcsc.com/product-detail/C492066.html,0402,Tape & Reel (TR),2.2nF,±5%,50V,X7R
C3862155,GCM31C5C2E223JX03L,muRata,https://datasheet.lcsc.com/datasheet/pdf/0f15d952023b05bdc1b2895450cb509d.pdf?productCode=C3862155,11827,0.5374,1,1,https://www.lcsc.com/product-detail/C3862155.html,1206,Tape & Reel (TR),22nF,±5%,250V,C0G
C469628,CC1206JRNPOBBN100,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/9a86cbae8c34c796174906a7ab23dad0.pdf?productCode=C469628,11740,0.0626,20,20,https://www.lcsc.com/product-detail/C469628.html,1206,Tape & Reel (TR),10pF,±5%,500V,NP0
C113840,CC0805JRNPOCBN220,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/9a86cbae8c34c796174906a7ab23dad0.pdf?productCode=C113840,11720,0.0452,20,20,https://www.lcsc.com/product-detail/C113840.html,0805,Tape & Reel (TR),22pF,±5%,1kV,NP0
C519386,CC0603JRNPO7BN101,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/4eca2bb4b507f1633db47e922d632b95.pdf?productCode=C519386,11700,0.0156,50,50,https://www.lcsc.com/product-detail/C519386.html,0603,Tape & Reel (TR),100pF,±5%,16V,NP0
C126514,GCM1555C1H681JA16D,muRata,https://datasheet.lcsc.com/datasheet/pdf/8ab2afc2460549bb80e7ab2a8b7f3d10.pdf?productCode=C126514,11700,0.0136,50,50,https://www.lcsc.com/product-detail/C126514.html,0402,Tape & Reel (TR),680pF,±5%,50V,C0G
C3847777,GRM3195C1H683JA05D,muRata,https://datasheet.lcsc.com/datasheet/pdf/15c1fc3b5759dc1c78ad67abab06e4b3.pdf?productCode=C3847777,11640,0.1520,5,5,https://www.lcsc.com/product-detail/C3847777.html,1206,Tape & Reel (TR),68nF,±5%,50V,C0G
C162114,GRM1555C1H560GA01D,muRata,https://datasheet.lcsc.com/datasheet/pdf/ff860aeeb8bf7cc9affea01adcbb3f9a.pdf?productCode=C162114,11600,0.0130,50,50,https://www.lcsc.com/product-detail/C162114.html,0402,Tape & Reel (TR),56pF,±2%,50V,C0G
C1864335,GCM1885C2A331FA16D,muRata,https://datasheet.lcsc.com/datasheet/pdf/1a1cc6609a66cf4a5f637b42d486223c.pdf?productCode=C1864335,11590,0.0799,10,10,https://www.lcsc.com/product-detail/C1864335.html,0603,Tape & Reel (TR),330pF,±1%,100V,C0G
C162257,GRM1885C2A102JA01D,muRata,https://datasheet.lcsc.com/datasheet/pdf/7347f9b8d85b33a020207398cf924eb7.pdf?productCode=C162257,11580,0.0372,20,20,https://www.lcsc.com/product-detail/C162257.html,0603,Tape & Reel (TR),1nF,±5%,100V,C0G
