LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Type,Resistance,Tolerance,Voltage Rating,Power(Watts),Temperature Coefficient
C163424,RC0603FR-0739KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C163424,281100,0.0071,100,100,https://www.lcsc.com/product-detail/C163424.html,0603,Tape & Reel (TR),Thick Film Resistor,39kΩ,±1%,75V,100mW,±100ppm/℃
C140868,AC0805FR-0710KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C140868,280500,0.0083,100,100,https://www.lcsc.com/product-detail/C140868.html,0805,Tape & Reel (TR),Thick Film Resistor,10kΩ,±1%,150V,125mW,±100ppm/℃
C163474,RC0402FR-07270RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C163474,274000,0.0050,100,100,https://www.lcsc.com/product-detail/C163474.html,0402,Tape & Reel (TR),Thick Film Resistor,270Ω,±1%,50V,62.5mW,±100ppm/℃
C125933,AC0603FR-072KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C125933,272500,0.0070,100,100,https://www.lcsc.com/product-detail/C125933.html,0603,Tape & Reel (TR),Thick Film Resistor,2kΩ,±1%,75V,100mW,±100ppm/℃
C137714,RC0603FR-07499RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C137714,269000,0.0070,100,100,https://www.lcsc.com/product-detail/C137714.html,0603,Tape & Reel (TR),Thick Film Resistor,499Ω,±1%,75V,100mW,±100ppm/℃
C228604,AC0805FR-071ML,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C228604,263800,0.0108,100,100,https://www.lcsc.com/product-detail/C228604.html,0805,Tape & Reel (TR),Thick Film Resistor,1MΩ,±1%,150V,125mW,±100ppm/℃
C114521,RC0805FR-072K4L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C114521,260400,0.0092,100,100,https://www.lcsc.com/product-detail/C114521.html,0805,Tape & Reel (TR),Thick Film Resistor,2.4kΩ,±1%,150V,125mW,±100ppm/℃
C114634,RC0603FR-077K5L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C114634,258200,0.0067,100,100,https://www.lcsc.com/product-detail/C114634.html,0603,Tape & Reel (TR),Thick Film Resistor,7.5kΩ,±1%,75V,100mW,±100ppm/℃
C114151,RC0402FR-07140KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C114151,256400,0.0025,100,100,https://www.lcsc.com/product-detail/C114151.html,0402,Tape & Reel (TR),Thick Film Resistor,140kΩ,±1%,50V,62.5mW,±100ppm/℃
C112296,RC0402FR-072K4L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C112296,253000,0.0038,100,100,https://www.lcsc.com/product-detail/C112296.html,0402,Tape & Reel (TR),Thick Film Resistor,2.4kΩ,±1%,50V,62.5mW,±100ppm/℃
