LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Type,Resistance,Tolerance,Voltage Rating,Power(Watts),Temperature Coefficient
C227232,AC0402FR-077K68L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C227232,2600,0.0019,100,100,https://www.lcsc.com/product-detail/C227232.html,0402,Tape & Reel (TR),Thick Film Resistor,7.68kΩ,±1%,50V,62.5mW,±100ppm/℃
C185303,RC0603FR-0793R1L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C185303,2600,0.0022,100,100,https://www.lcsc.com/product-detail/C185303.html,0603,Tape & Reel (TR),Thick Film Resistor,93.1Ω,±1%,75V,100mW,±100ppm/℃
C137559,RC0805FR-07270KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C137559,2600,0.0076,100,100,https://www.lcsc.com/product-detail/C137559.html,0805,Tape & Reel (TR),Thick Film Resistor,270kΩ,±1%,150V,125mW,±100ppm/℃
C1883520,AF0402FR-07120RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/ebd14ddabfb2b500a2b3786a8b0d1c4f.pdf?productCode=C1883520,2550,0.0107,50,50,https://www.lcsc.com/product-detail/C1883520.html,0402,Tape & Reel (TR),Thick Film Resistor,120Ω,±1%,50V,62.5mW,±100ppm/℃
C144110,AF0603FR-0756KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/ebd14ddabfb2b500a2b3786a8b0d1c4f.pdf?productCode=C144110,2550,0.0156,50,50,https://www.lcsc.com/product-detail/C144110.html,0603,Tape & Reel (TR),Thick Film Resistor,56kΩ,±1%,75V,100mW,±100ppm/℃
C2098014,AF0402FR-0782RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/ebd14ddabfb2b500a2b3786a8b0d1c4f.pdf?productCode=C2098014,2500,0.0019,100,100,https://www.lcsc.com/product-detail/C2098014.html,0402,Tape & Reel (TR),Thick Film Resistor,82Ω,±1%,50V,62.5mW,±100ppm/℃
C483251,RC0805FR-079M09L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C483251,2500,0.0022,100,100,https://www.lcsc.com/product-detail/C483251.html,0805,Tape & Reel (TR),Thick Film Resistor,9.09MΩ,±1%,150V,125mW,±100ppm/℃
C483175,RC0805FR-075M62L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C483175,2500,0.0047,100,100,https://www.lcsc.com/product-detail/C483175.html,0805,Tape & Reel (TR),Thick Film Resistor,5.62MΩ,±1%,150V,125mW,±100ppm/℃
C483088,RC0805FR-073M01L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C483088,2500,0.0054,100,100,https://www.lcsc.com/product-detail/C483088.html,0805,Tape & Reel (TR),Thick Film Resistor,3.01MΩ,±1%,150V,125mW,±100ppm/℃
C482988,RC0805FR-071M87L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C482988,2500,0.0051,100,100,https://www.lcsc.com/product-detail/C482988.html,0805,Tape & Reel (TR),Thick Film Resistor,1.87MΩ,±1%,150V,125mW,±100ppm/℃
C482775,RC0603FR-0716R2L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C482775,2500,0.0022,100,100,https://www.lcsc.com/product-detail/C482775.html,0603,Tape & Reel (TR),Thick Film Resistor,16.2Ω,±1%,75V,100mW,±100ppm/℃
