LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Capacitance,Tolerance,Voltage Rating,Temperature Coefficient
C724001,CC1206JRNPO9BN271,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/4eca2bb4b507f1633db47e922d632b95.pdf?productCode=C724001,2580,0.0475,20,20,https://www.lcsc.com/product-detail/C724001.html,1206,Tape & Reel (TR),270pF,±5%,50V,NP0
C1850719,VJ0603Y102JXAAC,VISHAY,https://datasheet.lcsc.com/datasheet/pdf/eeb5a217987250da372b0768bba66d9f.pdf?productCode=C1850719,2560,0.1388,5,5,https://www.lcsc.com/product-detail/C1850719.html,0603,Tape & Reel (TR),1nF,±5%,50V,X7R
C527296,CC1206JRNPO9BN562,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/4eca2bb4b507f1633db47e922d632b95.pdf?productCode=C527296,2560,0.0708,10,10,https://www.lcsc.com/product-detail/C527296.html,1206,Tape & Reel (TR),5.6nF,±5%,50V,NP0
C162449,GRM31A5C2J471JW01D,muRata,https://datasheet.lcsc.com/datasheet/pdf/a0856e8f6ac60e981cdcf5805a7c7e29.pdf?productCode=C162449,2560,0.0881,10,10,https://www.lcsc.com/product-detail/C162449.html,1206,Tape & Reel (TR),470pF,±5%,630V,C0G
C599922,C0805C470J5GAC7800,KEMET,https://datasheet.lcsc.com/datasheet/pdf/c06407133426a56febf9fdebfb043e97.pdf?productCode=C599922,2550,0.0188,50,50,https://www.lcsc.com/product-detail/C599922.html,0805,Tape & Reel (TR),47pF,±5%,50V,C0G
C599646,C0603C104J4RAC7867,KEMET,https://datasheet.lcsc.com/datasheet/pdf/838ac0f67ef10e0bd44dcb54136c1715.pdf?productCode=C599646,2550,0.0622,10,10,https://www.lcsc.com/product-detail/C599646.html,0603,Tape & Reel (TR),100nF,±5%,16V,X7R
C2168860,C0603C181J5GACTU,KEMET,https://datasheet.lcsc.com/datasheet/pdf/39767117ba5ceac409bdd2bc668d7c59.pdf?productCode=C2168860,2540,0.0366,20,20,https://www.lcsc.com/product-detail/C2168860.html,0603,Tape & Reel (TR),180pF,±5%,50V,C0G
C2167273,C0805C102J1GACTU,KEMET,https://datasheet.lcsc.com/datasheet/pdf/39767117ba5ceac409bdd2bc668d7c59.pdf?productCode=C2167273,2540,0.0360,20,20,https://www.lcsc.com/product-detail/C2167273.html,0805,Tape & Reel (TR),1nF,±5%,100V,C0G
C597142,06035A181JAT2A,Kyocera AVX,,2540,0.0352,20,20,https://www.lcsc.com/product-detail/C597142.html,0603,Tape & Reel (TR),180pF,±5%,50V,C0G
C2169606,C0805C222J5GACTU,KEMET,https://datasheet.lcsc.com/datasheet/pdf/39767117ba5ceac409bdd2bc668d7c59.pdf?productCode=C2169606,2520,0.0369,20,20,https://www.lcsc.com/product-detail/C2169606.html,0805,Tape & Reel (TR),2.2nF,±5%,50V,C0G
C541477,CC1206JRNPO9BN331,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/4eca2bb4b507f1633db47e922d632b95.pdf?productCode=C541477,2520,0.0437,20,20,https://www.lcsc.com/product-detail/C541477.html,1206,Tape & Reel (TR),330pF,±5%,50V,NP0
C440182,GRM1885C1H431JA01D,muRata,https://datasheet.lcsc.com/datasheet/pdf/487017f6b54a225cb531ae9163fbe3cd.pdf?productCode=C440182,2520,0.0270,20,20,https://www.lcsc.com/product-detail/C440182.html,0603,Tape & Reel (TR),430pF,±5%,50V,C0G
C437474,GCM2165C2A471JA16D,muRata,https://datasheet.lcsc.com/datasheet/pdf/85f4a41ef4e34047da8bc0c6c562a4a2.pdf?productCode=C437474,2520,0.0424,20,20,https://www.lcsc.com/product-detail/C437474.html,0805,Tape & Reel (TR),470pF,±5%,100V,C0G
C3873632,GRT3195C2A103JA02D,muRata,https://datasheet.lcsc.com/datasheet/pdf/fc7a56796d766c70af89b5dbdbb30283.pdf?productCode=C3873632,2515,0.1418,5,5,https://www.lcsc.com/product-detail/C3873632.html,1206,Tape & Reel (TR),10nF,±5%,100V,C0G
C5119306,GCM155R71H122JA37D,muRata,https://datasheet.lcsc.com/datasheet/pdf/de0fb1dc1d066e4bf612ae66dfac6d90.pdf?productCode=C5119306,2500,0.0121,50,50,https://www.lcsc.com/product-detail/C5119306.html,0402,Tape & Reel (TR),1.2nF,±5%,50V,X7R
C711034,GRM31B5C2E123JWA1L,muRata,https://datasheet.lcsc.com/datasheet/pdf/37ecafbd534c932f0ad44a29461c94c0.pdf?productCode=C711034,2500,0.0797,10,10,https://www.lcsc.com/product-detail/C711034.html,1206,Tape & Reel (TR),12nF,±5%,250V,C0G
C599683,C0603C160J5GAC7867,KEMET,https://datasheet.lcsc.com/datasheet/pdf/00942e6816fe673a7f41c338adcc620a.pdf?productCode=C599683,2500,0.0265,20,20,https://www.lcsc.com/product-detail/C599683.html,0603,Tape & Reel (TR),16pF,±5%,50V,C0G
C541527,CC0805JRX7R8BB224,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/23ccee80ee542e7cf156a772bb589942.pdf?productCode=C541527,2500,0.0235,50,50,https://www.lcsc.com/product-detail/C541527.html,0805,Tape & Reel (TR),220nF,±5%,25V,X7R
C541452,CC0402JRX7R9BB122,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/23ccee80ee542e7cf156a772bb589942.pdf?productCode=C541452,2500,0.0034,100,100,https://www.lcsc.com/product-detail/C541452.html,0402,Tape & Reel (TR),1.2nF,±5%,50V,X7R
C519509,CC0603JRX7R7BB103,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/23ccee80ee542e7cf156a772bb589942.pdf?productCode=C519509,2500,0.0127,100,100,https://www.lcsc.com/product-detail/C519509.html,0603,Tape & Reel (TR),10nF,±5%,16V,X7R
C3845779,GQM1875C2E200GB12D,muRata,https://datasheet.lcsc.com/datasheet/pdf/4db566a607b4bdcee4d4917ff683453b.pdf?productCode=C3845779,2495,0.2133,5,5,https://www.lcsc.com/product-detail/C3845779.html,0603,Tape & Reel (TR),20pF,±2%,250V,C0G
C519571,CC0603FRNPO9BN431,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/4eca2bb4b507f1633db47e922d632b95.pdf?productCode=C519571,2480,0.0305,20,20,https://www.lcsc.com/product-detail/C519571.html,0603,Tape & Reel (TR),430pF,±1%,50V,NP0
C1864732,C0603C221F5GACAUTO,KEMET,https://datasheet.lcsc.com/datasheet/pdf/73c030c092cad88867b92e86f262076b.pdf?productCode=C1864732,2475,0.1765,5,5,https://www.lcsc.com/product-detail/C1864732.html,0603,Tape & Reel (TR),220pF,±1%,50V,C0G
C2167348,C0603C472J5GACTU,KEMET,https://datasheet.lcsc.com/datasheet/pdf/39767117ba5ceac409bdd2bc668d7c59.pdf?productCode=C2167348,2470,0.0535,10,10,https://www.lcsc.com/product-detail/C2167348.html,0603,Tape & Reel (TR),4.7nF,±5%,50V,C0G
C1864237,GCM1885C2A120FA16D,muRata,https://datasheet.lcsc.com/datasheet/pdf/20f3990fff7db047903570f2a05be767.pdf?productCode=C1864237,2470,0.0475,10,10,https://www.lcsc.com/product-detail/C1864237.html,0603,Tape & Reel (TR),12pF,±1%,100V,C0G
C3909605,CC1206JRNPO9BN333,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/4eca2bb4b507f1633db47e922d632b95.pdf?productCode=C3909605,2460,0.1652,5,5,https://www.lcsc.com/product-detail/C3909605.html,1206,Tape & Reel (TR),33nF,±5%,50V,C0G
C541545,CC1206JRX7R9BB823,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/23ccee80ee542e7cf156a772bb589942.pdf?productCode=C541545,2460,0.0484,20,20,https://www.lcsc.com/product-detail/C541545.html,1206,Tape & Reel (TR),82nF,±5%,50V,X7R
C2167413,C0805C101JCGACTU,KEMET,https://datasheet.lcsc.com/datasheet/pdf/757a567771d15ffa56dd07e7e6ca25a9.pdf?productCode=C2167413,2455,0.0703,5,5,https://www.lcsc.com/product-detail/C2167413.html,0805,Tape & Reel (TR),100pF,±5%,500V,C0G
C2167086,GRM1885C2A102JA01J,muRata,https://datasheet.lcsc.com/datasheet/pdf/dc80f173ed1ca4d9dabf8fd233ec3431.pdf?productCode=C2167086,2450,0.0182,50,50,https://www.lcsc.com/product-detail/C2167086.html,0603,Tape & Reel (TR),1nF,±5%,100V,C0G
C576779,CC0603FRNPO9BN152,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/4eca2bb4b507f1633db47e922d632b95.pdf?productCode=C576779,2450,0.0270,50,50,https://www.lcsc.com/product-detail/C576779.html,0603,Tape & Reel (TR),1.5nF,±1%,50V,NP0
C520058,CC0805GRNPO9BN220,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/4eca2bb4b507f1633db47e922d632b95.pdf?productCode=C520058,2450,0.0225,50,50,https://www.lcsc.com/product-detail/C520058.html,0805,Tape & Reel (TR),22pF,±2%,50V,NP0
C519557,CC0603JRX7R6BB474,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/23ccee80ee542e7cf156a772bb589942.pdf?productCode=C519557,2450,0.0173,50,50,https://www.lcsc.com/product-detail/C519557.html,0603,Tape & Reel (TR),470nF,±5%,10V,X7R
C519460,CC0603GRNPO9BN160,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/4eca2bb4b507f1633db47e922d632b95.pdf?productCode=C519460,2450,0.0157,50,50,https://www.lcsc.com/product-detail/C519460.html,0603,Tape & Reel (TR),16pF,±2%,50V,NP0
C513323,06035A120JAT2A,Kyocera AVX,,2450,0.0202,50,50,https://www.lcsc.com/product-detail/C513323.html,0603,Tape & Reel (TR),12pF,±5%,50V,C0G
C541496,CC1206JKNPOCBN561,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/9a86cbae8c34c796174906a7ab23dad0.pdf?productCode=C541496,2440,0.0511,20,20,https://www.lcsc.com/product-detail/C541496.html,1206,Tape & Reel (TR),560pF,±5%,1kV,NP0
C2179269,GQM2195C2E150JB12D,muRata,https://datasheet.lcsc.com/datasheet/pdf/26f1ead7bc608b57806ba5c637185505.pdf?productCode=C2179269,2435,0.1503,5,5,https://www.lcsc.com/product-detail/C2179269.html,0805,Tape & Reel (TR),15pF,±5%,250V,C0G
C97947,GRM31C5C1H823JA01L,muRata,https://datasheet.lcsc.com/datasheet/pdf/6506bc13d9244c2da61487a7e99d2e7b.pdf?productCode=C97947,2435,0.3681,5,5,https://www.lcsc.com/product-detail/C97947.html,1206,Tape & Reel (TR),82nF,±5%,50V,C0G
C2174465,C0805C182J2GACAUTO,KEMET,https://datasheet.lcsc.com/datasheet/pdf/73c030c092cad88867b92e86f262076b.pdf?productCode=C2174465,2430,0.0421,10,10,https://www.lcsc.com/product-detail/C2174465.html,0805,Tape & Reel (TR),1.8nF,±5%,200V,C0G
C1517809,GCM2165C2A222FA16D,muRata,https://datasheet.lcsc.com/datasheet/pdf/b8bf5c9961659df005c675a7d3fc8848.pdf?productCode=C1517809,2405,0.1625,5,5,https://www.lcsc.com/product-detail/C1517809.html,0805,Tape & Reel (TR),2.2nF,±1%,100V,C0G
C3890373,VJ0402A100JXACW1BC,VISHAY,https://datasheet.lcsc.com/datasheet/pdf/f92b5b50c1d428b0e4ea30eaa54cda54.pdf?productCode=C3890373,2400,0.0306,20,20,https://www.lcsc.com/product-detail/C3890373.html,0402,Tape & Reel (TR),10pF,±5%,50V,C0G
C2194838,AC0603JRNPO9BN121,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/e147909414eb3b900a42b90481dc8914.pdf?productCode=C2194838,2400,0.0104,100,100,https://www.lcsc.com/product-detail/C2194838.html,0603,Tape & Reel (TR),120pF,±5%,50V,NP0
C597110,06033A102JAT2A,Kyocera AVX,,2400,0.0278,20,20,https://www.lcsc.com/product-detail/C597110.html,0603,Tape & Reel (TR),1nF,±5%,25V,C0G
