LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Capacitance,Tolerance,Voltage Rating,Temperature Coefficient
C126506,GCM1555C1H330JA16D,muRata,https://datasheet.lcsc.com/datasheet/pdf/84915f8a598d44eba143450defe5e456.pdf?productCode=C126506,241400,0.0258,50,50,https://www.lcsc.com/product-detail/C126506.html,0402,Tape & Reel (TR),33pF,±5%,50V,C0G
C77590,CC0402JRNPO9BN160,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/4eca2bb4b507f1633db47e922d632b95.pdf?productCode=C77590,238300,0.0063,100,100,https://www.lcsc.com/product-detail/C77590.html,0402,Tape & Reel (TR),16pF,±5%,50V,NP0
C309125,AC0402JRNPO9BN100,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/e147909414eb3b900a42b90481dc8914.pdf?productCode=C309125,236500,0.0074,100,100,https://www.lcsc.com/product-detail/C309125.html,0402,Tape & Reel (TR),10pF,±5%,50V,NP0
C113796,CC0603JRNPO9BN201,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/4eca2bb4b507f1633db47e922d632b95.pdf?productCode=C113796,235300,0.0094,100,100,https://www.lcsc.com/product-detail/C113796.html,0603,Tape & Reel (TR),200pF,±5%,50V,NP0
C107046,CC0603JRNPO9BN271,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/4eca2bb4b507f1633db47e922d632b95.pdf?productCode=C107046,232700,0.0135,50,50,https://www.lcsc.com/product-detail/C107046.html,0603,Tape & Reel (TR),270pF,±5%,50V,NP0
C62782,CC0603JRNPO9BN680,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/4eca2bb4b507f1633db47e922d632b95.pdf?productCode=C62782,230850,0.0135,50,50,https://www.lcsc.com/product-detail/C62782.html,0603,Tape & Reel (TR),68pF,±5%,50V,NP0
C85973,GRM1885C1H103JA01D,muRata,https://datasheet.lcsc.com/datasheet/pdf/a4d1e2744bd5d44ba57842651a3fd598.pdf?productCode=C85973,230380,0.0414,20,20,https://www.lcsc.com/product-detail/C85973.html,0603,Tape & Reel (TR),10nF,±5%,50V,C0G
C519399,CC0603JRNPO9BN131,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/4eca2bb4b507f1633db47e922d632b95.pdf?productCode=C519399,225800,0.0094,100,100,https://www.lcsc.com/product-detail/C519399.html,0603,Tape & Reel (TR),130pF,±5%,50V,NP0
C526980,CC0402FRNPO9BN300,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/4eca2bb4b507f1633db47e922d632b95.pdf?productCode=C526980,224400,0.0053,100,100,https://www.lcsc.com/product-detail/C526980.html,0402,Tape & Reel (TR),30pF,±1%,50V,NP0
C309467,CC0603FRNPO9BN100,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/4eca2bb4b507f1633db47e922d632b95.pdf?productCode=C309467,217800,0.0219,50,50,https://www.lcsc.com/product-detail/C309467.html,0603,Tape & Reel (TR),10pF,±1%,50V,NP0
