LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Diode Configuration,Pd - Power Dissipation,Zener Voltage(Nom),Reverse Leakage Current (Ir),Zener Voltage(Range),Operating Junction Temperature Range,Impedance(Zzt),Impedance(Zzk),Tolerance
C253188,BZX84C10VLT116,ROHM,https://datasheet.lcsc.com/datasheet/pdf/7eb3bb778ce61156ceadf22d0c32782b.pdf?productCode=C253188,1540,0.0328,20,20,https://www.lcsc.com/product-detail/C253188.html,SOT-23,Tape & Reel (TR),1 Independent,250mW,10V,200nA@7V,9.4V~10.6V,-,20Ω,-,-
C38670,LBZX84C5V1LT1G,LRC,https://datasheet.lcsc.com/datasheet/pdf/958c93fa8aaf4c88902c466265a898f6.pdf?productCode=C38670,5100,0.0264,50,50,https://www.lcsc.com/product-detail/C38670.html,SOT-23,Tape & Reel (TR),1 Independent,300mW,5.1V,2uA,4.8V~5.4V,-55℃~+150℃,60Ω,-,-
C12785,LBZX84C6V2LT1G,LRC,https://datasheet.lcsc.com/datasheet/pdf/f38bff37f838ce082f42e60b9be47320.pdf?productCode=C12785,6000,0.0169,20,20,https://www.lcsc.com/product-detail/C12785.html,SOT-23,Tape & Reel (TR),1 Independent,300mW,6.2V,100nA@13V,5.8V~6.6V,-55℃~+150℃,10Ω,170Ω,-
C3009003,BZX84C10-E3-08,VISHAY,https://datasheet.lcsc.com/datasheet/pdf/7a1a6ba3bbcc9a7596c60acc5d0ed92c.pdf?productCode=C3009003,235,0.3186,5,5,https://www.lcsc.com/product-detail/C3009003.html,SOT-23,Tape & Reel (TR),1 Independent,300mW,10V,200nA@7V,9.5V~10.5V,,20Ω,150Ω,
C185550,SZBZX84C15LT1G,onsemi,https://datasheet.lcsc.com/datasheet/pdf/9acbfbe7a0574aba9cc030127a4780a4.pdf?productCode=C185550,690,0.0578,10,10,https://www.lcsc.com/product-detail/C185550.html,SOT-23,Tape & Reel (TR),1 Independent,250mW,15V,50nA@10.5V,13.8V~15.6V,-65℃~+150℃,30Ω,,
C6522973,BZX84C3V6Q-7-F,DIODES,https://datasheet.lcsc.com/datasheet/pdf/0e9070e678a9cae3b02bc454e6fc458f.pdf?productCode=C6522973,410,0.0499,10,10,https://www.lcsc.com/product-detail/C6522973.html,SOT-23,Tape & Reel (TR),1 Independent,350mW,3.6V,5uA@1V,3.4V~3.8V,-65℃~+150℃,90Ω,600Ω,-
C5584968,BZX84C5V6Q-7-F,DIODES,https://datasheet.lcsc.com/datasheet/pdf/0e9070e678a9cae3b02bc454e6fc458f.pdf?productCode=C5584968,220,0.0471,10,10,https://www.lcsc.com/product-detail/C5584968.html,SOT-23,Tape & Reel (TR),1 Independent,350mW,5.6V,1uA,5.2V~6V,-65℃~+150℃,40Ω,400Ω,-
C5336513,BZX84C3V0LT116,ROHM,https://datasheet.lcsc.com/datasheet/pdf/b1c481c70e6d580c6457ae69049dd3c2.pdf?productCode=C5336513,100,0.2637,5,5,https://www.lcsc.com/product-detail/C5336513.html,SOT-23,Tape & Reel (TR),1 Independent,250mW,3V,10uA@1V,2.8V~3.2V,-,95Ω,-,-
C5244783,BZX84C3V9Q-7-F,DIODES,https://datasheet.lcsc.com/datasheet/pdf/0e9070e678a9cae3b02bc454e6fc458f.pdf?productCode=C5244783,100,0.2447,5,5,https://www.lcsc.com/product-detail/C5244783.html,SOT-23,Tape & Reel (TR),1 Independent,350mW,3.9V,3uA@1V,3.7V~4.1V,-65℃~+150℃,90Ω,600Ω,-
C5244774,BZX84C18Q-13-F,DIODES,https://datasheet.lcsc.com/datasheet/pdf/0e9070e678a9cae3b02bc454e6fc458f.pdf?productCode=C5244774,100,0.1171,5,5,https://www.lcsc.com/product-detail/C5244774.html,SOT-23,Tape & Reel (TR),1 Independent,350mW,18V,100nA@12.6V,16.8V~19.1V,-65℃~+150℃,45Ω,225Ω,-
C2978920,BZX84C4V7W-7-F,DIODES,https://datasheet.lcsc.com/datasheet/pdf/206166150a81d498b53c19abdfe92710.pdf?productCode=C2978920,320,0.0500,10,10,https://www.lcsc.com/product-detail/C2978920.html,SOT-323,Tape & Reel (TR),1 Independent,200mW,4.7V,3uA@2V,4.4V~5V,-65℃~+125℃,80Ω,600Ω,-
C2760563,BZX84C2V4Q-7-F,DIODES,https://datasheet.lcsc.com/datasheet/pdf/6e3d2789d74bed5f7c18cae2d269037d.pdf?productCode=C2760563,200,0.0381,10,10,https://www.lcsc.com/product-detail/C2760563.html,SOT-23-3,Tape & Reel (TR),1 Independent,300mW,2.4V,50uA@1V,2.2V~2.6V,-65℃~+150℃,100Ω,600Ω,-
C2760558,BZX84C3V3Q-7-F,DIODES,https://datasheet.lcsc.com/datasheet/pdf/0e9070e678a9cae3b02bc454e6fc458f.pdf?productCode=C2760558,340,0.0755,10,10,https://www.lcsc.com/product-detail/C2760558.html,SOT-23,Tape & Reel (TR),1 Independent,350mW,3.3V,5uA,3.1V~3.5V,-65℃~+150℃,95Ω,600Ω,-
C896944,SZBZX84C39LT3G,onsemi,https://datasheet.lcsc.com/datasheet/pdf/365b57ab99d2a7635d25c087b53674eb.pdf?productCode=C896944,215,0.1131,5,5,https://www.lcsc.com/product-detail/C896944.html,SOT-23,Tape & Reel (TR),1 Independent,225mW,39V,50nA@27.3V,37V~41V,-65℃~+150℃,130Ω,-,-
C894473,SZBZX84C33LT1G,onsemi,https://datasheet.lcsc.com/datasheet/pdf/be5c2b3c63ed81313871d64332b2e129.pdf?productCode=C894473,115,0.1246,5,5,https://www.lcsc.com/product-detail/C894473.html,SOT-23,Tape & Reel (TR),1 Independent,250mW,33V,50nA@23.1V,31V~35V,-65℃~+150℃,80Ω,-,-
C894459,SZBZX84C15ET1G,onsemi,https://datasheet.lcsc.com/datasheet/pdf/c4f904405710647e1b303fd88e4e392f.pdf?productCode=C894459,255,0.1178,5,5,https://www.lcsc.com/product-detail/C894459.html,SOT-23,Tape & Reel (TR),1 Independent,250mW,15V,50nA,13.8V~15.6V,-65℃~+150℃,30Ω,-,-
C460827,BZX84C5V1W-7-F,DIODES,https://datasheet.lcsc.com/datasheet/pdf/206166150a81d498b53c19abdfe92710.pdf?productCode=C460827,80,0.0453,10,10,https://www.lcsc.com/product-detail/C460827.html,SOT-323,Tape & Reel (TR),1 Independent,200mW,5.1V,2uA@2V,4.8V~5.4V,-65℃~+125℃,60Ω,500Ω,-
C460824,BZX84C3V6W-7-F,DIODES,https://datasheet.lcsc.com/datasheet/pdf/206166150a81d498b53c19abdfe92710.pdf?productCode=C460824,220,0.1121,5,5,https://www.lcsc.com/product-detail/C460824.html,SOT-323,Tape & Reel (TR),1 Independent,200mW,3.6V,5uA@1V,3.4V~3.8V,-65℃~+125℃,95Ω,600Ω,-
C236219,SZBZX84C10LT1G,onsemi,https://datasheet.lcsc.com/datasheet/pdf/cb981d998282ee9186f7bb0422c42f4a.pdf?productCode=C236219,490,0.1697,5,5,https://www.lcsc.com/product-detail/C236219.html,SOT-23,Tape & Reel (TR),1 Independent,250mW,10V,200nA@6V,9.4V~10.6V,-65℃~+150℃,20Ω,-,-
C131831,LBZX84C2V7LT1G,LRC,https://datasheet.lcsc.com/datasheet/pdf/f38bff37f838ce082f42e60b9be47320.pdf?productCode=C131831,3020,0.0284,20,20,https://www.lcsc.com/product-detail/C131831.html,SOT-23,Tape & Reel (TR),1 Independent,300mW,2.7V,20uA,2.5V~2.9V,-55℃~+150℃,100Ω,600Ω,-
C131829,LBZX84C3V0LT1G,LRC,https://datasheet.lcsc.com/datasheet/pdf/f38bff37f838ce082f42e60b9be47320.pdf?productCode=C131829,2780,0.0220,20,20,https://www.lcsc.com/product-detail/C131829.html,SOT-23,Tape & Reel (TR),1 Independent,300mW,3V,10uA,2.8V~3.2V,-55℃~+150℃,95Ω,500Ω,-
C12731,LBZX84C9V1LT1G,LRC,https://datasheet.lcsc.com/datasheet/pdf/f38bff37f838ce082f42e60b9be47320.pdf?productCode=C12731,2950,0.0230,50,50,https://www.lcsc.com/product-detail/C12731.html,SOT-23,Tape & Reel (TR),1 Independent,300mW,9.1V,500nA,8.5V~9.6V,-55℃~+150℃,15Ω,100Ω,-
C12728,LBZX84C5V6LT1G,LRC,https://datasheet.lcsc.com/datasheet/pdf/f38bff37f838ce082f42e60b9be47320.pdf?productCode=C12728,3300,0.0215,20,20,https://www.lcsc.com/product-detail/C12728.html,SOT-23,Tape & Reel (TR),1 Independent,300mW,5.6V,1uA,5.2V~6V,-55℃~+150℃,40Ω,170Ω,-
C7435625,BZX84C8V2-13-F,DIODES,,140,0.0382,10,10,https://www.lcsc.com/product-detail/C7435625.html,SOT23,Tape & Reel (TR),,,,,,,,,
C7224202,BZX84C6V2T-7-F,DIODES,https://datasheet.lcsc.com/datasheet/pdf/3ee5bf45c04165640760181428724563.pdf?productCode=C7224202,60,0.0768,5,5,https://www.lcsc.com/product-detail/C7224202.html,SOT-523,Tape & Reel (TR),1 Independent,150mW,6.2V,3uA@4V,5.8V~6.6V,-65℃~+150℃,10Ω,400Ω,
C7224171,BZX84C3V6T-7-F,DIODES,https://datasheet.lcsc.com/datasheet/pdf/3ee5bf45c04165640760181428724563.pdf?productCode=C7224171,120,0.1091,5,5,https://www.lcsc.com/product-detail/C7224171.html,SOT-523,Tape & Reel (TR),1 Independent,150mW,3.6V,5uA@1V,3.4V~3.9V,-65℃~+150℃,90Ω,600Ω,
C7093941,BZX84C7V5Q-7-F,DIODES,https://datasheet.lcsc.com/datasheet/pdf/0e9070e678a9cae3b02bc454e6fc458f.pdf?productCode=C7093941,5,0.0826,5,5,https://www.lcsc.com/product-detail/C7093941.html,SOT-23,Tape & Reel (TR),1 Independent,350mW,7.5V,1uA,7V~7.9V,-65℃~+150℃,15Ω,80Ω,-
C7093918,BZX84C43Q-13-F,DIODES,https://datasheet.lcsc.com/datasheet/pdf/1b702302fd77b9622d440be4ac79742b.pdf?productCode=C7093918,80,0.0535,10,10,https://www.lcsc.com/product-detail/C7093918.html,SOT-23,Tape & Reel (TR),1 Independent,300mW,43V,100nA,40V~46V,-65℃~+150℃,150Ω,375Ω,-
C7093886,BZX84C20Q-13-F,DIODES,https://datasheet.lcsc.com/datasheet/pdf/1b702302fd77b9622d440be4ac79742b.pdf?productCode=C7093886,120,0.0535,10,10,https://www.lcsc.com/product-detail/C7093886.html,SOT-23,Tape & Reel (TR),1 Independent,350mW,20V,100nA@14V,18.8V~21.2V,-65℃~+150℃,55Ω,225Ω,-
C7093878,BZX84C13Q-13-F,DIODES,https://datasheet.lcsc.com/datasheet/pdf/1b702302fd77b9622d440be4ac79742b.pdf?productCode=C7093878,100,0.0455,10,10,https://www.lcsc.com/product-detail/C7093878.html,SOT-23,Tape & Reel (TR),1 Independent,350mW,13V,100nA@8V,12.4V~14.1V,-65℃~+150℃,30Ω,170Ω,-
C6870226,BZX84C24Q-13-F,DIODES,https://datasheet.lcsc.com/datasheet/pdf/1b702302fd77b9622d440be4ac79742b.pdf?productCode=C6870226,20,0.0535,10,10,https://www.lcsc.com/product-detail/C6870226.html,SOT-23,Tape & Reel (TR),1 Independent,350mW,24V,100nA@16.8V,22.8V~25.6V,-65℃~+150℃,70Ω,250Ω,-
C6756405,BZX84C8V2T-7-F,DIODES,https://datasheet.lcsc.com/datasheet/pdf/3ee5bf45c04165640760181428724563.pdf?productCode=C6756405,55,0.0708,5,5,https://www.lcsc.com/product-detail/C6756405.html,SOT-523,Tape & Reel (TR),1 Independent,150mW,8.2V,700nA,7.7V~8.7V,-65℃~+150℃,15Ω,80Ω,
C6522971,BZX84C3V0T-7-F,DIODES,https://datasheet.lcsc.com/datasheet/pdf/3ee5bf45c04165640760181428724563.pdf?productCode=C6522971,80,0.0661,10,10,https://www.lcsc.com/product-detail/C6522971.html,SOT-523,Tape & Reel (TR),1 Independent,150mW,3V,20uA@1V,2.8V~3.2V,-65℃~+150℃,95Ω,600Ω,
C6475280,BZX84C4V7T-7-F,DIODES,https://datasheet.lcsc.com/datasheet/pdf/3ee5bf45c04165640760181428724563.pdf?productCode=C6475280,130,0.0758,5,5,https://www.lcsc.com/product-detail/C6475280.html,SOT-523,Tape & Reel (TR),1 Independent,150mW,4.7V,3uA@2V,4.4V~5V,-65℃~+150℃,80Ω,600Ω,
C6475256,BZX84C3V9T-7-F,DIODES,https://datasheet.lcsc.com/datasheet/pdf/3ee5bf45c04165640760181428724563.pdf?productCode=C6475256,130,0.0801,5,5,https://www.lcsc.com/product-detail/C6475256.html,SOT-523,Tape & Reel (TR),1 Independent,150mW,3.9V,3uA@1V,3.7V~4.1V,-65℃~+150℃,90Ω,600Ω,
C6133161,BZX84C16Q-13-F,DIODES,https://datasheet.lcsc.com/datasheet/pdf/1b702302fd77b9622d440be4ac79742b.pdf?productCode=C6133161,130,0.0744,10,10,https://www.lcsc.com/product-detail/C6133161.html,SOT-23,Tape & Reel (TR),1 Independent,350mW,16V,100nA@11.2V,15.3V~17.1V,-65℃~+150℃,40Ω,200Ω,-
C5957071,BZX84C2V7Q-7-F,DIODES,https://datasheet.lcsc.com/datasheet/pdf/1b702302fd77b9622d440be4ac79742b.pdf?productCode=C5957071,70,0.0459,10,10,https://www.lcsc.com/product-detail/C5957071.html,SOT-23,Tape & Reel (TR),1 Independent,350mW,2.7V,20uA@1V,2.5V~2.9V,-65℃~+150℃,100Ω,600Ω,-
C5566679,BZX84C33Q-13-F,DIODES,https://datasheet.lcsc.com/datasheet/pdf/0e9070e678a9cae3b02bc454e6fc458f.pdf?productCode=C5566679,130,0.0499,10,10,https://www.lcsc.com/product-detail/C5566679.html,SOT-23,Tape & Reel (TR),1 Independent,350mW,33V,100nA@23.1V,31V~35V,-65℃~+150℃,80Ω,325Ω,-
C5248746,BZX84C6V8W-7-F,DIODES,https://datasheet.lcsc.com/datasheet/pdf/206166150a81d498b53c19abdfe92710.pdf?productCode=C5248746,40,0.1630,5,5,https://www.lcsc.com/product-detail/C5248746.html,SOT-323,Tape & Reel (TR),1 Independent,200mW,6.8V,2uA@4V,6.4V~7.2V,-65℃~+125℃,15Ω,150Ω,-
C5248739,BZX84C5V6T-7-F,DIODES,https://datasheet.lcsc.com/datasheet/pdf/3ee5bf45c04165640760181428724563.pdf?productCode=C5248739,50,0.0801,5,5,https://www.lcsc.com/product-detail/C5248739.html,SOT-523,Tape & Reel (TR),1 Independent,150mW,5.6V,1uA@2V,5.2V~6V,-65℃~+150℃,40Ω,480Ω,
C5248732,BZX84C3V9W-7-F,DIODES,https://datasheet.lcsc.com/datasheet/pdf/206166150a81d498b53c19abdfe92710.pdf?productCode=C5248732,130,0.0585,10,10,https://www.lcsc.com/product-detail/C5248732.html,SOT-323,Tape & Reel (TR),1 Independent,200mW,3.9V,3uA@1V,3.7V~4.1V,-65℃~+125℃,90Ω,600Ω,-
C5248714,BZX84C2V7W-7-F,DIODES,https://datasheet.lcsc.com/datasheet/pdf/206166150a81d498b53c19abdfe92710.pdf?productCode=C5248714,15,0.0952,5,5,https://www.lcsc.com/product-detail/C5248714.html,SOT-323,Tape & Reel (TR),1 Independent,200mW,2.7V,20uA@1V,2.5V~2.9V,-65℃~+125℃,100Ω,600Ω,-
C5248711,BZX84C2V7T-7-F,DIODES,https://datasheet.lcsc.com/datasheet/pdf/3ee5bf45c04165640760181428724563.pdf?productCode=C5248711,40,0.0671,5,5,https://www.lcsc.com/product-detail/C5248711.html,SOT-523,Tape & Reel (TR),1 Independent,150mW,2.7V,20uA@1V,2.5V~2.9V,-65℃~+150℃,100Ω,600Ω,
C5244786,BZX84C4V3Q-7-F,DIODES,https://datasheet.lcsc.com/datasheet/pdf/0e9070e678a9cae3b02bc454e6fc458f.pdf?productCode=C5244786,5,0.0773,5,5,https://www.lcsc.com/product-detail/C5244786.html,SOT-23,Tape & Reel (TR),1 Independent,350mW,4.3V,3uA@1V,4V~4.6V,-65℃~+150℃,90Ω,600Ω,-
C2760562,BZX84C4V7Q-7-F,DIODES,https://datasheet.lcsc.com/datasheet/pdf/0e9070e678a9cae3b02bc454e6fc458f.pdf?productCode=C2760562,140,0.0428,10,10,https://www.lcsc.com/product-detail/C2760562.html,SOT-23,Tape & Reel (TR),1 Independent,350mW,4.7V,3uA,4.4V~5V,-65℃~+150℃,80Ω,500Ω,-
C917506,BZX84C12-E3-08,VISHAY,https://datasheet.lcsc.com/datasheet/pdf/7a1a6ba3bbcc9a7596c60acc5d0ed92c.pdf?productCode=C917506,10,0.0737,10,10,https://www.lcsc.com/product-detail/C917506.html,SOT-23,Tape & Reel (TR),1 Independent,500mW,12V,100nA,11.4V~12.6V,,25Ω,150Ω,
C896938,SZBZX84C18LT3G,onsemi,https://datasheet.lcsc.com/datasheet/pdf/2b6a33904b95535eb4d1b6fa24468d31.pdf?productCode=C896938,35,0.2557,5,5,https://www.lcsc.com/product-detail/C896938.html,SOT-23,Tape & Reel (TR),1 Independent,250mW,18V,50nA@12.6V,16.8V~19.1V,-65℃~+150℃,45Ω,-,-
C896933,SZBZX84C13LT3G,onsemi,https://datasheet.lcsc.com/datasheet/pdf/365b57ab99d2a7635d25c087b53674eb.pdf?productCode=C896933,70,0.0382,10,10,https://www.lcsc.com/product-detail/C896933.html,SOT-23,Tape & Reel (TR),1 Independent,250mW,13V,100nA@8V,12.4V~14.1V,-65℃~+150℃,30Ω,-,-
