LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Diode Configuration,Pd - Power Dissipation,Zener Voltage(Nom),Reverse Leakage Current (Ir),Zener Voltage(Range),Operating Junction Temperature Range,Impedance(Zzt),Impedance(Zzk),Tolerance
C2992438,BZX84C18,PANJIT,https://datasheet.lcsc.com/datasheet/pdf/5c440ab6e812c7e3287eb1841af8e405.pdf?productCode=C2992438,40,0.0224,20,20,https://www.lcsc.com/product-detail/C2992438.html,SOT-23,Tape & Reel (TR),1 Independent,410mW,18V,100nA@12.6V,17.1V~18.9V,-55℃~+150℃,45Ω,225Ω,
C2832567,BZX84C36,CBI,https://datasheet.lcsc.com/datasheet/pdf/0395c5266549329bf40ccfb497359024.pdf?productCode=C2832567,450,0.0175,50,50,https://www.lcsc.com/product-detail/C2832567.html,SOT-23,Tape & Reel (TR),1 Independent,350mW,36V,50nA@25.2V,34V~38V,-65℃~+150℃,90Ω,-,-
C2832565,BZX84C30,CBI,https://datasheet.lcsc.com/datasheet/pdf/0395c5266549329bf40ccfb497359024.pdf?productCode=C2832565,700,0.0176,50,50,https://www.lcsc.com/product-detail/C2832565.html,SOT-23,Tape & Reel (TR),1 Independent,350mW,30V,50nA@21V,28V~32V,-65℃~+150℃,80Ω,-,-
C968280,BZX84C47,YANGJIE,https://datasheet.lcsc.com/datasheet/pdf/2789a6247502b9b98565f19d83975ad5.pdf?productCode=C968280,880,0.0270,20,20,https://www.lcsc.com/product-detail/C968280.html,SOT-23,Tape & Reel (TR),1 Independent,350mW,47V,100nA@32.9V,44.65V~49.35V,-55℃~+150℃,170Ω,375Ω,-
C968263,BZX84C30,YANGJIE,https://datasheet.lcsc.com/datasheet/pdf/2789a6247502b9b98565f19d83975ad5.pdf?productCode=C968263,820,0.0271,20,20,https://www.lcsc.com/product-detail/C968263.html,SOT-23,Tape & Reel (TR),1 Independent,350mW,30V,100nA@21V,28V~32V,-55℃~+150℃,80Ω,300Ω,-
C968257,BZX84C27,YANGJIE,https://datasheet.lcsc.com/datasheet/pdf/2789a6247502b9b98565f19d83975ad5.pdf?productCode=C968257,720,0.0276,20,20,https://www.lcsc.com/product-detail/C968257.html,SOT-23,Tape & Reel (TR),1 Independent,350mW,27V,100nA@18.9V,25.1V~28.9V,-55℃~+150℃,80Ω,300Ω,-
C968255,BZX84C24,YANGJIE,https://datasheet.lcsc.com/datasheet/pdf/2789a6247502b9b98565f19d83975ad5.pdf?productCode=C968255,480,0.0326,20,20,https://www.lcsc.com/product-detail/C968255.html,SOT-23,Tape & Reel (TR),1 Independent,350mW,24V,100nA@16.8V,22.8V~25.6V,-55℃~+150℃,70Ω,250Ω,-
C841168,BZX84C22,LGE,https://datasheet.lcsc.com/datasheet/pdf/f3a720c16a2b661f1c3deb7494c03c84.pdf?productCode=C841168,640,0.0175,20,20,https://www.lcsc.com/product-detail/C841168.html,SOT-23,Tape & Reel (TR),1 Independent,350mW,22V,100nA@15.4V,20.8V~23.3V,-65℃~+150℃,55Ω,250Ω,-
C841165,BZX84C16,LGE,https://datasheet.lcsc.com/datasheet/pdf/f3a720c16a2b661f1c3deb7494c03c84.pdf?productCode=C841165,1350,0.0199,50,50,https://www.lcsc.com/product-detail/C841165.html,SOT-23,Tape & Reel (TR),1 Independent,350mW,16V,100nA@11.2V,15.3V~17.1V,-65℃~+150℃,40Ω,200Ω,-
C841153,BZX84C30,LGE,https://datasheet.lcsc.com/datasheet/pdf/f3a720c16a2b661f1c3deb7494c03c84.pdf?productCode=C841153,1300,0.0180,50,50,https://www.lcsc.com/product-detail/C841153.html,SOT-23,Tape & Reel (TR),1 Independent,350mW,30V,100nA,28V~32V,-65℃~+150℃,80Ω,300Ω,-
C841151,BZX84C12,LGE,https://datasheet.lcsc.com/datasheet/pdf/f3a720c16a2b661f1c3deb7494c03c84.pdf?productCode=C841151,500,0.0264,50,50,https://www.lcsc.com/product-detail/C841151.html,SOT-23,Tape & Reel (TR),1 Independent,350mW,12V,100nA,11.4V~12.7V,-65℃~+150℃,25Ω,150Ω,-
C235747,BZX84C33,JSCJ,https://datasheet.lcsc.com/datasheet/pdf/53d237aace3255465876980a52b5518a.pdf?productCode=C235747,620,0.0248,20,20,https://www.lcsc.com/product-detail/C235747.html,SOT-23,Tape & Reel (TR),1 Independent,300mW,33V,100nA,31V~35V,-,80Ω,325Ω,-
C213379,BZX84C47,FMS(Formosa Microsemi),https://datasheet.lcsc.com/datasheet/pdf/d678676cc1edebf69cd60513d6c36d7a.pdf?productCode=C213379,60,0.0235,20,20,https://www.lcsc.com/product-detail/C213379.html,SOT-23,Tape & Reel (TR),1 Independent,300mW,47V,100nA,44.65V~49.55V,-55℃~+150℃,170Ω,375Ω,±5%
C118593,BZX84C56,ST(Semtech),https://datasheet.lcsc.com/datasheet/pdf/801f6d200d6942f299ea73342e4455c3.pdf?productCode=C118593,500,0.0326,20,20,https://www.lcsc.com/product-detail/C118593.html,TO-236,Tape & Reel (TR),1 Independent,350mW,56V,50nA@39.2V,52V~60V,-65℃~+150℃,200Ω,-,-
C118591,BZX84C47,ST(Semtech),https://datasheet.lcsc.com/datasheet/pdf/801f6d200d6942f299ea73342e4455c3.pdf?productCode=C118591,1280,0.0211,20,20,https://www.lcsc.com/product-detail/C118591.html,TO-236,Tape & Reel (TR),1 Independent,350mW,47V,50nA@32.9V,44V~50V,-65℃~+150℃,170Ω,-,-
C118590,BZX84C43,ST(Semtech),https://datasheet.lcsc.com/datasheet/pdf/801f6d200d6942f299ea73342e4455c3.pdf?productCode=C118590,1240,0.0212,20,20,https://www.lcsc.com/product-detail/C118590.html,TO-236,Tape & Reel (TR),1 Independent,350mW,43V,50nA@30.1V,40V~46V,-65℃~+150℃,150Ω,-,-
