LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Diode Configuration,Pd - Power Dissipation,Zener Voltage(Nom),Reverse Leakage Current (Ir),Zener Voltage(Range),Operating Junction Temperature Range,Impedance(Zzt),Impedance(Zzk),Tolerance
C21714318,BZX84C24,Slkor,https://datasheet.lcsc.com/datasheet/pdf/623bd5f12f1eeee8256bdb36f71ac8d0.pdf?productCode=C21714318,3000,0.0206,20,20,https://www.lcsc.com/product-detail/C21714318.html,SOT-23,Tape & Reel (TR),1 Independent,300mW,24V,100nA,22.8V~25.6V,-,70Ω,250Ω,-
C21714315,BZX84C10,Slkor,https://datasheet.lcsc.com/datasheet/pdf/623bd5f12f1eeee8256bdb36f71ac8d0.pdf?productCode=C21714315,50,0.0186,50,50,https://www.lcsc.com/product-detail/C21714315.html,SOT-23,Tape & Reel (TR),1 Independent,300mW,10V,200nA@7V,9.4V~10.6V,-,20Ω,150Ω,-
C21547684,BZX84C18,DOWO,https://datasheet.lcsc.com/datasheet/pdf/a1036fb75d0e5e943b55b8bd7ca2f3ac.pdf?productCode=C21547684,2600,0.0162,50,50,https://www.lcsc.com/product-detail/C21547684.html,SOT-23,Tape & Reel (TR),1 Independent,300mW,-,100nA@12.6V,16.8V~19.1V,-,45Ω,225Ω,-
C20623323,BZX84C24,YFW,https://datasheet.lcsc.com/datasheet/pdf/f4dc57098eb040b0e1b8719787fa1cb7.pdf?productCode=C20623323,250,0.0244,50,50,https://www.lcsc.com/product-detail/C20623323.html,SOT-23,Tape & Reel (TR),1 Independent,350mW,24V,50nA@16.8V,22.8V~25.6V,-65℃~+150℃,70Ω,-,-
C20623315,BZX84C11,YFW,https://datasheet.lcsc.com/datasheet/pdf/f4dc57098eb040b0e1b8719787fa1cb7.pdf?productCode=C20623315,3000,0.0271,20,20,https://www.lcsc.com/product-detail/C20623315.html,SOT-23,Tape & Reel (TR),1 Independent,350mW,11V,100nA@8V,10.4V~11.6V,-65℃~+150℃,20Ω,-,-
C20616326,BZX84C16,HXY MOSFET,https://datasheet.lcsc.com/datasheet/pdf/3722dfbf2e4f5fbc9650c9d0f6572322.pdf?productCode=C20616326,200,0.0148,50,50,https://www.lcsc.com/product-detail/C20616326.html,SOT-23,Tape & Reel (TR),1 Independent,200mW,16V,100nA@11.2V,15.3V~17.1V,-40℃~+125℃,40Ω,200Ω,-
C7528998,BZX84C12,amsem,https://datasheet.lcsc.com/datasheet/pdf/5ffa051684ae5ddf5f0e518e07e68bd9.pdf?productCode=C7528998,2850,0.0148,50,50,https://www.lcsc.com/product-detail/C7528998.html,SOT-23,Tape & Reel (TR),1 Independent,350mW,12V,100nA@8V,11.4V~12.7V,-55℃~+150℃,25Ω,150Ω,-
C6771875,BZX84C39,MOT,https://datasheet.lcsc.com/datasheet/pdf/664dfbbe40a8a129794d373db55de4a3.pdf?productCode=C6771875,150,0.0120,50,50,https://www.lcsc.com/product-detail/C6771875.html,SOT-23,Tape & Reel (TR),1 Independent,225mW,39V,40nA@27V,37.05V~40.95V,-,345Ω,-,±5%
C6771867,BZX84C18,MOT,https://datasheet.lcsc.com/datasheet/pdf/664dfbbe40a8a129794d373db55de4a3.pdf?productCode=C6771867,100,0.0117,50,50,https://www.lcsc.com/product-detail/C6771867.html,SOT-23,Tape & Reel (TR),1 Independent,225mW,18V,100nA@13V,17.1V~18.9V,-,213Ω,-,±5%
C5359919,BZX84C24,MSKSEMI,https://datasheet.lcsc.com/datasheet/pdf/d4eb39e5709f34dcfbb72fb8ad1739ba.pdf?productCode=C5359919,180,0.0234,20,20,https://www.lcsc.com/product-detail/C5359919.html,SOT-23,Tape & Reel (TR),1 Independent,300mW,24V,100nA,22.8V~25.6V,-,70Ω,250Ω,-
C5359918,BZX84C22,MSKSEMI,https://datasheet.lcsc.com/datasheet/pdf/d4eb39e5709f34dcfbb72fb8ad1739ba.pdf?productCode=C5359918,2480,0.0285,20,20,https://www.lcsc.com/product-detail/C5359918.html,SOT-23,Tape & Reel (TR),1 Independent,300mW,22V,100nA,20.8V~23.3V,-,55Ω,250Ω,-
C5359917,BZX84C20,MSKSEMI,https://datasheet.lcsc.com/datasheet/pdf/d4eb39e5709f34dcfbb72fb8ad1739ba.pdf?productCode=C5359917,200,0.0238,20,20,https://www.lcsc.com/product-detail/C5359917.html,SOT-23,Tape & Reel (TR),1 Independent,300mW,20V,100nA@14V,18.8V~21.2V,-,55Ω,225Ω,-
C5359912,BZX84C11,MSKSEMI,https://datasheet.lcsc.com/datasheet/pdf/d4eb39e5709f34dcfbb72fb8ad1739ba.pdf?productCode=C5359912,60,0.0222,20,20,https://www.lcsc.com/product-detail/C5359912.html,SOT-23,Tape & Reel (TR),1 Independent,300mW,11V,100nA@8V,10.4V~11.6V,-,20Ω,150Ω,-
C5356482,BZX84C10,Shikues,https://datasheet.lcsc.com/datasheet/pdf/626e3b1336ec55d49301beb82a8ddf99.pdf?productCode=C5356482,100,0.0163,50,50,https://www.lcsc.com/product-detail/C5356482.html,SOT-23,Tape & Reel (TR),1 Independent,225mW,10V,200nA,9.4V~10.6V,-,20Ω,-,-
C5190202,BZX84C13,Guangdong Hottech,https://datasheet.lcsc.com/datasheet/pdf/a994948af1613ccb448ade4b9f9e0b9e.pdf?productCode=C5190202,200,0.0205,50,50,https://www.lcsc.com/product-detail/C5190202.html,SOT-23,Tape & Reel (TR),1 Independent,350mW,13V,100nA,12.4V~14.1V,-65℃~+150℃,20Ω,170Ω,-
C5155443,BZX84C18,Slkor,https://datasheet.lcsc.com/datasheet/pdf/6cc1c8a7e1576e5aa4296677a901422f.pdf?productCode=C5155443,100,0.0189,50,50,https://www.lcsc.com/product-detail/C5155443.html,SOT-23,Tape & Reel (TR),1 Independent,300mW,18V,100nA@12.6V,16.8V~19.1V,-,45Ω,225Ω,-
C2993107,BZX84C39,MDD(Microdiode Semiconductor),https://datasheet.lcsc.com/datasheet/pdf/1e9419f9054a9c6069b3e826caef7e61.pdf?productCode=C2993107,2500,0.0183,50,50,https://www.lcsc.com/product-detail/C2993107.html,SOT-23,Tape & Reel (TR),1 Independent,300mW,37V,100nA@27.3V,39V~41V,-55℃~+150℃,130Ω,350Ω,-
C2993101,BZX84C27,MDD(Microdiode Semiconductor),https://datasheet.lcsc.com/datasheet/pdf/1e9419f9054a9c6069b3e826caef7e61.pdf?productCode=C2993101,2750,0.0181,50,50,https://www.lcsc.com/product-detail/C2993101.html,SOT-23,Tape & Reel (TR),1 Independent,300mW,25.1V,100nA@18.9V,25.1V~28.9V,-55℃~+150℃,80Ω,300Ω,-
C2993099,BZX84C22,MDD(Microdiode Semiconductor),https://datasheet.lcsc.com/datasheet/pdf/1e9419f9054a9c6069b3e826caef7e61.pdf?productCode=C2993099,2950,0.0181,50,50,https://www.lcsc.com/product-detail/C2993099.html,SOT-23,Tape & Reel (TR),1 Independent,300mW,20.8V,100nA@15.4V,22V~23.3V,-55℃~+150℃,55Ω,250Ω,-
C2993093,BZX84C12,MDD(Microdiode Semiconductor),https://datasheet.lcsc.com/datasheet/pdf/1e9419f9054a9c6069b3e826caef7e61.pdf?productCode=C2993093,2800,0.0181,50,50,https://www.lcsc.com/product-detail/C2993093.html,SOT-23,Tape & Reel (TR),1 Independent,300mW,11.4V,100nA@8V,12V~12.7V,-55℃~+150℃,25Ω,150Ω,-
C2974710,BZX84C75,FOSAN,https://datasheet.lcsc.com/datasheet/pdf/bfb616304bcb35439f6e12040262e294.pdf?productCode=C2974710,200,0.0186,50,50,https://www.lcsc.com/product-detail/C2974710.html,SOT-23,Tape & Reel (TR),1 Independent,300mW,75V,50nA,70V~79V,-55℃~+125℃,150Ω,500Ω,-
C2843309,BZX84C12,Slkor,https://datasheet.lcsc.com/datasheet/pdf/1c84f575f91eae832b96152030cd3699.pdf?productCode=C2843309,50,0.0192,50,50,https://www.lcsc.com/product-detail/C2843309.html,SOT-23,Tape & Reel (TR),1 Independent,300mW,12V,100nA@8V,11.4V~12.7V,-55℃~+150℃,25Ω,150Ω,-
C2832555,BZX84C11,CBI,https://datasheet.lcsc.com/datasheet/pdf/0395c5266549329bf40ccfb497359024.pdf?productCode=C2832555,2950,0.0209,50,50,https://www.lcsc.com/product-detail/C2832555.html,SOT-23,Tape & Reel (TR),1 Independent,350mW,11V,100nA@8V,10.4V~11.6V,-65℃~+150℃,20Ω,-,-
