LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Diode Configuration,Pd - Power Dissipation,Zener Voltage(Nom),Reverse Leakage Current (Ir),Zener Voltage(Range),Operating Junction Temperature Range,Impedance(Zzt),Impedance(Zzk),Tolerance
C47075,BZX84C5V1LT1G,onsemi,https://datasheet.lcsc.com/datasheet/pdf/3f217d10c0454fd3a420e5c051d94ae6.pdf?productCode=C47075,42460,0.0362,10,10,https://www.lcsc.com/product-detail/C47075.html,SOT-23,Tape & Reel (TR),1 Independent,250mW,5.1V,2uA@2V,4.8V~5.4V,-65℃~+150℃,60Ω,-,-
C82473,BZX84C3V3LT1G,onsemi,https://datasheet.lcsc.com/datasheet/pdf/9acbfbe7a0574aba9cc030127a4780a4.pdf?productCode=C82473,35900,0.0381,20,20,https://www.lcsc.com/product-detail/C82473.html,SOT-23,Tape & Reel (TR),1 Independent,250mW,3.3V,5uA@1V,3.1V~3.5V,-65℃~+150℃,95Ω,,
C82470,BZX84C6V2LT1G,onsemi,https://datasheet.lcsc.com/datasheet/pdf/9acbfbe7a0574aba9cc030127a4780a4.pdf?productCode=C82470,24440,0.0495,10,10,https://www.lcsc.com/product-detail/C82470.html,SOT-23,Tape & Reel (TR),1 Independent,250mW,6.2V,3uA,5.8V~6.6V,-65℃~+150℃,10Ω,,
C82469,BZX84C8V2LT1G,onsemi,https://datasheet.lcsc.com/datasheet/pdf/9acbfbe7a0574aba9cc030127a4780a4.pdf?productCode=C82469,18920,0.0484,10,10,https://www.lcsc.com/product-detail/C82469.html,SOT-23,Tape & Reel (TR),1 Independent,250mW,8.2V,700nA@5V,7.7V~8.7V,-65℃~+150℃,15Ω,,
C236174,BZX84C2V7LT1G,onsemi,https://datasheet.lcsc.com/datasheet/pdf/a55b515fab5d551436730b0ae9433317.pdf?productCode=C236174,14140,0.0322,20,20,https://www.lcsc.com/product-detail/C236174.html,SOT-23,Tape & Reel (TR),1 Independent,250mW,2.7V,20uA@1V,2.5V~2.9V,-65℃~+150℃,100Ω,-,-
C47073,BZX84C2V4LT1G,onsemi,https://datasheet.lcsc.com/datasheet/pdf/3f217d10c0454fd3a420e5c051d94ae6.pdf?productCode=C47073,16190,0.0423,10,10,https://www.lcsc.com/product-detail/C47073.html,SOT-23,Tape & Reel (TR),1 Independent,250mW,2.4V,50uA@1V,2.2V~2.6V,-65℃~+150℃,100Ω,-,-
C90848,BZX84C6V8LT1G,onsemi,https://datasheet.lcsc.com/datasheet/pdf/9acbfbe7a0574aba9cc030127a4780a4.pdf?productCode=C90848,10180,0.0494,10,10,https://www.lcsc.com/product-detail/C90848.html,SOT-23,Tape & Reel (TR),1 Independent,250mW,6.8V,2uA@4V,6.4V~7.2V,-65℃~+150℃,15Ω,,
C82472,BZX84C4V7LT1G,onsemi,https://datasheet.lcsc.com/datasheet/pdf/9acbfbe7a0574aba9cc030127a4780a4.pdf?productCode=C82472,10220,0.0375,20,20,https://www.lcsc.com/product-detail/C82472.html,SOT-23,Tape & Reel (TR),1 Independent,250mW,4.7V,3uA@2V,4.4V~5V,-65℃~+150℃,80Ω,,
C96084,LBZX84C39LT1G,LRC,https://datasheet.lcsc.com/datasheet/pdf/f38bff37f838ce082f42e60b9be47320.pdf?productCode=C96084,18850,0.0192,50,50,https://www.lcsc.com/product-detail/C96084.html,SOT-23,Tape & Reel (TR),1 Independent,300mW,39V,50nA,37V~41V,-55℃~+150℃,130Ω,550Ω,-
C94414,BZX84C3V9LT1G,onsemi,https://datasheet.lcsc.com/datasheet/pdf/9acbfbe7a0574aba9cc030127a4780a4.pdf?productCode=C94414,8580,0.0424,10,10,https://www.lcsc.com/product-detail/C94414.html,SOT-23,Tape & Reel (TR),1 Independent,250mW,3.9V,3uA,3.7V~4.1V,-65℃~+150℃,90Ω,,
