LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Diode Configuration,Pd - Power Dissipation,Zener Voltage(Nom),Reverse Leakage Current (Ir),Zener Voltage(Range),Operating Junction Temperature Range,Impedance(Zzt),Impedance(Zzk),Tolerance
C42419983,MMSZ5245BT1G-CN,ChipNobo,https://datasheet.lcsc.com/datasheet/pdf/106b493be1cc150acc1b5f7eb43c24fa.pdf?productCode=C42419983,750,0.0139,50,50,https://www.lcsc.com/product-detail/C42419983.html,SOD-123,Tape & Reel (TR),1 Independent,500mW,15V,100nA@11V,14.25V~15.75V,-65℃~+150℃,16Ω,600Ω,-
C2987012,MMSZ5223B-7-F,DIODES,https://datasheet.lcsc.com/datasheet/pdf/9fcdbb98526725f0b0a14ceb5eec7814.pdf?productCode=C2987012,740,0.0399,10,10,https://www.lcsc.com/product-detail/C2987012.html,SOD-123,Tape & Reel (TR),1 Independent,370mW,2.7V,75uA@1V,2.57V~2.84V,-65℃~+150℃,30Ω,1.3kΩ,
C191369,MMSZ5236BS,JSCJ,https://datasheet.lcsc.com/datasheet/pdf/f2d70d7d0aa0540a5373d968a7944db0.pdf?productCode=C191369,740,0.0241,20,20,https://www.lcsc.com/product-detail/C191369.html,SOD-323,Tape & Reel (TR),1 Independent,200mW,7.5V,3uA,7.13V~7.88V,-55℃~+150℃,6Ω,500Ω,-
C2975768,AD-MMSZ5259BS,JSCJ,https://datasheet.lcsc.com/datasheet/pdf/16845c23417681854db58af07139e80e.pdf?productCode=C2975768,720,0.0305,20,20,https://www.lcsc.com/product-detail/C2975768.html,SOD-323,Tape & Reel (TR),1 Independent,200mW,39V,100nA,37.05V~40.95V,-55℃~+150℃,80Ω,800Ω,-
C2903819,MMSZ5232B,LGE,https://datasheet.lcsc.com/datasheet/pdf/6b57e24f6d27c1e26d1a67ae974501ad.pdf?productCode=C2903819,710,0.0192,10,10,https://www.lcsc.com/product-detail/C2903819.html,SOD-123,Tape & Reel (TR),1 Independent,500mW,5.6V,5uA@3V,5.32V~5.88V,-,11Ω,1.6kΩ,-
C326518,MMSZ5245BQ-7-F,DIODES,https://datasheet.lcsc.com/datasheet/pdf/9fcdbb98526725f0b0a14ceb5eec7814.pdf?productCode=C326518,700,0.0369,20,20,https://www.lcsc.com/product-detail/C326518.html,SOD-123,Tape & Reel (TR),1 Independent,370mW,15V,100nA@11V,14.25V~15.75V,-65℃~+150℃,16Ω,600Ω,
C268625,MMSZ5256B_R1_ 00001,PANJIT,https://datasheet.lcsc.com/datasheet/pdf/3446563a52aaf689b1c540fed5979442.pdf?productCode=C268625,680,0.0282,20,20,https://www.lcsc.com/product-detail/C268625.html,SOD-123,Tape & Reel (TR),1 Independent,500mW,30V,100nA@23V,28.5V~31.5V,-55℃~+150℃,49Ω,,
C263326,MMSZ5255B_R1_00001,PANJIT,https://datasheet.lcsc.com/datasheet/pdf/2cc96a00bf4c1cd5a1b4fec688057279.pdf?productCode=C263326,680,0.0344,20,20,https://www.lcsc.com/product-detail/C263326.html,SOD-123,Tape & Reel (TR),1 Independent,500mW,28V,100nA@21V,26.6V~29.4V,-55℃~+150℃,44Ω,600Ω,-
C5362067,MMSZ5234BS,CBI,https://datasheet.lcsc.com/datasheet/pdf/f15fd07719b1219cd3ea9367b4ebb0dc.pdf?productCode=C5362067,660,0.0188,20,20,https://www.lcsc.com/product-detail/C5362067.html,SOD-323,Tape & Reel (TR),1 Independent,200mW,6.2V,5uA,5.89V~6.51V,-55℃~+150℃,7Ω,1kΩ,-
C2902544,MMSZ5263B_R1_00001,PANJIT,https://datasheet.lcsc.com/datasheet/pdf/c459fc2ca06ff8cd5596d4e782da5d6a.pdf?productCode=C2902544,660,0.0255,20,20,https://www.lcsc.com/product-detail/C2902544.html,SOD-123,Tape & Reel (TR),1 Independent,500mW,56V,100nA@43V,53.2V~58.8V,-50℃~+150℃,150Ω,1.3kΩ,-
C21540,MMSZ5257B,JSCJ,https://datasheet.lcsc.com/datasheet/pdf/58b652fc1b904f6b8e3559cdcdfa014a.pdf?productCode=C21540,660,0.0297,20,20,https://www.lcsc.com/product-detail/C21540.html,SOD-123,Tape & Reel (TR),1 Independent,350mW,33V,100nA,31.35V~34.65V,-65℃~+150℃,58Ω,700Ω,-
C20616337,MMSZ5231B,HXY MOSFET,https://datasheet.lcsc.com/datasheet/pdf/eb4f7d6d35e00e566cac07a2e69a208b.pdf?productCode=C20616337,650,0.0167,50,50,https://www.lcsc.com/product-detail/C20616337.html,SOD-123,Tape & Reel (TR),1 Independent,500mW,5.1V,5uA@2V,4.85V~5.36V,-,60Ω,1.6kΩ,-
C5249648,MMSZ5242B,ElecSuper,https://datasheet.lcsc.com/datasheet/pdf/1f155c5886167c23136ec1e43c5df476.pdf?productCode=C5249648,650,0.0219,50,50,https://www.lcsc.com/product-detail/C5249648.html,SOD-123,Tape & Reel (TR),1 Independent,500mW,12V,1uA@9.1V,11.4V~12.6V,,30Ω,600Ω,
C891723,MMSZ5223BT1G,onsemi,https://datasheet.lcsc.com/datasheet/pdf/5fd4ed59a1ff9e393f15d5588166eb54.pdf?productCode=C891723,650,0.0851,10,10,https://www.lcsc.com/product-detail/C891723.html,SOD-123,Tape & Reel (TR),1 Independent,500mW,2.7V,75uA@1V,2.57V~2.84V,-55℃~+150℃,30Ω,1.3kΩ,±5%
C403851,SZMMSZ5232BT1G,onsemi,https://datasheet.lcsc.com/datasheet/pdf/a417117b178bdb08a63a89816e1c6d80.pdf?productCode=C403851,645,0.0954,5,5,https://www.lcsc.com/product-detail/C403851.html,SOD-123,Tape & Reel (TR),1 Independent,500mW,5.6V,5uA@3V,5.32V~5.88V,-55℃~+150℃,11Ω,1.6kΩ,-
C707157,MMSZ5223B,Slkor,https://datasheet.lcsc.com/datasheet/pdf/4e4874330e301bcccafecad58abf09aa.pdf?productCode=C707157,640,0.0232,20,20,https://www.lcsc.com/product-detail/C707157.html,SOD-123,Tape & Reel (TR),1 Independent,500mW,2.7V,75uA,2.57V~2.84V,-55℃~+150℃,30Ω,1.3kΩ,-
C2124,MMSZ5235B,JSCJ,https://datasheet.lcsc.com/datasheet/pdf/58b652fc1b904f6b8e3559cdcdfa014a.pdf?productCode=C2124,640,0.0294,20,20,https://www.lcsc.com/product-detail/C2124.html,SOD-123,Tape & Reel (TR),1 Independent,350mW,6.8V,3uA,6.46V~7.14V,-65℃~+150℃,5Ω,750Ω,-
