LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Diode Configuration,Pd - Power Dissipation,Zener Voltage(Nom),Reverse Leakage Current (Ir),Zener Voltage(Range),Operating Junction Temperature Range,Impedance(Zzt),Impedance(Zzk),Tolerance
C89693,MMSZ5231B-TP,MCC,https://datasheet.lcsc.com/datasheet/pdf/4f2af8c038996729566ace8a72c2f714.pdf?productCode=C89693,2000,0.0466,20,20,https://www.lcsc.com/product-detail/C89693.html,SOD-123,Tape & Reel (TR),1 Independent,500mW,5.1V,5uA,-,-55℃~+150℃,17Ω,1.6kΩ,±5%
C5277988,MMSZ5251B,MSKSEMI,https://datasheet.lcsc.com/datasheet/pdf/fc18b3cd94f63355c92e047229a62363.pdf?productCode=C5277988,1980,0.0230,20,20,https://www.lcsc.com/product-detail/C5277988.html,SOD-123,Tape & Reel (TR),1 Independent,500mW,22V,100nA@17V,20.9V~23.1V,-55℃~+150℃,29Ω,600Ω,-
C22440765,MMSZ5258B_R1_00301,PANJIT,https://datasheet.lcsc.com/datasheet/pdf/2174ce7aa3052754b3cff0e62fa651d6.pdf?productCode=C22440765,1960,0.0265,20,20,https://www.lcsc.com/product-detail/C22440765.html,SOD-123,Tape & Reel (TR),1 Independent,500mW,36V,100nA@27V,34.2V~37.8V,-55℃~+150℃,70Ω,700Ω,-
C42436820,MMSZ5232BT1G-CN,ChipNobo,https://datasheet.lcsc.com/datasheet/pdf/ec79277117aac1c785ba9ddbe726a4b5.pdf?productCode=C42436820,1950,0.0235,50,50,https://www.lcsc.com/product-detail/C42436820.html,SOD-123FL,Tape & Reel (TR),1 Independent,500mW,5.6V,5uA@3V,5.32V~5.88V,-,11Ω,1.6kΩ,±5%
C3031855,MMSZ5225BS,JSCJ,https://datasheet.lcsc.com/datasheet/pdf/896e542c249533f6db9236d3888bca15.pdf?productCode=C3031855,1940,0.0247,20,20,https://www.lcsc.com/product-detail/C3031855.html,SOD-323,Tape & Reel (TR),1 Independent,200mW,3V,50uA@1V,2.85V~3.15V,-55℃~+150℃,30Ω,1.6kΩ,-
C2999076,MMSZ5240B_R1_00001,PANJIT,https://datasheet.lcsc.com/datasheet/pdf/4d5379754d1452f4fc06819b5052dc5a.pdf?productCode=C2999076,1940,0.0287,20,20,https://www.lcsc.com/product-detail/C2999076.html,SOD-123,Tape & Reel (TR),1 Independent,500mW,10V,3uA@8V,9.5V~10.5V,-55℃~+150℃,17Ω,600Ω,
C154803,MMSZ5227BT1G,onsemi,https://datasheet.lcsc.com/datasheet/pdf/7e6db4f80d764940b451cb507b28937a.pdf?productCode=C154803,1940,0.0529,10,10,https://www.lcsc.com/product-detail/C154803.html,SOD-123,Tape & Reel (TR),1 Independent,500mW,3.6V,15uA@1V,3.42V~3.78V,-55℃~+150℃,24Ω,1.7kΩ,
C6306514,MMSZ5237B-TP,MCC,https://datasheet.lcsc.com/datasheet/pdf/b871163bb5b185a2b666cfd6cba1aa41.pdf?productCode=C6306514,1920,0.0498,20,20,https://www.lcsc.com/product-detail/C6306514.html,SOD-123,Tape & Reel (TR),1 Independent,500mW,8.2V,3uA,-,-65℃~+150℃,8Ω,500Ω,±5%
C21552,MMSZ5229B,JSCJ,https://datasheet.lcsc.com/datasheet/pdf/58b652fc1b904f6b8e3559cdcdfa014a.pdf?productCode=C21552,1920,0.0290,20,20,https://www.lcsc.com/product-detail/C21552.html,SOD-123,Tape & Reel (TR),1 Independent,350mW,4.3V,5uA,4.09V~4.52V,-65℃~+150℃,22Ω,2kΩ,-
C674401,MMSZ5252BS-7-F,DIODES,https://datasheet.lcsc.com/datasheet/pdf/073edf23b0e02cfeb6a589873dbb1e03.pdf?productCode=C674401,1910,0.0528,10,10,https://www.lcsc.com/product-detail/C674401.html,SOD-323,Tape & Reel (TR),1 Independent,200mW,24V,100nA@18V,22.8V~25.2V,-65℃~+150℃,33Ω,600Ω,
