LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Diode Configuration,Pd - Power Dissipation,Zener Voltage(Nom),Reverse Leakage Current (Ir),Zener Voltage(Range),Operating Junction Temperature Range,Impedance(Zzt),Impedance(Zzk),Tolerance
C42380717,BZX84C4V3,YONGYUTAI,https://datasheet.lcsc.com/datasheet/pdf/8f79930bef9e6b09f23480f582f412d9.pdf?productCode=C42380717,50,0.0136,50,50,https://www.lcsc.com/product-detail/C42380717.html,SOT-23,Tape & Reel (TR),1 Independent,300mW,-,3uA,4V~4.6V,-55℃~+125℃,400Ω,-,-
C42380715,BZX84C3V3,YONGYUTAI,https://datasheet.lcsc.com/datasheet/pdf/8f79930bef9e6b09f23480f582f412d9.pdf?productCode=C42380715,50,0.0136,50,50,https://www.lcsc.com/product-detail/C42380715.html,SOT-23,Tape & Reel (TR),1 Independent,300mW,-,5uA@1V,3.1V~3.5V,-55℃~+125℃,350Ω,-,-
C22368957,BZX84C4V7,Wild Goose,https://datasheet.lcsc.com/datasheet/pdf/e6345c62146cb6ad307514d9cd2fcf93.pdf?productCode=C22368957,300,0.0143,50,50,https://www.lcsc.com/product-detail/C22368957.html,SOT-23,Tape & Reel (TR),1 Independent,300mW,4.7V,3uA@2V,4.4V~5V,-,80Ω,500Ω,-
C7529002,BZX84C5V1,amsem,https://datasheet.lcsc.com/datasheet/pdf/5ffa051684ae5ddf5f0e518e07e68bd9.pdf?productCode=C7529002,50,0.0156,50,50,https://www.lcsc.com/product-detail/C7529002.html,SOT-23,Tape & Reel (TR),1 Independent,350mW,5.1V,2uA@2V,4.8V~5.4V,-55℃~+150℃,60Ω,480Ω,-
C5155276,BZX84C13A,Jingdao Microelectronics,https://datasheet.lcsc.com/datasheet/pdf/525a3b2cad93138064d26bfb19ce8e53.pdf?productCode=C5155276,400,0.0198,50,50,https://www.lcsc.com/product-detail/C5155276.html,SOT-23,Tape & Reel (TR),1 Independent,350mW,13V,100nA@10V,12.4V~14.1V,-55℃~+150℃,35Ω,-,±5%
C2832550,BZX84C6V8,CBI,https://datasheet.lcsc.com/datasheet/pdf/0395c5266549329bf40ccfb497359024.pdf?productCode=C2832550,150,0.0156,50,50,https://www.lcsc.com/product-detail/C2832550.html,SOT-23,Tape & Reel (TR),1 Independent,350mW,6.8V,2uA,6.4V~7.2V,-65℃~+150℃,15Ω,-,-
C2832546,BZX84C4V7,CBI,https://datasheet.lcsc.com/datasheet/pdf/658cb6df0825c04e8e2ee7d08467538b.pdf?productCode=C2832546,450,0.0145,50,50,https://www.lcsc.com/product-detail/C2832546.html,SOT-23,Tape & Reel (TR),1 Independent,350mW,4.7V,3uA@2V,4.4V~5V,-65℃~+150℃,80Ω,-,-
C968300,BZX84C8V2,YANGJIE,https://datasheet.lcsc.com/datasheet/pdf/2789a6247502b9b98565f19d83975ad5.pdf?productCode=C968300,20,0.0280,20,20,https://www.lcsc.com/product-detail/C968300.html,SOT-23,Tape & Reel (TR),1 Independent,350mW,8.2V,700nA,7.7V~8.7V,-55℃~+150℃,15Ω,80Ω,-
C968283,BZX84C4V7,YANGJIE,https://datasheet.lcsc.com/datasheet/pdf/2789a6247502b9b98565f19d83975ad5.pdf?productCode=C968283,20,0.0266,20,20,https://www.lcsc.com/product-detail/C968283.html,SOT-23,Tape & Reel (TR),1 Independent,350mW,4.7V,3uA@2V,4.4V~5V,-55℃~+150℃,80Ω,500Ω,-
C968281,BZX84C4V3,YANGJIE,https://datasheet.lcsc.com/datasheet/pdf/2789a6247502b9b98565f19d83975ad5.pdf?productCode=C968281,20,0.0264,20,20,https://www.lcsc.com/product-detail/C968281.html,SOT-23,Tape & Reel (TR),1 Independent,350mW,4.3V,3uA@1V,4V~4.6V,-55℃~+150℃,90Ω,600Ω,-
C968273,BZX84C3V3,YANGJIE,https://datasheet.lcsc.com/datasheet/pdf/2789a6247502b9b98565f19d83975ad5.pdf?productCode=C968273,20,0.0302,20,20,https://www.lcsc.com/product-detail/C968273.html,SOT-23,Tape & Reel (TR),1 Independent,350mW,3.3V,5uA@1V,3.1V~3.5V,-55℃~+150℃,95Ω,600Ω,-
C968261,BZX84C2V7,YANGJIE,https://datasheet.lcsc.com/datasheet/pdf/2789a6247502b9b98565f19d83975ad5.pdf?productCode=C968261,20,0.0293,20,20,https://www.lcsc.com/product-detail/C968261.html,SOT-23,Tape & Reel (TR),1 Independent,350mW,2.7V,20uA@1V,2.5V~2.9V,-55℃~+150℃,100Ω,600Ω,-
C499783,BZX84C9V1,SMC,https://datasheet.lcsc.com/datasheet/pdf/cf9124921b086ce7c7fda3935c399727.pdf?productCode=C499783,120,0.0223,20,20,https://www.lcsc.com/product-detail/C499783.html,SOT-23,Tape & Reel (TR),1 Independent,350mW,9.1V,500nA@6V,8.5V~9.6V,-55℃~+150℃,15Ω,100Ω,-
C179521,BZX84C5V6,Suzhou Good-Ark Elec,https://datasheet.lcsc.com/datasheet/pdf/9aca94ca87a972c54db712403d5f61ca.pdf?productCode=C179521,40,0.0262,20,20,https://www.lcsc.com/product-detail/C179521.html,SOT-23,Tape & Reel (TR),1 Independent,350mW,5.6V,1uA@2V,5.2V~6V,-65℃~+150℃,40Ω,400Ω,-
C179517,BZX84C4V3,Suzhou Good-Ark Elec,https://datasheet.lcsc.com/datasheet/pdf/288d9351fc735495c81a218d367d65cb.pdf?productCode=C179517,100,0.0318,20,20,https://www.lcsc.com/product-detail/C179517.html,SOT-23,Tape & Reel (TR),1 Independent,300mW,4.3V,3uA@1V,4V~4.6V,-,90Ω,600Ω,-
C130247,BZX84C3V3,JSCJ,https://datasheet.lcsc.com/datasheet/pdf/53d237aace3255465876980a52b5518a.pdf?productCode=C130247,100,0.0303,20,20,https://www.lcsc.com/product-detail/C130247.html,SOT-23,Tape & Reel (TR),1 Independent,300mW,3.3V,5uA@1V,3.1V~3.5V,-,95Ω,600Ω,-
