LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Diode Configuration,Pd - Power Dissipation,Zener Voltage(Nom),Reverse Leakage Current (Ir),Zener Voltage(Range),Operating Junction Temperature Range,Impedance(Zzt),Impedance(Zzk),Tolerance
C3737540,MMSZ5232B,DIOTEC,https://datasheet.lcsc.com/datasheet/pdf/562eccf62cac3cee9d2918666cb91cbb.pdf?productCode=C3737540,2710,0.0523,10,10,https://www.lcsc.com/product-detail/C3737540.html,SOD-123F,Tape & Reel (TR),1 Independent,500mW,5.6V,5uA@3V,5.32V~5.88V,-50℃~+150℃,11Ω,1.6kΩ,-
C51315466,MMSZ5246BS,CBI,https://datasheet.lcsc.com/datasheet/pdf/1f2a7f8025e304741405258a8e0f2fdc.pdf?productCode=C51315466,2700,0.0150,50,50,https://www.lcsc.com/product-detail/C51315466.html,SOD-323,Tape & Reel (TR),1 Independent,200mW,16V,100nA@12V,15.2V~16.8V,-55℃~+150℃,17Ω,600Ω,-
C51315462,MMSZ5231BS,CBI,https://datasheet.lcsc.com/datasheet/pdf/1f2a7f8025e304741405258a8e0f2fdc.pdf?productCode=C51315462,2700,0.0183,50,50,https://www.lcsc.com/product-detail/C51315462.html,SOD-323,Tape & Reel (TR),1 Independent,200mW,5.1V,5uA@2V,4.85V~5.36V,-55℃~+150℃,17Ω,1.6kΩ,-
C5452793,MMSZ5258B-TP,MCC,https://datasheet.lcsc.com/datasheet/pdf/b871163bb5b185a2b666cfd6cba1aa41.pdf?productCode=C5452793,2700,0.0512,20,20,https://www.lcsc.com/product-detail/C5452793.html,SOD-123,Tape & Reel (TR),1 Independent,500mW,36V,100nA,34.2V~37.8V,-65℃~+150℃,70Ω,700Ω,±5%
C5197494,MMSZ5235BS-7-F,DIODES,https://datasheet.lcsc.com/datasheet/pdf/073edf23b0e02cfeb6a589873dbb1e03.pdf?productCode=C5197494,2700,0.0473,10,10,https://www.lcsc.com/product-detail/C5197494.html,SOD-323,Tape & Reel (TR),1 Independent,200mW,6.8V,3uA@5V,6.46V~7.14V,-65℃~+150℃,5Ω,750Ω,
C22395555,MMSZ5234B,R+O,https://datasheet.lcsc.com/datasheet/pdf/26ade382493570f6ac7aa9df8c9e3d26.pdf?productCode=C22395555,2680,0.0217,20,20,https://www.lcsc.com/product-detail/C22395555.html,SOD-123,Tape & Reel (TR),1 Independent,500mW,6.2V,5uA@4V,5.89V~6.51V,-55℃~+150℃,7Ω,-,-
C894704,SZMMSZ5270BT1G,onsemi,https://datasheet.lcsc.com/datasheet/pdf/76a5954562ceee3dcf4f2570a16ec1a6.pdf?productCode=C894704,2680,0.2507,5,5,https://www.lcsc.com/product-detail/C894704.html,SOD-123,Tape & Reel (TR),1 Independent,500mW,91V,100nA@69V,86.45V~95.55V,-55℃~+150℃,400Ω,2.3kΩ,±5%
C22395564,MMSZ5239BS,R+O,https://datasheet.lcsc.com/datasheet/pdf/fd38dbf7891eeab523fe4c8bd002891d.pdf?productCode=C22395564,2660,0.0380,10,10,https://www.lcsc.com/product-detail/C22395564.html,SOD-323,Tape & Reel (TR),1 Independent,200mW,9.1V,3uA@7V,8.65V~9.56V,-55℃~+150℃,10Ω,600Ω,-
C5277985,MMSZ5245B,MSKSEMI,https://datasheet.lcsc.com/datasheet/pdf/fc18b3cd94f63355c92e047229a62363.pdf?productCode=C5277985,2660,0.0212,20,20,https://www.lcsc.com/product-detail/C5277985.html,SOD-123,Tape & Reel (TR),1 Independent,500mW,15V,100nA@11V,14.25V~15.75V,-55℃~+150℃,16Ω,600Ω,-
C268594,MMSZ5234A_R1_00001,PANJIT,https://datasheet.lcsc.com/datasheet/pdf/8534913580dbc8809a11f1e506ad2bd4.pdf?productCode=C268594,2660,0.0335,20,20,https://www.lcsc.com/product-detail/C268594.html,SOD-123,Tape & Reel (TR),1 Independent,500mW,6.2V,4uA@5V,6.08V~6.32V,-50℃~+150℃,7Ω,1kΩ,-
