LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Diode Configuration,Pd - Power Dissipation,Zener Voltage(Nom),Reverse Leakage Current (Ir),Zener Voltage(Range),Operating Junction Temperature Range,Impedance(Zzt),Impedance(Zzk),Tolerance
C53337748,MMSZ5259B_R1_00301,PANJIT,https://datasheet.lcsc.com/datasheet/pdf/d3411ad1048cc7608c4bbd745d70a6f3.pdf?productCode=C53337748,3000,0.0257,20,20,https://www.lcsc.com/product-detail/C53337748.html,SOD-123,Tape & Reel (TR),1 Independent,500mW,39V,100nA@30V,37.05V~40.95V,-55℃~+150℃,80Ω,800Ω,-
C53337744,MMSZ5235B_R1_00301,PANJIT,https://datasheet.lcsc.com/datasheet/pdf/7c3f2e8023c8253744f2879ad6ec3a08.pdf?productCode=C53337744,3000,0.0207,20,20,https://www.lcsc.com/product-detail/C53337744.html,SOD-123,,,,,,,,,,
C53058786,MMSZ5246B,luJing,https://datasheet.lcsc.com/datasheet/pdf/7afe415607e8ab6a3ff100eb870d2ef9.pdf?productCode=C53058786,3000,0.0205,50,50,https://www.lcsc.com/product-detail/C53058786.html,SOD-123,Tape & Reel (TR),1 Independent,500mW,-,100nA@12V,15.2V~16.8V,-,17Ω,600Ω,-
C51315458,MMSZ5225B,CBI,https://datasheet.lcsc.com/datasheet/pdf/9b5a06a5c51ebf5ad64126347e0141b7.pdf?productCode=C51315458,3000,0.0150,50,50,https://www.lcsc.com/product-detail/C51315458.html,SOD-123,Tape & Reel (TR),1 Independent,350mW,3V,50uA@1V,2.85V~3.15V,-65℃~+150℃,30Ω,1.6kΩ,-
C48578685,MMSZ5241B,LGE,https://datasheet.lcsc.com/datasheet/pdf/ad58d92ab26a4e3b6c113e163656c8f3.pdf?productCode=C48578685,3000,0.0159,50,50,https://www.lcsc.com/product-detail/C48578685.html,SOD-123,Tape & Reel (TR),1 Independent,500mW,11V,2uA@8.4V,10.45V~11.55V,-,22Ω,600Ω,-
C21714200,MMSZ5236B,CBI,https://datasheet.lcsc.com/datasheet/pdf/2d453a5dec83df3dbf2baadb81c006a2.pdf?productCode=C21714200,3000,0.0186,50,50,https://www.lcsc.com/product-detail/C21714200.html,SOD-123,Tape & Reel (TR),1 Independent,350mW,7.5V,3uA@6V,7.13V~7.88V,-65℃~+150℃,6Ω,500Ω,-
C20623339,MMSZ5240B,YFW,https://datasheet.lcsc.com/datasheet/pdf/30b6dd76b94829c594b888c36b232684.pdf?productCode=C20623339,3000,0.0283,20,20,https://www.lcsc.com/product-detail/C20623339.html,SOD-123,Tape & Reel (TR),1 Independent,500mW,10V,3nA@8.4V,9.5V~10.5V,-55℃~+150℃,17Ω,600Ω,-
C20623294,MMSZ5225B,YFW,https://datasheet.lcsc.com/datasheet/pdf/30b6dd76b94829c594b888c36b232684.pdf?productCode=C20623294,3000,0.0283,20,20,https://www.lcsc.com/product-detail/C20623294.html,SOD-123,Tape & Reel (TR),1 Independent,500mW,3V,50nA@1V,2.85V~3.15V,-55℃~+150℃,30Ω,1.6kΩ,-
C7529086,MMSZ5248B,amsem,https://datasheet.lcsc.com/datasheet/pdf/0b3c54ec57cf14fee0a9b6daaa7267ca.pdf?productCode=C7529086,3000,0.0155,50,50,https://www.lcsc.com/product-detail/C7529086.html,SOD-123,Tape & Reel (TR),1 Independent,500mW,18V,100nA,17.1V~18.9V,-,21Ω,600Ω,-
C7528227,MMSZ5250BW,Jingdao Microelectronics,https://datasheet.lcsc.com/datasheet/pdf/5b0526dfab18aa6abb3bc061be639c85.pdf?productCode=C7528227,3000,0.0236,50,50,https://www.lcsc.com/product-detail/C7528227.html,SOD-123W,Tape & Reel (TR),1 Independent,500mW,20V,100nA@15V,19V~21V,-55℃~+150℃,25Ω,600Ω,±5%
C6909561,MMSZ5227B-E3-18,VISHAY,https://datasheet.lcsc.com/datasheet/pdf/357e3a0b021f6c71128075bdb20c3889.pdf?productCode=C6909561,3000,0.1373,5,5,https://www.lcsc.com/product-detail/C6909561.html,SOD-123,Tape & Reel (TR),1 Independent,500mW,3.6V,15uA@1V,-,-55℃~+150℃,24Ω,1.7kΩ,±5%
C6595618,MMSZ5262B-E3-08,VISHAY,https://datasheet.lcsc.com/datasheet/pdf/f66b3198107ca7da5c6574e45b3dc72f.pdf?productCode=C6595618,3000,0.2596,5,5,https://www.lcsc.com/product-detail/C6595618.html,SOD-123,Tape & Reel (TR),1 Independent,500mW,51V,100nA@39V,-,-55℃~+150℃,125Ω,1.1kΩ,±5%
C6595501,MMSZ5237B-E3-08,VISHAY,https://datasheet.lcsc.com/datasheet/pdf/28310e3932a63193e70f4b384b181819.pdf?productCode=C6595501,3000,0.1860,5,5,https://www.lcsc.com/product-detail/C6595501.html,SOD-123,Tape & Reel (TR),1 Independent,300mW,8.2V,3uA@6.5V,-,-55℃~+150℃,8Ω,500Ω,-
C5358836,MMSZ5243B-E3-08,VISHAY,https://datasheet.lcsc.com/datasheet/pdf/65a811c8154a2f0e65da840d95f15eff.pdf?productCode=C5358836,3000,0.2137,5,5,https://www.lcsc.com/product-detail/C5358836.html,SOD-123,Tape & Reel (TR),1 Independent,500mW,13V,500nA@9.9V,-,-55℃~+150℃,13Ω,600Ω,±5%
C5293063,MMSZ5240C,JSCJ,https://datasheet.lcsc.com/datasheet/pdf/49bdf9142f4eed1383dc8fa8df934999.pdf?productCode=C5293063,3000,0.0329,20,20,https://www.lcsc.com/product-detail/C5293063.html,SOD-123,Tape & Reel (TR),1 Independent,500mW,10V,3uA@8V,9.8V~10.2V,-55℃~+150℃,17Ω,600Ω,-
C3765444,MMSZ5234C-E3-08,VISHAY,https://datasheet.lcsc.com/datasheet/pdf/ec6319962a7e32984871ec26b74d493a.pdf?productCode=C3765444,3000,0.1311,5,5,https://www.lcsc.com/product-detail/C3765444.html,SOD-123,Tape & Reel (TR),1 Independent,300mW,6.2V,5uA@4V,-,-55℃~+150℃,7Ω,1kΩ,±2%
C3738204,MMSZ5227B-E3-08,VISHAY,https://datasheet.lcsc.com/datasheet/pdf/ec6319962a7e32984871ec26b74d493a.pdf?productCode=C3738204,3000,0.0843,10,10,https://www.lcsc.com/product-detail/C3738204.html,SOD-123,Tape & Reel (TR),1 Independent,300mW,3.6V,15uA@1V,-,-55℃~+150℃,24Ω,1.7kΩ,±5%
C3735877,MMSZ5257B-E3-08,VISHAY,https://datasheet.lcsc.com/datasheet/pdf/c2392d7db3c93a56c519b9dac2700c9f.pdf?productCode=C3735877,3000,0.0843,10,10,https://www.lcsc.com/product-detail/C3735877.html,SOD-123,Tape & Reel (TR),1 Independent,500mW,33V,100nA@25V,-,-55℃~+150℃,58Ω,700Ω,±5%
C2919034,MMSZ5244A_R1_00001,PANJIT,https://datasheet.lcsc.com/datasheet/pdf/50a30ca96d8679e651a406ab51950d45.pdf?productCode=C2919034,3000,0.0496,20,20,https://www.lcsc.com/product-detail/C2919034.html,SOD-123,Tape & Reel (TR),1 Independent,500mW,14V,500nA@10.5V,13.72V~14.28V,-50℃~+150℃,15Ω,600Ω,±5%
C2910094,MMSZ5239BS,JSCJ,https://datasheet.lcsc.com/datasheet/pdf/f2d70d7d0aa0540a5373d968a7944db0.pdf?productCode=C2910094,3000,0.0338,20,20,https://www.lcsc.com/product-detail/C2910094.html,SOD-323,Tape & Reel (TR),1 Independent,200mW,9.1V,3uA,8.65V~9.56V,-55℃~+150℃,10Ω,600Ω,-
C2889155,MMSZ5261B,YANGJIE,https://datasheet.lcsc.com/datasheet/pdf/9335881911a54dedcf3bbf6d08844b45.pdf?productCode=C2889155,3000,0.0280,50,50,https://www.lcsc.com/product-detail/C2889155.html,SOD-123,Tape & Reel (TR),1 Independent,500mW,47V,100nA@36V,44.65V~49.35V,-55℃~+150℃,29Ω,1kΩ,-
C707179,MMSZ5252B,Slkor,https://datasheet.lcsc.com/datasheet/pdf/4e4874330e301bcccafecad58abf09aa.pdf?productCode=C707179,3000,0.0248,20,20,https://www.lcsc.com/product-detail/C707179.html,SOD-123,Tape & Reel (TR),1 Independent,500mW,24V,100nA@18V,22.8V~25.2V,-55℃~+150℃,33Ω,600Ω,-
C268600,MMSZ5239B_R1_00001,PANJIT,https://datasheet.lcsc.com/datasheet/pdf/5cc81491ca6fa8f6203a0e6009b67361.pdf?productCode=C268600,3000,0.0440,20,20,https://www.lcsc.com/product-detail/C268600.html,SOD-123,Tape & Reel (TR),1 Independent,500mW,9.1V,3uA@6.5V,8.65V~9.56V,-55℃~+150℃,10Ω,600Ω,-
C3765490,MMSZ5228B-E3-08,VISHAY,https://datasheet.lcsc.com/datasheet/pdf/ec6319962a7e32984871ec26b74d493a.pdf?productCode=C3765490,2990,0.2168,5,5,https://www.lcsc.com/product-detail/C3765490.html,SOD-123,Tape & Reel (TR),1 Independent,300mW,3.9V,10uA@1V,-,-55℃~+150℃,23Ω,1.9kΩ,±5%
C459546,MMSZ5239B-7-F,DIODES,https://datasheet.lcsc.com/datasheet/pdf/9fcdbb98526725f0b0a14ceb5eec7814.pdf?productCode=C459546,2983,0.5720,1,1,https://www.lcsc.com/product-detail/C459546.html,SOD-123,Tape & Reel (TR),1 Independent,370mW,9.1V,3uA@7V,8.65V~9.56V,-65℃~+150℃,10Ω,600Ω,
C20616391,MMSZ5252B_R1_00301,PANJIT,https://datasheet.lcsc.com/datasheet/pdf/4d5379754d1452f4fc06819b5052dc5a.pdf?productCode=C20616391,2980,0.0220,20,20,https://www.lcsc.com/product-detail/C20616391.html,SOD-123,Tape & Reel (TR),1 Independent,500mW,24V,100nA@18V,22.8V~25.2V,-55℃~+150℃,33Ω,600Ω,
C2975662,AD-MMSZ5232B,JSCJ,https://datasheet.lcsc.com/datasheet/pdf/9600685dc4ee4a57366b258c5dea5788.pdf?productCode=C2975662,2980,0.0381,20,20,https://www.lcsc.com/product-detail/C2975662.html,SOD-123,Tape & Reel (TR),1 Independent,350mW,5.6V,5uA,5.32V~5.88V,-55℃~+150℃,11Ω,1.6kΩ,-
C268623,MMSZ5254A_R1_00001,PANJIT,https://datasheet.lcsc.com/datasheet/pdf/bbf97b8650fc87288fe3b983203eba62.pdf?productCode=C268623,2980,0.0375,20,20,https://www.lcsc.com/product-detail/C268623.html,SOD-123,Tape & Reel (TR),1 Independent,500mW,27V,100nA,26.46V~27.54V,-50℃~+150℃,41Ω,600Ω,-
C191364,MMSZ5242BS,JSCJ,https://datasheet.lcsc.com/datasheet/pdf/57e258df504b4d81881147d650fcdbd4.pdf?productCode=C191364,2980,0.0357,20,20,https://www.lcsc.com/product-detail/C191364.html,SOD-323,Tape & Reel (TR),1 Independent,200mW,12V,1uA@9.1V,11.4V~12.6V,-,30Ω,600Ω,-
C55343254,MMSZ5255B,LGE,https://datasheet.lcsc.com/datasheet/pdf/b779ecc2ec4c942208866df77d613cdf.pdf?productCode=C55343254,2960,0.0140,20,20,https://www.lcsc.com/product-detail/C55343254.html,SOD-123,Tape & Reel (TR),,,,,,,,,
C5774818,MMSZ5234B-AU_R1_000A1,PANJIT,https://datasheet.lcsc.com/datasheet/pdf/8b0b8d7b486416861201f1b931bc52d7.pdf?productCode=C5774818,2960,0.0293,20,20,https://www.lcsc.com/product-detail/C5774818.html,SOD-123,Tape & Reel (TR),1 Independent,500mW,6.2V,5uA,5.89V~6.51V,-55℃~+150℃,7Ω,1kΩ,-
C2910067,MMSZ5245C,JSCJ,https://datasheet.lcsc.com/datasheet/pdf/aa6a3884c71a9937c63ec6574c432df9.pdf?productCode=C2910067,2960,0.0373,20,20,https://www.lcsc.com/product-detail/C2910067.html,SOD-123,Tape & Reel (TR),1 Independent,350mW,15V,100nA,14.7V~15.3V,-55℃~+150℃,16Ω,600Ω,-
