"LCSC Part#","MPN","Manufacturer","Availability","Minimum","Multiples","Product Detail","Package","Packaging","Diode Configuration","Pd - Power Dissipation","Zener Voltage(Nom)","Reverse Leakage Current (Ir)","Zener Voltage(Range)","Operating Junction Temperature Range","Impedance(Zzt)","Impedance(Zzk)","Tolerance"
"C41410801","MMSZ5234BS","R+O","9800","20","20","https://www.lcsc.com/product-detail/C41410801.html","SOD-323","Tape & Reel (TR)","1 Independent","200mW","6.2V","5uA","5.89V~6.51V","-55℃~+150℃","7Ω","1kΩ","-"
"C22395564","MMSZ5239BS","R+O","2660","10","10","https://www.lcsc.com/product-detail/C22395564.html","SOD-323","Tape & Reel (TR)","1 Independent","200mW","9.1V","3uA@7V","8.65V~9.56V","-55℃~+150℃","10Ω","600Ω","-"
"C41410799","MMSZ5245BS","R+O","5550","50","50","https://www.lcsc.com/product-detail/C41410799.html","SOD-323","Tape & Reel (TR)","1 Independent","200mW","15V","100nA","14.25V~15.75V","-55℃~+150℃","16Ω","600Ω","-"
"C22395565","MMSZ5246BS","R+O","339140","20","20","https://www.lcsc.com/product-detail/C22395565.html","SOD-323","Tape & Reel (TR)","1 Independent","200mW","16V","100nA@12V","15.2V~16.8V","-55℃~+150℃","17Ω","600Ω","-"
"C22395567","MMSZ5250BS","R+O","14340","20","20","https://www.lcsc.com/product-detail/C22395567.html","SOD-323","Tape & Reel (TR)","1 Independent","200mW","20V","100nA","19V~21V","-55℃~+150℃","25Ω","600Ω","-"
"C41410797","MMSZ5251BS","R+O","5680","20","20","https://www.lcsc.com/product-detail/C41410797.html","SOD-323","Tape & Reel (TR)","1 Independent","200mW","22V","100nA","20.9V~23.1V","-55℃~+150℃","29Ω","600Ω","-"
"C41410800","MMSZ5256BS","R+O","7340","20","20","https://www.lcsc.com/product-detail/C41410800.html","SOD-323","Tape & Reel (TR)","1 Independent","200mW","30V","100nA","28.5V~31.5V","-55℃~+150℃","49Ω","600Ω","-"
"C19077467","BZX84C3V3","R+O","106200","50","50","https://www.lcsc.com/product-detail/C19077467.html","SOT-23","Tape & Reel (TR)","1 Independent","300mW","3.3V","5uA@1V","3.1V~3.5V","-55℃~+150℃","95Ω","600Ω","-"
"C22395521","BZX84C4V7","R+O","17050","50","50","https://www.lcsc.com/product-detail/C22395521.html","SOT-23","Tape & Reel (TR)","1 Independent","300mW","4.7V","3uA","4.4V~5V","-55℃~+150℃","80Ω","500Ω","-"
"C19077468","BZX84C5V1","R+O","12400","50","50","https://www.lcsc.com/product-detail/C19077468.html","SOT-23","Tape & Reel (TR)","1 Independent","300mW","5.1V","2uA","4.8V~5.4V","-55℃~+150℃","60Ω","480Ω","-"
"C19077469","BZX84C5V6","R+O","53050","50","50","https://www.lcsc.com/product-detail/C19077469.html","SOT-23","Tape & Reel (TR)","1 Independent","300mW","5.6V","1uA","5.2V~6V","-55℃~+150℃","40Ω","400Ω","-"
"C22379473","BZX84C6V8","R+O","57800","50","50","https://www.lcsc.com/product-detail/C22379473.html","SOT-23","Tape & Reel (TR)","1 Independent","300mW","6.8V","2uA","6.4V~7.2V","-55℃~+150℃","15Ω","80Ω","-"
"C22379470","BZX84C7V5","R+O","20450","50","50","https://www.lcsc.com/product-detail/C22379470.html","SOT-23","Tape & Reel (TR)","1 Independent","300mW","7.5V","1uA","7V~7.9V","-55℃~+150℃","15Ω","80Ω","-"
"C22395522","BZX84C8V2","R+O","8750","50","50","https://www.lcsc.com/product-detail/C22395522.html","SOT-23","Tape & Reel (TR)","1 Independent","300mW","8.2V","700nA","7.7V~8.7V","-55℃~+150℃","15Ω","80Ω","-"
