"LCSC Part#","MPN","Manufacturer","Availability","Minimum","Multiples","Product Detail","Package","Packaging","Diode Configuration","Pd - Power Dissipation","Zener Voltage(Nom)","Reverse Leakage Current (Ir)","Zener Voltage(Range)","Operating Junction Temperature Range","Impedance(Zzt)","Impedance(Zzk)","Tolerance"
"C2124","MMSZ5235B","JSCJ","640","20","20","https://www.lcsc.com/product-detail/C2124.html","SOD-123","Tape & Reel (TR)","1 Independent","350mW","6.8V","3uA","6.46V~7.14V","-65℃~+150℃","5Ω","750Ω","-"
"C2125","MMSZ5238B","JSCJ","1380","20","20","https://www.lcsc.com/product-detail/C2125.html","SOD-123","Tape & Reel (TR)","1 Independent","350mW","8.7V","3uA","8.27V~9.14V","-65℃~+150℃","8Ω","600Ω","-"
"C2126","MMSZ5245B","JSCJ","112840","20","20","https://www.lcsc.com/product-detail/C2126.html","SOD-123","Tape & Reel (TR)","1 Independent","350mW","15V","100nA","14.25V~15.75V","-65℃~+150℃","16Ω","600Ω","-"
"C2127","MMSZ5248B","JSCJ","36880","20","20","https://www.lcsc.com/product-detail/C2127.html","SOD-123","Tape & Reel (TR)","1 Independent","350mW","18V","100nA@14V","17.1V~18.9V","-","21Ω","600Ω","-"
"C2130","MMSZ5248BS","JSCJ","1220","20","20","https://www.lcsc.com/product-detail/C2130.html","SOD-323","Tape & Reel (TR)","1 Independent","200mW","18V","100nA","17.1V~18.9V","-65℃~+150℃","21Ω","600Ω",""
"C2131","MMSZ5250BS","JSCJ","2020","20","20","https://www.lcsc.com/product-detail/C2131.html","SOD-323","Tape & Reel (TR)","1 Independent","200mW","20V","100nA","19V~21V","-65℃~+150℃","25Ω","600Ω","-"
"C12725","LBZX84C3V9LT1G","LRC","8050","50","50","https://www.lcsc.com/product-detail/C12725.html","SOT-23","Tape & Reel (TR)","1 Independent","300mW","3.9V","3uA","3.7V~4.1V","-55℃~+150℃","90Ω","110Ω","-"
"C12726","LBZX84C4V3LT1G","LRC","850","50","50","https://www.lcsc.com/product-detail/C12726.html","SOT-23","Tape & Reel (TR)","1 Independent","300mW","4.3V","3uA","4V~4.6V","-55℃~+150℃","90Ω","480Ω","-"
"C12727","LBZX84C4V7LT1G","LRC","17220","20","20","https://www.lcsc.com/product-detail/C12727.html","SOT-23","Tape & Reel (TR)","1 Independent","300mW","4.7V","3uA","4.4V~5V","-55℃~+150℃","80Ω","600Ω","-"
"C12728","LBZX84C5V6LT1G","LRC","3300","20","20","https://www.lcsc.com/product-detail/C12728.html","SOT-23","Tape & Reel (TR)","1 Independent","300mW","5.6V","1uA","5.2V~6V","-55℃~+150℃","40Ω","170Ω","-"
"C12729","LBZX84C7V5LT1G","LRC","2300","50","50","https://www.lcsc.com/product-detail/C12729.html","SOT-23","Tape & Reel (TR)","1 Independent","300mW","7.5V","1uA","7V~7.9V","-55℃~+150℃","15Ω","600Ω","-"
"C12730","LBZX84C8V2LT1G","LRC","240","20","20","https://www.lcsc.com/product-detail/C12730.html","SOT-23","Tape & Reel (TR)","1 Independent","300mW","8.2V","5uA@3V","7.7V~8.7V","-55℃~+150℃","15Ω","1.6kΩ","±5%"
"C12731","LBZX84C9V1LT1G","LRC","2950","50","50","https://www.lcsc.com/product-detail/C12731.html","SOT-23","Tape & Reel (TR)","1 Independent","300mW","9.1V","500nA","8.5V~9.6V","-55℃~+150℃","15Ω","100Ω","-"
"C12745","LBZX84C3V3LT1G","LRC","1350","50","50","https://www.lcsc.com/product-detail/C12745.html","SOT-23","Tape & Reel (TR)","1 Independent","300mW","3.3V","5uA","3.1V~3.5V","-55℃~+150℃","95Ω","250Ω","-"
"C12746","LBZX84C6V8LT1G","LRC","29560","20","20","https://www.lcsc.com/product-detail/C12746.html","SOT-23","Tape & Reel (TR)","1 Independent","300mW","6.8V","5uA@2V","6.4V~7.2V","-55℃~+150℃","15Ω","1.6kΩ","±5%"
"C12762","LBZX84C11LT1G","LRC","560","20","20","https://www.lcsc.com/product-detail/C12762.html","SOT-23","Tape & Reel (TR)","1 Independent","300mW","11V","100nA","10.4V~11.6V","-55℃~+150℃","20Ω","50Ω","-"
"C12763","LBZX84C13LT1G","LRC","1300","50","50","https://www.lcsc.com/product-detail/C12763.html","SOT-23","Tape & Reel (TR)","1 Independent","300mW","13V","100nA","12.4V~14.1V","-55℃~+150℃","30Ω","600Ω","-"
"C12764","LBZX84C15LT1G","LRC","2750","50","50","https://www.lcsc.com/product-detail/C12764.html","SOT-23","Tape & Reel (TR)","1 Independent","300mW","15V","50nA","13.8V~15.6V","-55℃~+150℃","30Ω","600Ω","±5%"
"C12772","LBZX84C10LT1G","LRC","17400","50","50","https://www.lcsc.com/product-detail/C12772.html","SOT-23","Tape & Reel (TR)","1 Independent","225mW","10V","200nA","9.4V~10.6V","-55℃~+150℃","20Ω","-","-"
"C12773","LBZX84C12LT1G","LRC","16450","50","50","https://www.lcsc.com/product-detail/C12773.html","SOT-23","Tape & Reel (TR)","1 Independent","300mW","12V","100nA","11.4V~12.7V","-55℃~+150℃","25Ω","1kΩ","±5%"
"C12774","LBZX84C3V6LT1G","LRC","350","50","50","https://www.lcsc.com/product-detail/C12774.html","SOT-23","Tape & Reel (TR)","1 Independent","300mW","3.6V","5uA","3.4V~3.8V","-55℃~+150℃","90Ω","600Ω","-"
"C12785","LBZX84C6V2LT1G","LRC","6000","20","20","https://www.lcsc.com/product-detail/C12785.html","SOT-23","Tape & Reel (TR)","1 Independent","300mW","6.2V","100nA@13V","5.8V~6.6V","-55℃~+150℃","10Ω","170Ω","-"
"C14199","LBZX84C62LT1G","LRC","20","20","20","https://www.lcsc.com/product-detail/C14199.html","SOT-23","Tape & Reel (TR)","1 Independent","300mW","62V","50nA","58V~66V","-55℃~+150℃","215Ω","600Ω","-"
"C14279","LBZX84C36LT1G","LRC","2250","50","50","https://www.lcsc.com/product-detail/C14279.html","SOT-23","Tape & Reel (TR)","1 Independent","300mW","36V","50nA","34V~38V","-55℃~+150℃","90Ω","600Ω","-"
"C14548","MMSZ5241BT1G","onsemi","5620","10","10","https://www.lcsc.com/product-detail/C14548.html","SOD-123","Tape & Reel (TR)","1 Independent","500mW","11V","2uA@8.4V","10.45V~11.55V","-55℃~+150℃","22Ω","600Ω","±5%"
"C21536","MMSZ5251B","JSCJ","1620","20","20","https://www.lcsc.com/product-detail/C21536.html","SOD-123","Tape & Reel (TR)","1 Independent","350mW","22V","100nA","20.9V~23.1V","-65℃~+150℃","29Ω","600Ω","-"
"C21537","MMSZ5252B","JSCJ","14000","20","20","https://www.lcsc.com/product-detail/C21537.html","SOD-123","Tape & Reel (TR)","1 Independent","350mW","24V","100nA","22.8V~25.2V","-65℃~+150℃","33Ω","600Ω","-"
"C21538","MMSZ5254B","JSCJ","2360","20","20","https://www.lcsc.com/product-detail/C21538.html","SOD-123","Tape & Reel (TR)","1 Independent","350mW","27V","100nA@21V","25.65V~28.35V","-65℃~+150℃","41Ω","600Ω","-"
"C21539","MMSZ5256B","JSCJ","30720","20","20","https://www.lcsc.com/product-detail/C21539.html","SOD-123","Tape & Reel (TR)","1 Independent","350mW","30V","100nA","28.5V~31.5V","-65℃~+150℃","49Ω","600Ω","-"
"C21540","MMSZ5257B","JSCJ","660","20","20","https://www.lcsc.com/product-detail/C21540.html","SOD-123","Tape & Reel (TR)","1 Independent","350mW","33V","100nA","31.35V~34.65V","-65℃~+150℃","58Ω","700Ω","-"
"C21541","MMSZ5258B","JSCJ","1500","20","20","https://www.lcsc.com/product-detail/C21541.html","SOD-123","Tape & Reel (TR)","1 Independent","350mW","36V","100nA@27V","34.2V~37.8V","-65℃~+150℃","70Ω","700Ω","-"
"C21544","MMSZ5246B","JSCJ","2300","20","20","https://www.lcsc.com/product-detail/C21544.html","SOD-123","Tape & Reel (TR)","1 Independent","350mW","16V","100nA@12V","15.2V~16.8V","-65℃~+150℃","17Ω","600Ω","-"
"C21545","MMSZ5236B","JSCJ","2960","20","20","https://www.lcsc.com/product-detail/C21545.html","SOD-123","Tape & Reel (TR)","1 Independent","350mW","7.5V","3uA","7.13V~7.88V","-65℃~+150℃","6Ω","500Ω","-"
"C21546","MMSZ5239B","JSCJ","14080","20","20","https://www.lcsc.com/product-detail/C21546.html","SOD-123","Tape & Reel (TR)","1 Independent","350mW","9.1V","3uA@7V","8.65V~9.56V","-65℃~+150℃","10Ω","600Ω","-"
"C21547","MMSZ5243B","JSCJ","6140","20","20","https://www.lcsc.com/product-detail/C21547.html","SOD-123","Tape & Reel (TR)","1 Independent","350mW","13V","500nA","12.35V~13.65V","-65℃~+150℃","13Ω","600Ω","-"
"C21548","MMSZ5225B","JSCJ","1640","20","20","https://www.lcsc.com/product-detail/C21548.html","SOD-123","Tape & Reel (TR)","1 Independent","350mW","3V","50uA","2.85V~3.15V","-65℃~+150℃","30Ω","1.6kΩ","-"
"C21549","MMSZ5226B","JSCJ","1500","20","20","https://www.lcsc.com/product-detail/C21549.html","SOD-123","Tape & Reel (TR)","1 Independent","350mW","3.3V","25uA","3.14V~3.47V","-65℃~+150℃","28Ω","1.6kΩ","-"
"C21550","MMSZ5227B","JSCJ","8560","20","20","https://www.lcsc.com/product-detail/C21550.html","SOD-123","Tape & Reel (TR)","1 Independent","350mW","3.6V","15uA@1V","3.42V~3.78V","-65℃~+150℃","24Ω","1.7kΩ","-"
"C21551","MMSZ5228B","JSCJ","3420","20","20","https://www.lcsc.com/product-detail/C21551.html","SOD-123","Tape & Reel (TR)","1 Independent","350mW","3.9V","10uA@1V","3.71V~4.1V","-65℃~+150℃","23Ω","1.9kΩ","-"
"C21552","MMSZ5229B","JSCJ","1920","20","20","https://www.lcsc.com/product-detail/C21552.html","SOD-123","Tape & Reel (TR)","1 Independent","350mW","4.3V","5uA","4.09V~4.52V","-65℃~+150℃","22Ω","2kΩ","-"
"C21554","MMSZ5232B","JSCJ","49820","20","20","https://www.lcsc.com/product-detail/C21554.html","SOD-123","Tape & Reel (TR)","1 Independent","350mW","5.6V","5uA@3V","5.32V~5.88V","-65℃~+150℃","11Ω","1.6kΩ","-"
"C21556","MMSZ5234B","JSCJ","2440","20","20","https://www.lcsc.com/product-detail/C21556.html","SOD-123","Tape & Reel (TR)","1 Independent","350mW","6.2V","5uA","5.89V~6.51V","-65℃~+150℃","7Ω","1kΩ","-"
"C21563","MMSZ5231B","JSCJ","4680","20","20","https://www.lcsc.com/product-detail/C21563.html","SOD-123","Tape & Reel (TR)","1 Independent","500mW","5.1V","5uA@2V","4.85V~5.36V","-55℃~+150℃","17Ω","1.6kΩ","-"
"C21564","MMSZ5240B","JSCJ","14520","20","20","https://www.lcsc.com/product-detail/C21564.html","SOD-123","Tape & Reel (TR)","1 Independent","350mW","10V","3uA","9.5V~10.5V","-65℃~+150℃","17Ω","600Ω","-"
"C21567","MMSZ5242B","JSCJ","37400","20","20","https://www.lcsc.com/product-detail/C21567.html","SOD-123","Tape & Reel (TR)","1 Independent","350mW","12V","1uA","11.4V~12.6V","-65℃~+150℃","30Ω","600Ω","-"
"C27131","BZX84C5V1","JSCJ","11660","20","20","https://www.lcsc.com/product-detail/C27131.html","SOT-23","Tape & Reel (TR)","1 Independent","300mW","5.1V","2uA@2V","4.8V~5.4V","-","60Ω","480Ω","-"
"C31775","BZX84C33LT1G","onsemi","7780","20","20","https://www.lcsc.com/product-detail/C31775.html","SOT-23","Tape & Reel (TR)","1 Independent","225mW","33V","50nA@23.1V","31V~35V","-65℃~+150℃","80Ω","-","-"
"C35678","LBZX84C18LT1G","LRC","11900","50","50","https://www.lcsc.com/product-detail/C35678.html","SOT-23","Tape & Reel (TR)","1 Independent","300mW","18V","50nA","16.8V~19.1V","-55℃~+150℃","45Ω","-","-"
"C38408","BZX84C27LT1G","onsemi","1600","10","10","https://www.lcsc.com/product-detail/C38408.html","SOT-23","Tape & Reel (TR)","1 Independent","225mW","27V","50nA@18.9V","25.1V~28.9V","-65℃~+150℃","80Ω","-","-"
"C38656","MMSZ5250B","JSCJ","2080","20","20","https://www.lcsc.com/product-detail/C38656.html","SOD-123","Tape & Reel (TR)","1 Independent","350mW","20V","100nA@15V","19V~21V","-65℃~+150℃","25Ω","600Ω","-"
"C38670","LBZX84C5V1LT1G","LRC","5100","50","50","https://www.lcsc.com/product-detail/C38670.html","SOT-23","Tape & Reel (TR)","1 Independent","300mW","5.1V","2uA","4.8V~5.4V","-55℃~+150℃","60Ω","-","-"
"C39212","MMSZ5244B","JSCJ","3920","20","20","https://www.lcsc.com/product-detail/C39212.html","SOD-123","Tape & Reel (TR)","1 Independent","350mW","14V","100nA","13.3V~14.7V","-55℃~+150℃","15Ω","600Ω","-"
"C40515","MMSZ5262BT1G","onsemi","2940","10","10","https://www.lcsc.com/product-detail/C40515.html","SOD-123","Tape & Reel (TR)","1 Independent","500mW","51V","100nA@39V","48.45V~53.55V","-55℃~+150℃","125Ω","1.1kΩ","±5%"
"C43728","BZX84C24LT1G","onsemi","3820","20","20","https://www.lcsc.com/product-detail/C43728.html","SOT-23","Tape & Reel (TR)","1 Independent","250mW","24V","50nA@16.8V","22.8V~25.6V","-65℃~+150℃","70Ω","-","-"
"C44457","BZX84C16LT1G","onsemi","11540","20","20","https://www.lcsc.com/product-detail/C44457.html","SOT-23","Tape & Reel (TR)","1 Independent","250mW","16V","50nA","15.3V~17.1V","-65℃~+150℃","40Ω","-","-"
"C47073","BZX84C2V4LT1G","onsemi","16190","10","10","https://www.lcsc.com/product-detail/C47073.html","SOT-23","Tape & Reel (TR)","1 Independent","250mW","2.4V","50uA@1V","2.2V~2.6V","-65℃~+150℃","100Ω","-","-"
"C47075","BZX84C5V1LT1G","onsemi","42460","10","10","https://www.lcsc.com/product-detail/C47075.html","SOT-23","Tape & Reel (TR)","1 Independent","250mW","5.1V","2uA@2V","4.8V~5.4V","-65℃~+150℃","60Ω","-","-"
"C49504","LBZX84C20LT1G","LRC","1800","50","50","https://www.lcsc.com/product-detail/C49504.html","SOT-23","Tape & Reel (TR)","1 Independent","300mW","20V","50nA","18.8V~21.2V","-55℃~+150℃","55Ω","600Ω","-"
"C52809","MMSZ5246BT1G","onsemi","12120","10","10","https://www.lcsc.com/product-detail/C52809.html","SOD-123","Tape & Reel (TR)","1 Independent","500mW","16V","100nA@12V","15.2V~16.8V","-55℃~+150℃","17Ω","600Ω",""
"C65078","MMSZ5237B","JSCJ","900","20","20","https://www.lcsc.com/product-detail/C65078.html","SOD-123","Tape & Reel (TR)","1 Independent","350mW","8.2V","3uA@6.5V","7.79V~8.61V","-","8Ω","500Ω","-"
"C66198","MMSZ5231BT1G","onsemi","124440","20","20","https://www.lcsc.com/product-detail/C66198.html","SOD-123","Tape & Reel (TR)","1 Independent","500mW","5.1V","5uA","4.85V~5.36V","-55℃~+150℃","17Ω","1.6kΩ",""
"C66199","MMSZ5235BT1G","onsemi","8810","10","10","https://www.lcsc.com/product-detail/C66199.html","SOD-123","Tape & Reel (TR)","1 Independent","500mW","6.8V","3uA@5V","6.46V~7.14V","-55℃~+150℃","5Ω","750Ω",""
"C67528","MMSZ5240BS-7-F","DIODES","2505","5","5","https://www.lcsc.com/product-detail/C67528.html","SOD-323","Tape & Reel (TR)","1 Independent","200mW","10V","3uA@8V","9.5V~10.5V","-65℃~+150℃","17Ω","600Ω",""
"C72743","MMSZ5232BT1G","onsemi","11040","20","20","https://www.lcsc.com/product-detail/C72743.html","SOD-123","Tape & Reel (TR)","1 Independent","500mW","5.6V","5uA@3V","5.32V~5.88V","-55℃~+150℃","11Ω","1.6kΩ",""
"C80160","MMSZ5267BT1G","onsemi","1570","10","10","https://www.lcsc.com/product-detail/C80160.html","SOD-123","Tape & Reel (TR)","1 Independent","500mW","75V","100nA@56V","71.25V~78.75V","-55℃~+150℃","270Ω","1.7kΩ",""
"C80857","BZX84C15LT1G","onsemi","43420","20","20","https://www.lcsc.com/product-detail/C80857.html","SOT-23","Tape & Reel (TR)","1 Independent","250mW","15V","50nA@10.5V","13.8V~15.6V","-65℃~+150℃","30Ω","",""
"C82050","MMSZ5242BT1G","onsemi","1840","20","20","https://www.lcsc.com/product-detail/C82050.html","SOD-123","Tape & Reel (TR)","1 Independent","500mW","12V","1uA@9.1V","11.4V~12.6V","-55℃~+150℃","30Ω","600Ω",""
"C82084","MMSZ5240BT1G","onsemi","12920","20","20","https://www.lcsc.com/product-detail/C82084.html","SOD-123","Tape & Reel (TR)","1 Independent","500mW","10V","3uA@8V","9.5V~10.5V","-55℃~+150℃","17Ω","600Ω",""
"C82088","MMSZ5248BT1G","onsemi","2570","10","10","https://www.lcsc.com/product-detail/C82088.html","SOD-123","Tape & Reel (TR)","1 Independent","500mW","18V","100nA@14V","17.1V~18.9V","-55℃~+150℃","21Ω","600Ω",""
"C82324","MMSZ5236BT1G","onsemi","27060","10","10","https://www.lcsc.com/product-detail/C82324.html","SOD-123","Tape & Reel (TR)","1 Independent","500mW","7.5V","3uA","7.13V~7.88V","-55℃~+150℃","6Ω","500Ω","±5%"
"C82468","BZX84C9V1LT1G","onsemi","3820","20","20","https://www.lcsc.com/product-detail/C82468.html","SOT-23","Tape & Reel (TR)","1 Independent","250mW","9.1V","500nA@6V","8.5V~9.6V","-65℃~+150℃","15Ω","",""
"C82469","BZX84C8V2LT1G","onsemi","18920","10","10","https://www.lcsc.com/product-detail/C82469.html","SOT-23","Tape & Reel (TR)","1 Independent","250mW","8.2V","700nA@5V","7.7V~8.7V","-65℃~+150℃","15Ω","",""
"C82470","BZX84C6V2LT1G","onsemi","24440","10","10","https://www.lcsc.com/product-detail/C82470.html","SOT-23","Tape & Reel (TR)","1 Independent","250mW","6.2V","3uA","5.8V~6.6V","-65℃~+150℃","10Ω","",""
"C82471","BZX84C5V6LT1G","onsemi","9170","10","10","https://www.lcsc.com/product-detail/C82471.html","SOT-23","Tape & Reel (TR)","1 Independent","250mW","5.6V","1uA@2V","5.2V~6V","-65℃~+150℃","40Ω","",""
"C82472","BZX84C4V7LT1G","onsemi","10220","20","20","https://www.lcsc.com/product-detail/C82472.html","SOT-23","Tape & Reel (TR)","1 Independent","250mW","4.7V","3uA@2V","4.4V~5V","-65℃~+150℃","80Ω","",""
"C82473","BZX84C3V3LT1G","onsemi","35900","20","20","https://www.lcsc.com/product-detail/C82473.html","SOT-23","Tape & Reel (TR)","1 Independent","250mW","3.3V","5uA@1V","3.1V~3.5V","-65℃~+150℃","95Ω","",""
"C82474","BZX84C18LT1G","onsemi","33020","10","10","https://www.lcsc.com/product-detail/C82474.html","SOT-23","Tape & Reel (TR)","1 Independent","250mW","18V","50nA@12.6V","16.8V~19.1V","-65℃~+150℃","45Ω","",""
"C82475","BZX84C12LT1G","onsemi","20680","10","10","https://www.lcsc.com/product-detail/C82475.html","SOT-23","Tape & Reel (TR)","1 Independent","250mW","12V","100nA@8V","11.4V~12.7V","-65℃~+150℃","25Ω","",""
"C82476","BZX84C10LT1G","onsemi","18140","20","20","https://www.lcsc.com/product-detail/C82476.html","SOT-23","Tape & Reel (TR)","1 Independent","250mW","10V","200nA@6V","9.4V~10.6V","-65℃~+150℃","20Ω","",""
"C85181","MMSZ5231B-7-F","DIODES","64560","10","10","https://www.lcsc.com/product-detail/C85181.html","SOD-123","Tape & Reel (TR)","1 Independent","370mW","5.1V","5uA@2V","4.85V~5.36V","-65℃~+150℃","17Ω","1.6kΩ",""
"C85185","BZX84C5V6-7-F","DIODES","60","20","20","https://www.lcsc.com/product-detail/C85185.html","SOT-23","Tape & Reel (TR)","1 Independent","350mW","5.6V","100nA","5.2V~6V","-65℃~+150℃","40Ω","400Ω","-"
"C85186","BZX84C12-7-F","DIODES","470","10","10","https://www.lcsc.com/product-detail/C85186.html","SOT-23","Tape & Reel (TR)","1 Independent","350mW","12V","100nA@8V","11.4V~12.7V","-65℃~+150℃","25Ω","150Ω","-"
"C86645","BZX84C22","JSCJ","820","20","20","https://www.lcsc.com/product-detail/C86645.html","SOT-23","Tape & Reel (TR)","1 Independent","300mW","22V","100nA","20.8V~23.3V","-","55Ω","250Ω","-"
"C89693","MMSZ5231B-TP","MCC","2000","20","20","https://www.lcsc.com/product-detail/C89693.html","SOD-123","Tape & Reel (TR)","1 Independent","500mW","5.1V","5uA","-","-55℃~+150℃","17Ω","1.6kΩ","±5%"
"C90848","BZX84C6V8LT1G","onsemi","10180","10","10","https://www.lcsc.com/product-detail/C90848.html","SOT-23","Tape & Reel (TR)","1 Independent","250mW","6.8V","2uA@4V","6.4V~7.2V","-65℃~+150℃","15Ω","",""
"C94386","MMSZ5250BT1G","onsemi","24750","10","10","https://www.lcsc.com/product-detail/C94386.html","SOD-123","Tape & Reel (TR)","1 Independent","500mW","20V","100nA@15V","19V~21V","-55℃~+150℃","25Ω","600Ω",""
"C94406","MMSZ5221BT1G","onsemi","6020","10","10","https://www.lcsc.com/product-detail/C94406.html","SOD-123","Tape & Reel (TR)","1 Independent","500mW","2.4V","100uA@1V","2.28V~2.52V","-55℃~+150℃","30Ω","1.2kΩ",""
"C94413","BZX84C3V6LT1G","onsemi","5200","10","10","https://www.lcsc.com/product-detail/C94413.html","SOT-23","Tape & Reel (TR)","1 Independent","250mW","3.6V","5uA@1V","3.4V~3.8V","-65℃~+150℃","90Ω","-",""
"C94414","BZX84C3V9LT1G","onsemi","8580","10","10","https://www.lcsc.com/product-detail/C94414.html","SOT-23","Tape & Reel (TR)","1 Independent","250mW","3.9V","3uA","3.7V~4.1V","-65℃~+150℃","90Ω","",""
"C96084","LBZX84C39LT1G","LRC","18850","50","50","https://www.lcsc.com/product-detail/C96084.html","SOT-23","Tape & Reel (TR)","1 Independent","300mW","39V","50nA","37V~41V","-55℃~+150℃","130Ω","550Ω","-"
"C107442","MMSZ5245B-E3-08","VISHAY","1000","5","5","https://www.lcsc.com/product-detail/C107442.html","SOD-123","Tape & Reel (TR)","1 Independent","500mW","15V","100nA@11V","-","-55℃~+150℃","16Ω","600Ω","±5%"
"C118561","BZX84C2V7","ST(Semtech)","1820","20","20","https://www.lcsc.com/product-detail/C118561.html","TO-236","Tape & Reel (TR)","1 Independent","350mW","2.7V","20uA@1V","2.5V~2.9V","-65℃~+150℃","100Ω","-","-"
"C118563","BZX84C3V3","ST(Semtech)","14100","20","20","https://www.lcsc.com/product-detail/C118563.html","TO-236","Tape & Reel (TR)","1 Independent","350mW","3.3V","5uA@1V","3.1V~3.5V","-65℃~+150℃","95Ω","-","-"
"C118567","BZX84C4V7","ST(Semtech)","3250","50","50","https://www.lcsc.com/product-detail/C118567.html","TO-236","Tape & Reel (TR)","1 Independent","350mW","4.7V","3uA@2V","4.4V~5V","-65℃~+150℃","80Ω","-","-"
"C118568","BZX84C5V1","ST(Semtech)","1750","50","50","https://www.lcsc.com/product-detail/C118568.html","TO-236","Tape & Reel (TR)","1 Independent","350mW","5.1V","2uA@2V","4.8V~5.4V","-65℃~+150℃","60Ω","-","-"
"C118569","BZX84C5V6","ST(Semtech)","1650","50","50","https://www.lcsc.com/product-detail/C118569.html","TO-236","Tape & Reel (TR)","1 Independent","350mW","5.6V","1uA@2V","5.2V~6V","-65℃~+150℃","40Ω","-","-"
"C118570","BZX84C6V2","ST(Semtech)","3080","20","20","https://www.lcsc.com/product-detail/C118570.html","TO-236","Tape & Reel (TR)","1 Independent","350mW","6.2V","3uA@4V","5.8V~6.6V","-65℃~+150℃","10Ω","-","-"
"C118571","BZX84C6V8","ST(Semtech)","200","50","50","https://www.lcsc.com/product-detail/C118571.html","TO-236","Tape & Reel (TR)","1 Independent","350mW","6.8V","2uA@4V","6.4V~7.2V","-65℃~+150℃","15Ω","-","-"
"C118572","BZX84C7V5","ST(Semtech)","2700","50","50","https://www.lcsc.com/product-detail/C118572.html","TO-236","Tape & Reel (TR)","1 Independent","350mW","7.5V","1uA@5V","7V~7.9V","-65℃~+150℃","15Ω","-","-"
"C118574","BZX84C9V1","ST(Semtech)","2000","50","50","https://www.lcsc.com/product-detail/C118574.html","TO-236","Tape & Reel (TR)","1 Independent","350mW","9.1V","500nA@6V","8.5V~9.6V","-65℃~+150℃","15Ω","-","-"
"C118575","BZX84C10","ST(Semtech)","2450","50","50","https://www.lcsc.com/product-detail/C118575.html","TO-236","Tape & Reel (TR)","1 Independent","350mW","10V","200nA@7V","9.4V~10.6V","-65℃~+150℃","20Ω","-","-"
"C118578","BZX84C13","ST(Semtech)","700","20","20","https://www.lcsc.com/product-detail/C118578.html","TO-236","Tape & Reel (TR)","1 Independent","350mW","13V","100nA@8V","12.4V~14.1V","-65℃~+150℃","30Ω","-","-"
"C118579","BZX84C15","ST(Semtech)","1200","50","50","https://www.lcsc.com/product-detail/C118579.html","TO-236","Tape & Reel (TR)","1 Independent","350mW","15V","50nA@10.5V","13.8V~15.6V","-65℃~+150℃","30Ω","-","-"
"C118580","BZX84C16","ST(Semtech)","2350","50","50","https://www.lcsc.com/product-detail/C118580.html","TO-236","Tape & Reel (TR)","1 Independent","350mW","16V","50nA@11.2V","15.3V~17.1V","-65℃~+150℃","40Ω","-","-"
"C118581","BZX84C18","ST(Semtech)","1400","50","50","https://www.lcsc.com/product-detail/C118581.html","TO-236","Tape & Reel (TR)","1 Independent","350mW","18V","50nA@12.6V","16.8V~19.1V","-65℃~+150℃","45Ω","-","-"
"C118582","BZX84C20","ST(Semtech)","2350","50","50","https://www.lcsc.com/product-detail/C118582.html","TO-236","Tape & Reel (TR)","1 Independent","350mW","20V","50nA","18.8V~21.2V","-65℃~+150℃","55Ω","-","-"
"C118584","BZX84C24","ST(Semtech)","40","20","20","https://www.lcsc.com/product-detail/C118584.html","TO-236","Tape & Reel (TR)","1 Independent","350mW","24V","50nA@16.8V","22.8V~25.6V","-65℃~+150℃","70Ω","-","-"
"C118586","BZX84C30","ST(Semtech)","40","20","20","https://www.lcsc.com/product-detail/C118586.html","TO-236","Tape & Reel (TR)","1 Independent","350mW","30V","50nA@21V","28V~32V","-65℃~+150℃","80Ω","-","-"
"C118587","BZX84C33","ST(Semtech)","1240","20","20","https://www.lcsc.com/product-detail/C118587.html","TO-236","Tape & Reel (TR)","1 Independent","350mW","33V","50nA","31V~35V","-65℃~+150℃","80Ω","-","-"
"C118588","BZX84C36","ST(Semtech)","200","50","50","https://www.lcsc.com/product-detail/C118588.html","TO-236","Tape & Reel (TR)","1 Independent","350mW","36V","50nA@25.2V","34V~38V","-65℃~+150℃","90Ω","-","-"
"C118589","BZX84C39","ST(Semtech)","180","20","20","https://www.lcsc.com/product-detail/C118589.html","TO-236","Tape & Reel (TR)","1 Independent","350mW","39V","50nA@27.3V","37V~41V","-65℃~+150℃","130Ω","-","-"
"C118590","BZX84C43","ST(Semtech)","1240","20","20","https://www.lcsc.com/product-detail/C118590.html","TO-236","Tape & Reel (TR)","1 Independent","350mW","43V","50nA@30.1V","40V~46V","-65℃~+150℃","150Ω","-","-"
"C118591","BZX84C47","ST(Semtech)","1280","20","20","https://www.lcsc.com/product-detail/C118591.html","TO-236","Tape & Reel (TR)","1 Independent","350mW","47V","50nA@32.9V","44V~50V","-65℃~+150℃","170Ω","-","-"
"C118592","BZX84C51","ST(Semtech)","1800","10","10","https://www.lcsc.com/product-detail/C118592.html","TO-236","Tape & Reel (TR)","1 Independent","350mW","51V","50nA@35.7V","48V~54V","-65℃~+150℃","180Ω","-","-"
"C118593","BZX84C56","ST(Semtech)","500","20","20","https://www.lcsc.com/product-detail/C118593.html","TO-236","Tape & Reel (TR)","1 Independent","350mW","56V","50nA@39.2V","52V~60V","-65℃~+150℃","200Ω","-","-"
"C118596","BZX84C75","ST(Semtech)","1520","10","10","https://www.lcsc.com/product-detail/C118596.html","TO-236","Tape & Reel (TR)","1 Independent","350mW","75V","50nA@52.5V","70V~79V","-65℃~+150℃","255Ω","-","-"
