"LCSC Part#","MPN","Manufacturer","Availability","Minimum","Multiples","Product Detail","Package","Packaging","Diode Configuration","Pd - Power Dissipation","Zener Voltage(Nom)","Reverse Leakage Current (Ir)","Zener Voltage(Range)","Operating Junction Temperature Range","Impedance(Zzt)","Impedance(Zzk)","Tolerance"
"C2903818","MMSZ5234B","LGE","1720","20","20","https://www.lcsc.com/product-detail/C2903818.html","SOD-123","Tape & Reel (TR)","1 Independent","500mW","6.2V","5uA@4V","5.89V~6.51V","-","7Ω","1kΩ","-"
"C2903819","MMSZ5232B","LGE","710","10","10","https://www.lcsc.com/product-detail/C2903819.html","SOD-123","Tape & Reel (TR)","1 Independent","500mW","5.6V","5uA@3V","5.32V~5.88V","-","11Ω","1.6kΩ","-"
"C2903820","MMSZ5227B","LGE","3780","20","20","https://www.lcsc.com/product-detail/C2903820.html","SOD-123","Tape & Reel (TR)","1 Independent","500mW","3.6V","15uA@1V","3.42V~3.78V","-","24Ω","1.7kΩ","-"
"C2903821","MMSZ5228B","LGE","160","20","20","https://www.lcsc.com/product-detail/C2903821.html","SOD-123","Tape & Reel (TR)","1 Independent","500mW","3.9V","10uA@1V","3.71V~4.1V","-","23Ω","1.9kΩ","-"
"C2903822","MMSZ5236B","LGE","480","20","20","https://www.lcsc.com/product-detail/C2903822.html","SOD-123","Tape & Reel (TR)","1 Independent","500mW","7.5V","3uA@6V","7.13V~7.88V","-","6Ω","500Ω","-"
"C2903823","MMSZ5245B","LGE","3880","20","20","https://www.lcsc.com/product-detail/C2903823.html","SOD-123","Tape & Reel (TR)","1 Independent","500mW","15V","100nA@11V","14.25V~15.75V","-","16Ω","600Ω","-"
"C2910067","MMSZ5245C","JSCJ","2960","20","20","https://www.lcsc.com/product-detail/C2910067.html","SOD-123","Tape & Reel (TR)","1 Independent","350mW","15V","100nA","14.7V~15.3V","-55℃~+150℃","16Ω","600Ω","-"
"C2910073","MMSZ5247B","JSCJ","2480","20","20","https://www.lcsc.com/product-detail/C2910073.html","SOD-123","Tape & Reel (TR)","1 Independent","350mW","17V","100nA@13V","16.15V~17.85V","-55℃~+150℃","19Ω","600Ω","±5%"
"C2910092","MMSZ5255BS","JSCJ","2840","20","20","https://www.lcsc.com/product-detail/C2910092.html","SOD-323","Tape & Reel (TR)","1 Independent","200mW","28V","100nA","26.6V~29.4V","-65℃~+175℃","44Ω","600Ω","-"
"C2910094","MMSZ5239BS","JSCJ","3000","20","20","https://www.lcsc.com/product-detail/C2910094.html","SOD-323","Tape & Reel (TR)","1 Independent","200mW","9.1V","3uA","8.65V~9.56V","-55℃~+150℃","10Ω","600Ω","-"
"C2910108","MMSZ5253BS","JSCJ","2180","20","20","https://www.lcsc.com/product-detail/C2910108.html","SOD-323","Tape & Reel (TR)","1 Independent","200mW","25V","100nA","23.75V~26.25V","-55℃~+150℃","35Ω","600Ω","-"
"C2910146","BZX84C24","JSCJ","40","20","20","https://www.lcsc.com/product-detail/C2910146.html","SOT-23","Tape & Reel (TR)","1 Independent","300mW","24V","100nA@16.8V","22.8V~25.6V","-55℃~+150℃","70Ω","250Ω","-"
"C2910188","BZX84C6V2","JSCJ","2000","20","20","https://www.lcsc.com/product-detail/C2910188.html","SOT-23","Tape & Reel (TR)","1 Independent","300mW","6.2V","3uA@4V","5.8V~6.6V","-55℃~+150℃","10Ω","150Ω","-"
"C2910204","BZX84C2V7","JSCJ","1160","20","20","https://www.lcsc.com/product-detail/C2910204.html","SOT-23","Tape & Reel (TR)","1 Independent","300mW","2.7V","20uA@1V","2.5V~2.9V","-55℃~+150℃","100Ω","600Ω","-"
"C2910209","BZX84C36","JSCJ","1740","20","20","https://www.lcsc.com/product-detail/C2910209.html","SOT-23","Tape & Reel (TR)","1 Independent","300mW","36V","100nA@25.2V","34V~38V","-55℃~+150℃","90Ω","350Ω","-"
"C2919034","MMSZ5244A_R1_00001","PANJIT","3000","20","20","https://www.lcsc.com/product-detail/C2919034.html","SOD-123","Tape & Reel (TR)","1 Independent","500mW","14V","500nA@10.5V","13.72V~14.28V","-50℃~+150℃","15Ω","600Ω","±5%"
"C2919036","MMSZ5252A_R1_00001","PANJIT","3600","20","20","https://www.lcsc.com/product-detail/C2919036.html","SOD-123","Tape & Reel (TR)","1 Independent","500mW","24V","100nA@18V","23.52V~24.48V","-50℃~+150℃","33Ω","600Ω","-"
"C2926222","BZX84C2V4","FOSAN","2950","50","50","https://www.lcsc.com/product-detail/C2926222.html","SOT-23","Tape & Reel (TR)","","","","","","","","",""
"C2926223","BZX84C2V7","FOSAN","12150","50","50","https://www.lcsc.com/product-detail/C2926223.html","SOT-23","Tape & Reel (TR)","1 Independent","300mW","2.7V","20uA@1V","2.5V~2.9V","-55℃~+125℃","80Ω","600Ω","-"
"C2926225","BZX84C3V3","FOSAN","19700","50","50","https://www.lcsc.com/product-detail/C2926225.html","SOT-23","Tape & Reel (TR)","1 Independent","300mW","3.3V","5uA@1V","3.1V~3.5V","-55℃~+125℃","85Ω","600Ω","-"
"C2926226","BZX84C3V6","FOSAN","2500","50","50","https://www.lcsc.com/product-detail/C2926226.html","SOT-23","Tape & Reel (TR)","1 Independent","300mW","3.6V","5uA@1V","3.4V~3.8V","-55℃~+125℃","85Ω","600Ω","-"
"C2926227","BZX84C3V9","FOSAN","3100","50","50","https://www.lcsc.com/product-detail/C2926227.html","SOT-23","Tape & Reel (TR)","1 Independent","300mW","3.9V","3uA@1V","3.7V~4.1V","-55℃~+125℃","85Ω","600Ω","-"
"C2926228","BZX84C4V3","FOSAN","6500","50","50","https://www.lcsc.com/product-detail/C2926228.html","SOT-23","Tape & Reel (TR)","1 Independent","300mW","4.3V","3uA@1V","4V~4.6V","-55℃~+125℃","85Ω","600Ω","-"
"C2926229","BZX84C4V7","FOSAN","42350","50","50","https://www.lcsc.com/product-detail/C2926229.html","SOT-23","Tape & Reel (TR)","1 Independent","300mW","4.7V","3uA@2V","4.4V~5V","-55℃~+125℃","80Ω","500Ω","-"
