LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Capacitance,Tolerance,Voltage Rating,Temperature Coefficient
C107178,CC1206JKNPOCBN680,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/9a86cbae8c34c796174906a7ab23dad0.pdf?productCode=C107178,29550,0.0470,50,50,https://www.lcsc.com/product-detail/C107178.html,1206,Tape & Reel (TR),68pF,±5%,1kV,NP0
C464953,GCM1555C1H561JA16D,muRata,https://datasheet.lcsc.com/datasheet/pdf/7632dcd5318120b3adee36de4a098ead.pdf?productCode=C464953,29500,0.0148,50,50,https://www.lcsc.com/product-detail/C464953.html,0402,Tape & Reel (TR),560pF,±5%,50V,C0G
C3889037,GCM1555C1H270FA16J,muRata,https://datasheet.lcsc.com/datasheet/pdf/3338a093480e4a055bdc2189abac9648.pdf?productCode=C3889037,29320,0.0182,20,20,https://www.lcsc.com/product-detail/C3889037.html,0402,Tape & Reel (TR),27pF,±1%,50V,C0G
C526981,CC0402FRNPO9BN560,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/4eca2bb4b507f1633db47e922d632b95.pdf?productCode=C526981,29300,0.0053,100,100,https://www.lcsc.com/product-detail/C526981.html,0402,Tape & Reel (TR),56pF,±1%,50V,NP0
C597011,04025A100FAT2A,Kyocera AVX,,29050,0.0137,10,10,https://www.lcsc.com/product-detail/C597011.html,0402,Tape & Reel (TR),10pF,±1%,50V,C0G
C126511,GCM1555C1H470JA16D,muRata,https://datasheet.lcsc.com/datasheet/pdf/89f158d7c6094abc9ddc63ab7af8b76d.pdf?productCode=C126511,29000,0.0139,50,50,https://www.lcsc.com/product-detail/C126511.html,0402,Tape & Reel (TR),47pF,±5%,50V,C0G
C3878497,GRM1555C2A821JE01D,muRata,https://datasheet.lcsc.com/datasheet/pdf/24ee01754251f1c9bc8d76b06ec2cd6a.pdf?productCode=C3878497,28850,0.0140,50,50,https://www.lcsc.com/product-detail/C3878497.html,0402,Tape & Reel (TR),820pF,±5%,100V,C0G
C526987,CC0402GRNPO9BN430,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/4eca2bb4b507f1633db47e922d632b95.pdf?productCode=C526987,28650,0.0092,50,50,https://www.lcsc.com/product-detail/C526987.html,0402,Tape & Reel (TR),43pF,±2%,50V,NP0
C3010430,GRM1555C1H122JA01D,muRata,https://datasheet.lcsc.com/datasheet/pdf/f42392ed6394dbbd2d4b82a99005ad22.pdf?productCode=C3010430,28640,0.0287,20,20,https://www.lcsc.com/product-detail/C3010430.html,0402,Tape & Reel (TR),1.2nF,±5%,50V,C0G
C576705,CC0402JRNPO9BN131,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/4eca2bb4b507f1633db47e922d632b95.pdf?productCode=C576705,28400,0.0088,100,100,https://www.lcsc.com/product-detail/C576705.html,0402,Tape & Reel (TR),130pF,±5%,50V,NP0
