LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Capacitance,Tolerance,Voltage Rating,Temperature Coefficient,Operating Temperature
C2178240,12065A181JAT2A,Kyocera AVX,,3950,0.0498,10,10,https://www.lcsc.com/product-detail/C2178240.html,1206,Tape & Reel (TR),180pF,±5%,50V,C0G,
C1854493,CC0805JRX7RABB152,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/23ccee80ee542e7cf156a772bb589942.pdf?productCode=C1854493,3950,0.0226,50,50,https://www.lcsc.com/product-detail/C1854493.html,0805,Tape & Reel (TR),1.5nF,±5%,200V,X7R,
C520006,CC0805JRNPO9BN431,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/4eca2bb4b507f1633db47e922d632b95.pdf?productCode=C520006,3950,0.0194,50,50,https://www.lcsc.com/product-detail/C520006.html,0805,Tape & Reel (TR),430pF,±5%,50V,NP0,
C393684,GCM1555C1H470FA16D,muRata,https://datasheet.lcsc.com/datasheet/pdf/c4523f4330135579ee78a3002635c41c.pdf?productCode=C393684,3950,0.0202,50,50,https://www.lcsc.com/product-detail/C393684.html,0402,Tape & Reel (TR),47pF,±1%,50V,C0G,
C309485,CC0805JRNPO0BN330,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/4eca2bb4b507f1633db47e922d632b95.pdf?productCode=C309485,3950,0.0208,50,50,https://www.lcsc.com/product-detail/C309485.html,0805,Tape & Reel (TR),33pF,±5%,100V,NP0,
C2203727,AC0805JRNPO0BN330,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/e147909414eb3b900a42b90481dc8914.pdf?productCode=C2203727,3940,0.0269,20,20,https://www.lcsc.com/product-detail/C2203727.html,0805,Tape & Reel (TR),33pF,±5%,100V,NP0,
C520060,CC0805GRNPO9BN330,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/4eca2bb4b507f1633db47e922d632b95.pdf?productCode=C520060,3940,0.0324,20,20,https://www.lcsc.com/product-detail/C520060.html,0805,Tape & Reel (TR),33pF,±2%,50V,NP0,
C2170007,C0805C680J1GACTU,KEMET,https://datasheet.lcsc.com/datasheet/pdf/39767117ba5ceac409bdd2bc668d7c59.pdf?productCode=C2170007,3930,0.0416,10,10,https://www.lcsc.com/product-detail/C2170007.html,0805,Tape & Reel (TR),68pF,±5%,100V,C0G,
C1853923,CC0805JKNPOBBN681,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/9a86cbae8c34c796174906a7ab23dad0.pdf?productCode=C1853923,3930,0.0845,10,10,https://www.lcsc.com/product-detail/C1853923.html,0805,Tape & Reel (TR),680pF,±5%,500V,NP0,
C703076,GRM3195C2A103JA01D,muRata,https://datasheet.lcsc.com/datasheet/pdf/a5661d5fbdf2b41a50853cb83d84d655.pdf?productCode=C703076,3930,0.2567,5,5,https://www.lcsc.com/product-detail/C703076.html,1206,Tape & Reel (TR),10nF,±5%,100V,C0G,
C541578,CC1206FRNPO9BN100,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/4eca2bb4b507f1633db47e922d632b95.pdf?productCode=C541578,3930,0.1045,10,10,https://www.lcsc.com/product-detail/C541578.html,1206,Tape & Reel (TR),10pF,±1%,50V,NP0,
C2169021,C0805C271J5GACTU,KEMET,https://datasheet.lcsc.com/datasheet/pdf/39767117ba5ceac409bdd2bc668d7c59.pdf?productCode=C2169021,3920,0.0437,10,10,https://www.lcsc.com/product-detail/C2169021.html,0805,Tape & Reel (TR),270pF,±5%,50V,C0G,
C2168780,C0805C151J5GACTU,KEMET,https://datasheet.lcsc.com/datasheet/pdf/39767117ba5ceac409bdd2bc668d7c59.pdf?productCode=C2168780,3920,0.0251,20,20,https://www.lcsc.com/product-detail/C2168780.html,0805,Tape & Reel (TR),150pF,±5%,50V,C0G,
C599906,C0805C331J5GAC7800,KEMET,https://datasheet.lcsc.com/datasheet/pdf/4e57ad49120a0e8a59259c86c73210af.pdf?productCode=C599906,3920,0.0251,20,20,https://www.lcsc.com/product-detail/C599906.html,0805,Tape & Reel (TR),330pF,±5%,50V,C0G,
C597164,06035A470J4T2A,Kyocera AVX,,3920,0.0229,20,20,https://www.lcsc.com/product-detail/C597164.html,0603,Tape & Reel (TR),47pF,±5%,50V,C0G,
C527301,CC1206JRNPOABN470,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/4eca2bb4b507f1633db47e922d632b95.pdf?productCode=C527301,3920,0.0372,20,20,https://www.lcsc.com/product-detail/C527301.html,1206,Tape & Reel (TR),47pF,±5%,200V,NP0,
C162302,GRM21A5C2D470JW01D,muRata,https://datasheet.lcsc.com/datasheet/pdf/a4d1e2744bd5d44ba57842651a3fd598.pdf?productCode=C162302,3920,0.0646,10,10,https://www.lcsc.com/product-detail/C162302.html,0805,Tape & Reel (TR),47pF,±5%,200V,C0G,
C5348770,12061A391JAT2A,Kyocera AVX,,3910,0.0698,10,10,https://www.lcsc.com/product-detail/C5348770.html,1206,Tape & Reel (TR),390pF,±5%,100V,NP0,
C711021,GRM31A5C2J180JW01D,muRata,https://datasheet.lcsc.com/datasheet/pdf/b4bb5f6dec8ca8c777978dc166417492.pdf?productCode=C711021,3910,0.1194,5,5,https://www.lcsc.com/product-detail/C711021.html,1206,Tape & Reel (TR),18pF,±5%,630V,C0G,
C541508,CC1206GRNPO9BN330,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/4eca2bb4b507f1633db47e922d632b95.pdf?productCode=C541508,3910,0.0635,10,10,https://www.lcsc.com/product-detail/C541508.html,1206,Tape & Reel (TR),33pF,±2%,50V,NP0,
C2170892,GRM31A5C3A820JW01D,muRata,https://datasheet.lcsc.com/datasheet/pdf/0e95f045dd7862a62b66313acfbf00f0.pdf?productCode=C2170892,3905,0.0842,5,5,https://www.lcsc.com/product-detail/C2170892.html,1206,Tape & Reel (TR),82pF,±5%,1kV,C0G,
C2169171,C0402C221J5GACAUTO,KEMET,https://datasheet.lcsc.com/datasheet/pdf/73c030c092cad88867b92e86f262076b.pdf?productCode=C2169171,3900,0.0195,50,50,https://www.lcsc.com/product-detail/C2169171.html,0402,Tape & Reel (TR),220pF,±5%,50V,C0G,
C701302,GRM2195C1H102JA01D,muRata,https://datasheet.lcsc.com/datasheet/pdf/368d4a38ad2e54eda82258271ab4e137.pdf?productCode=C701302,3900,0.0498,10,10,https://www.lcsc.com/product-detail/C701302.html,0805,Tape & Reel (TR),1nF,±5%,50V,C0G,
