LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Type,Resistance,Tolerance,Voltage Rating,Power(Watts),Temperature Coefficient
C137554,RC0805FR-072K74L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C137554,7100,0.0078,100,100,https://www.lcsc.com/product-detail/C137554.html,0805,Tape & Reel (TR),Thick Film Resistor,2.74kΩ,±1%,150V,125mW,±100ppm/℃
C114522,RC0805FR-0718KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C114522,7100,0.0075,100,100,https://www.lcsc.com/product-detail/C114522.html,0805,Tape & Reel (TR),Thick Film Resistor,18kΩ,±1%,150V,125mW,±100ppm/℃
C327331,RC0402FR-0761K9L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C327331,7000,0.0033,100,100,https://www.lcsc.com/product-detail/C327331.html,0402,Tape & Reel (TR),Thick Film Resistor,61.9kΩ,±1%,50V,62.5mW,±100ppm/℃
C274894,RC0402FR-07549RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C274894,7000,0.0015,100,100,https://www.lcsc.com/product-detail/C274894.html,0402,Tape & Reel (TR),Thick Film Resistor,549Ω,±1%,50V,62.5mW,±100ppm/℃
C228342,AC0805FR-07178KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C228342,7000,0.0061,100,100,https://www.lcsc.com/product-detail/C228342.html,0805,Tape & Reel (TR),Thick Film Resistor,178kΩ,±1%,150V,125mW,±100ppm/℃
C226839,AC0402FR-071K05L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C226839,7000,0.0021,100,100,https://www.lcsc.com/product-detail/C226839.html,0402,Tape & Reel (TR),Thick Film Resistor,1.05kΩ,±1%,50V,62.5mW,±100ppm/℃
C723564,AF0402FR-0751K1L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/ebd14ddabfb2b500a2b3786a8b0d1c4f.pdf?productCode=C723564,6900,0.0035,100,100,https://www.lcsc.com/product-detail/C723564.html,0402,Tape & Reel (TR),Thick Film Resistor,51.1kΩ,±1%,50V,62.5mW,±100ppm/℃
C245981,RC0603FR-07576KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C245981,6900,0.0035,100,100,https://www.lcsc.com/product-detail/C245981.html,0603,Tape & Reel (TR),Thick Film Resistor,576kΩ,±1%,75V,100mW,±100ppm/℃
C477205,RC0402FR-071M37L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C477205,6800,0.0014,100,100,https://www.lcsc.com/product-detail/C477205.html,0402,Tape & Reel (TR),Thick Film Resistor,1.37MΩ,±1%,50V,62.5mW,±100ppm/℃
C245890,RC0402FR-07412RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C245890,6800,0.0014,100,100,https://www.lcsc.com/product-detail/C245890.html,0402,Tape & Reel (TR),Thick Film Resistor,412Ω,±1%,50V,62.5mW,±100ppm/℃
C228992,AC0805FR-0775RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C228992,6800,0.0113,100,100,https://www.lcsc.com/product-detail/C228992.html,0805,Tape & Reel (TR),Thick Film Resistor,75Ω,±1%,150V,125mW,±100ppm/℃
C185407,RC0402FR-075K36L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C185407,6800,0.0015,100,100,https://www.lcsc.com/product-detail/C185407.html,0402,Tape & Reel (TR),Thick Film Resistor,5.36kΩ,±1%,50V,62.5mW,±100ppm/℃
C137781,RC0603FR-071K15L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C137781,6800,0.0070,100,100,https://www.lcsc.com/product-detail/C137781.html,0603,Tape & Reel (TR),Thick Film Resistor,1.15kΩ,±1%,75V,100mW,±100ppm/℃
C854484,SR0402FR-7T47RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/621f51fb3bcccb79a4b0a14f88737b23.pdf?productCode=C854484,6780,0.0316,20,20,https://www.lcsc.com/product-detail/C854484.html,0402,Tape & Reel (TR),Thick Film Resistor,47Ω,±1%,75V,200mW,±100ppm/℃
