LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Type,Resistance,Tolerance,Voltage Rating,Power(Watts),Temperature Coefficient
C226797,AC0402FR-0715RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C226797,9900,0.0037,100,100,https://www.lcsc.com/product-detail/C226797.html,0402,Tape & Reel (TR),Thick Film Resistor,15Ω,±1%,50V,62.5mW,±100ppm/℃
C185435,RC0402FR-07274KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C185435,9900,0.0015,100,100,https://www.lcsc.com/product-detail/C185435.html,0402,Tape & Reel (TR),Thick Film Resistor,274kΩ,±1%,50V,62.5mW,±100ppm/℃
C185356,RC0603FR-071K69L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C185356,9900,0.0039,100,100,https://www.lcsc.com/product-detail/C185356.html,0603,Tape & Reel (TR),Thick Film Resistor,1.69kΩ,±1%,75V,100mW,±100ppm/℃
C137756,RC0603FR-0726K7L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C137756,9900,0.0075,100,100,https://www.lcsc.com/product-detail/C137756.html,0603,Tape & Reel (TR),Thick Film Resistor,26.7kΩ,±1%,75V,100mW,±100ppm/℃
C137728,RC0603FR-073K74L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C137728,9900,0.0075,100,100,https://www.lcsc.com/product-detail/C137728.html,0603,Tape & Reel (TR),Thick Film Resistor,3.74kΩ,±1%,75V,100mW,±100ppm/℃
C873759,SR0805FR-4710KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/621f51fb3bcccb79a4b0a14f88737b23.pdf?productCode=C873759,9860,0.0302,20,20,https://www.lcsc.com/product-detail/C873759.html,0805,Tape & Reel (TR),Thick Film Resistor,10kΩ,±1%,500V,500mW,±100ppm/℃
C20144053,AF0603FR-07249KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/ebd14ddabfb2b500a2b3786a8b0d1c4f.pdf?productCode=C20144053,9800,0.0044,100,100,https://www.lcsc.com/product-detail/C20144053.html,0603,Tape & Reel (TR),Thick Film Resistor,249kΩ,±1%,,100mW,±100ppm/℃
C7209894,AC0402FR-7W2K2L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C7209894,9800,0.0054,100,100,https://www.lcsc.com/product-detail/C7209894.html,0402,Tape & Reel (TR),Thick Film Resistor,2.2kΩ,±1%,,125mW,±100ppm/℃
C5549425,AF0402FR-07118KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/ebd14ddabfb2b500a2b3786a8b0d1c4f.pdf?productCode=C5549425,9800,0.0046,100,100,https://www.lcsc.com/product-detail/C5549425.html,0402,Tape & Reel (TR),Thick Film Resistor,118kΩ,±1%,50V,63mW,±100ppm/℃
C851820,RC0402FR-071K5P,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/da845270410dc62346904be643baab6b.pdf?productCode=C851820,9800,0.0071,100,100,https://www.lcsc.com/product-detail/C851820.html,0402,Tape & Reel (TR),Thick Film Resistor,1.5kΩ,±1%,,63mW,±100ppm/℃
