LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Type,Resistance,Tolerance,Voltage Rating,Power(Watts),Temperature Coefficient
C144636,AC0603FR-0775KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C144636,11400,0.0071,100,100,https://www.lcsc.com/product-detail/C144636.html,0603,Tape & Reel (TR),Thick Film Resistor,75kΩ,±1%,75V,100mW,±100ppm/℃
C273811,RC0805FR-0712K1L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C273811,11300,0.0053,100,100,https://www.lcsc.com/product-detail/C273811.html,0805,Tape & Reel (TR),Thick Film Resistor,12.1kΩ,±1%,150V,125mW,±100ppm/℃
C4334878,AF0402FR-071K8L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/ebd14ddabfb2b500a2b3786a8b0d1c4f.pdf?productCode=C4334878,11200,0.0053,100,100,https://www.lcsc.com/product-detail/C4334878.html,0402,Tape & Reel (TR),Thick Film Resistor,1.8kΩ,±1%,50V,62.5mW,±100ppm/℃
C273840,RC0805FR-0722K1L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C273840,11200,0.0057,100,100,https://www.lcsc.com/product-detail/C273840.html,0805,Tape & Reel (TR),Thick Film Resistor,22.1kΩ,±1%,150V,125mW,±100ppm/℃
C477717,RC0402FR-073ML,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C477717,11000,0.0036,100,100,https://www.lcsc.com/product-detail/C477717.html,0402,Tape & Reel (TR),Thick Film Resistor,3MΩ,±1%,50V,62.5mW,±100ppm/℃
C228286,AC0805FR-0712KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C228286,11000,0.0106,100,100,https://www.lcsc.com/product-detail/C228286.html,0805,Tape & Reel (TR),Thick Film Resistor,12kΩ,±1%,150V,125mW,±100ppm/℃
C477715,RC0402FR-0735KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C477715,10900,0.0043,100,100,https://www.lcsc.com/product-detail/C477715.html,0402,Tape & Reel (TR),Thick Film Resistor,35kΩ,±1%,50V,62.5mW,±100ppm/℃
C226989,AC0402FR-0731K6L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C226989,10900,0.0037,100,100,https://www.lcsc.com/product-detail/C226989.html,0402,Tape & Reel (TR),Thick Film Resistor,31.6kΩ,±1%,50V,62.5mW,±100ppm/℃
C144679,AC0603FR-07240KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C144679,10900,0.0071,100,100,https://www.lcsc.com/product-detail/C144679.html,0603,Tape & Reel (TR),Thick Film Resistor,240kΩ,±1%,75V,100mW,±100ppm/℃
C227910,AC0603FR-0745K3L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C227910,10700,0.0076,100,100,https://www.lcsc.com/product-detail/C227910.html,0603,Tape & Reel (TR),Thick Film Resistor,45.3kΩ,±1%,75V,100mW,±100ppm/℃
