LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Type,Resistance,Tolerance,Voltage Rating,Power(Watts),Temperature Coefficient
C483223,RC0805FR-077M68L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C483223,3100,0.0036,100,100,https://www.lcsc.com/product-detail/C483223.html,0805,Tape & Reel (TR),Thick Film Resistor,7.68MΩ,±1%,150V,125mW,±100ppm/℃
C483144,RC0805FR-074M53L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C483144,3100,0.0053,100,100,https://www.lcsc.com/product-detail/C483144.html,0805,Tape & Reel (TR),Thick Film Resistor,4.53MΩ,±1%,150V,125mW,±100ppm/℃
C483140,RC0805FR-074M32L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C483140,3100,0.0051,100,100,https://www.lcsc.com/product-detail/C483140.html,0805,Tape & Reel (TR),Thick Film Resistor,4.32MΩ,±1%,150V,125mW,±100ppm/℃
C483132,RC0805FR-073ML,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C483132,3100,0.0076,100,100,https://www.lcsc.com/product-detail/C483132.html,0805,Tape & Reel (TR),Thick Film Resistor,3MΩ,±1%,150V,125mW,±100ppm/℃
C295889,RC0805FR-07243RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C295889,3100,0.0093,100,100,https://www.lcsc.com/product-detail/C295889.html,0805,Tape & Reel (TR),Thick Film Resistor,243Ω,±1%,150V,125mW,±100ppm/℃
C295875,RC0402FR-0711RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C295875,3100,0.0010,100,100,https://www.lcsc.com/product-detail/C295875.html,0402,Tape & Reel (TR),Thick Film Resistor,11Ω,±1%,50V,62.5mW,±100ppm/℃
C273951,RC0805FR-077K68L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C273951,3100,0.0053,100,100,https://www.lcsc.com/product-detail/C273951.html,0805,Tape & Reel (TR),Thick Film Resistor,7.68kΩ,±1%,150V,125mW,±100ppm/℃
C273714,RC0402FR-07698KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C273714,3100,0.0014,100,100,https://www.lcsc.com/product-detail/C273714.html,0402,Tape & Reel (TR),Thick Film Resistor,698kΩ,±1%,50V,62.5mW,±100ppm/℃
C228924,AC0805FR-075M62L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C228924,3100,0.0086,50,50,https://www.lcsc.com/product-detail/C228924.html,0805,Tape & Reel (TR),Thick Film Resistor,5.62MΩ,±1%,150V,125mW,±100ppm/℃
C228779,AC0805FR-07383RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C228779,3100,0.0062,100,100,https://www.lcsc.com/product-detail/C228779.html,0805,Tape & Reel (TR),Thick Film Resistor,383Ω,±1%,150V,125mW,±100ppm/℃
C227717,AC0603FR-0722R1L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C227717,3100,0.0039,100,100,https://www.lcsc.com/product-detail/C227717.html,0603,Tape & Reel (TR),Thick Film Resistor,22.1Ω,±1%,75V,100mW,±100ppm/℃
C227608,AC0603FR-07162RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C227608,3100,0.0075,100,100,https://www.lcsc.com/product-detail/C227608.html,0603,Tape & Reel (TR),Thick Film Resistor,162Ω,±1%,75V,100mW,±100ppm/℃
C227589,AC0603FR-07143RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C227589,3100,0.0032,100,100,https://www.lcsc.com/product-detail/C227589.html,0603,Tape & Reel (TR),Thick Film Resistor,143Ω,±1%,75V,100mW,±100ppm/℃
C227287,AC0402FR-079K53L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C227287,3100,0.0019,100,100,https://www.lcsc.com/product-detail/C227287.html,0402,Tape & Reel (TR),Thick Film Resistor,9.53kΩ,±1%,50V,62.5mW,±100ppm/℃
C227174,AC0402FR-0762RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C227174,3100,0.0019,100,100,https://www.lcsc.com/product-detail/C227174.html,0402,Tape & Reel (TR),Thick Film Resistor,62Ω,±1%,50V,62.5mW,±100ppm/℃
C185332,RC0603FR-073K57L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C185332,3100,0.0022,100,100,https://www.lcsc.com/product-detail/C185332.html,0603,Tape & Reel (TR),Thick Film Resistor,3.57kΩ,±1%,75V,100mW,±100ppm/℃
C163454,RC0402FR-0778K7L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C163454,3100,0.0014,100,100,https://www.lcsc.com/product-detail/C163454.html,0402,Tape & Reel (TR),Thick Film Resistor,78.7kΩ,±1%,50V,62.5mW,±100ppm/℃
C144733,AC0402FR-0791KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C144733,3100,0.0019,100,100,https://www.lcsc.com/product-detail/C144733.html,0402,Tape & Reel (TR),Thick Film Resistor,91kΩ,±1%,50V,62.5mW,±100ppm/℃
C144674,AC0603FR-072K4L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C144674,3100,0.0037,100,100,https://www.lcsc.com/product-detail/C144674.html,0603,Tape & Reel (TR),Thick Film Resistor,2.4kΩ,±1%,75V,100mW,±100ppm/℃
C144550,AC0805FR-0762KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C144550,3100,0.0106,100,100,https://www.lcsc.com/product-detail/C144550.html,0805,Tape & Reel (TR),Thick Film Resistor,62kΩ,±1%,150V,125mW,±100ppm/℃
C137747,RC0603FR-072M2L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C137747,3100,0.0024,100,100,https://www.lcsc.com/product-detail/C137747.html,0603,Tape & Reel (TR),Thick Film Resistor,2.2MΩ,±1%,75V,100mW,±100ppm/℃
C309532,PT0805FR-7W0R51L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/d24f9498a378892db8b98c9d196cf45b.pdf?productCode=C309532,3020,0.0357,20,20,https://www.lcsc.com/product-detail/C309532.html,0805,Tape & Reel (TR),Thick Film Resistor,510mΩ,±1%,,250mW,±100ppm/℃
C4232756,AF0603FR-07402RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/ebd14ddabfb2b500a2b3786a8b0d1c4f.pdf?productCode=C4232756,3000,0.0022,100,100,https://www.lcsc.com/product-detail/C4232756.html,0603,Tape & Reel (TR),Thick Film Resistor,402Ω,±1%,,100mW,±100ppm/℃
C2110440,AF0805FR-0733KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/ebd14ddabfb2b500a2b3786a8b0d1c4f.pdf?productCode=C2110440,3000,0.0095,50,50,https://www.lcsc.com/product-detail/C2110440.html,0805,Tape & Reel (TR),Thick Film Resistor,33kΩ,±1%,150V,125mW,±100ppm/℃
C2105344,AF0805FR-07200RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/ebd14ddabfb2b500a2b3786a8b0d1c4f.pdf?productCode=C2105344,3000,0.0097,50,50,https://www.lcsc.com/product-detail/C2105344.html,0805,Tape & Reel (TR),Thick Film Resistor,200Ω,±1%,150V,125mW,±100ppm/℃
C606169,RC0402FR-7W15KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C606169,3000,0.0063,100,100,https://www.lcsc.com/product-detail/C606169.html,0402,Tape & Reel (TR),Thick Film Resistor,15kΩ,±1%,50V,125mW,±100ppm/℃
C482781,RC0603FR-072M05L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C482781,3000,0.0016,100,100,https://www.lcsc.com/product-detail/C482781.html,0603,Tape & Reel (TR),Thick Film Resistor,2.05MΩ,±1%,75V,100mW,±100ppm/℃
C276271,RC0402FR-074K53L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C276271,3000,0.0010,100,100,https://www.lcsc.com/product-detail/C276271.html,0402,Tape & Reel (TR),Thick Film Resistor,4.53kΩ,±1%,50V,62.5mW,±100ppm/℃
C273922,RC0805FR-072K1L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C273922,3000,0.0093,100,100,https://www.lcsc.com/product-detail/C273922.html,0805,Tape & Reel (TR),Thick Film Resistor,2.1kΩ,±1%,150V,125mW,±100ppm/℃
C273912,RC0805FR-074K22L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C273912,3000,0.0051,100,100,https://www.lcsc.com/product-detail/C273912.html,0805,Tape & Reel (TR),Thick Film Resistor,4.22kΩ,±1%,150V,125mW,±100ppm/℃
C273822,RC0805FR-076K98L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C273822,3000,0.0053,100,100,https://www.lcsc.com/product-detail/C273822.html,0805,Tape & Reel (TR),Thick Film Resistor,6.98kΩ,±1%,150V,125mW,±100ppm/℃
C273743,RC0603FR-079K53L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C273743,3000,0.0071,100,100,https://www.lcsc.com/product-detail/C273743.html,0603,Tape & Reel (TR),Thick Film Resistor,9.53kΩ,±1%,75V,100mW,±100ppm/℃
