LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Type,Resistance,Tolerance,Voltage Rating,Power(Watts),Temperature Coefficient
C228302,AC0805FR-0713RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C228302,4200,0.0112,100,100,https://www.lcsc.com/product-detail/C228302.html,0805,Tape & Reel (TR),Thick Film Resistor,13Ω,±1%,150V,125mW,±100ppm/℃
C227820,AC0603FR-0732K4L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C227820,4200,0.0047,100,100,https://www.lcsc.com/product-detail/C227820.html,0603,Tape & Reel (TR),Thick Film Resistor,32.4kΩ,±1%,75V,100mW,±100ppm/℃
C227674,AC0603FR-071M58L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C227674,4200,0.0034,100,100,https://www.lcsc.com/product-detail/C227674.html,0603,Tape & Reel (TR),Thick Film Resistor,1.58MΩ,±1%,75V,100mW,±100ppm/℃
C227614,AC0603FR-0716K9L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C227614,4200,0.0064,100,100,https://www.lcsc.com/product-detail/C227614.html,0603,Tape & Reel (TR),Thick Film Resistor,16.9kΩ,±1%,75V,100mW,±100ppm/℃
C227592,AC0603FR-0714K3L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C227592,4200,0.0091,100,100,https://www.lcsc.com/product-detail/C227592.html,0603,Tape & Reel (TR),Thick Film Resistor,14.3kΩ,±1%,75V,100mW,±100ppm/℃
C163427,RC0603FR-07221RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C163427,4200,0.0071,100,100,https://www.lcsc.com/product-detail/C163427.html,0603,Tape & Reel (TR),Thick Film Resistor,221Ω,±1%,75V,100mW,±100ppm/℃
C144570,AC0805FR-0727KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C144570,4200,0.0104,100,100,https://www.lcsc.com/product-detail/C144570.html,0805,Tape & Reel (TR),Thick Film Resistor,27kΩ,±1%,150V,125mW,±100ppm/℃
C137790,RC0603FR-0716K2L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C137790,4200,0.0052,100,100,https://www.lcsc.com/product-detail/C137790.html,0603,Tape & Reel (TR),Thick Film Resistor,16.2kΩ,±1%,75V,100mW,±100ppm/℃
C137686,RC0603FR-076K98L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C137686,4200,0.0035,100,100,https://www.lcsc.com/product-detail/C137686.html,0603,Tape & Reel (TR),Thick Film Resistor,6.98kΩ,±1%,75V,100mW,±100ppm/℃
C137667,RC0603FR-0795K3L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C137667,4200,0.0078,100,100,https://www.lcsc.com/product-detail/C137667.html,0603,Tape & Reel (TR),Thick Film Resistor,95.3kΩ,±1%,75V,100mW,±100ppm/℃
C4001216,AF0805FR-074M7L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/ebd14ddabfb2b500a2b3786a8b0d1c4f.pdf?productCode=C4001216,4150,0.0046,50,50,https://www.lcsc.com/product-detail/C4001216.html,0805,Tape & Reel (TR),Thick Film Resistor,4.7MΩ,±1%,,125mW,±100ppm/℃
C7334683,RC0603FR-07220KP,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/da845270410dc62346904be643baab6b.pdf?productCode=C7334683,4100,0.0043,100,100,https://www.lcsc.com/product-detail/C7334683.html,0603,Tape & Reel (TR),Thick Film Resistor,220kΩ,±1%,,100mW,±100ppm/℃
C7065965,AC0805FR-7W61R9L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C7065965,4100,0.0045,100,100,https://www.lcsc.com/product-detail/C7065965.html,0805,Tape & Reel (TR),Thick Film Resistor,61.9Ω,±1%,,250mW,±100ppm/℃
C705023,AF0402FR-071K3L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/ebd14ddabfb2b500a2b3786a8b0d1c4f.pdf?productCode=C705023,4100,0.0048,100,100,https://www.lcsc.com/product-detail/C705023.html,0402,Tape & Reel (TR),Thick Film Resistor,1.3kΩ,±1%,50V,62.5mW,±100ppm/℃
C483246,RC0805FR-07806RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C483246,4100,0.0064,100,100,https://www.lcsc.com/product-detail/C483246.html,0805,Tape & Reel (TR),Thick Film Resistor,806Ω,±1%,150V,125mW,±100ppm/℃
C275641,RC0805FR-071M65L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C275641,4100,0.0053,100,100,https://www.lcsc.com/product-detail/C275641.html,0805,Tape & Reel (TR),Thick Film Resistor,1.65MΩ,±1%,150V,125mW,±100ppm/℃
C245935,RC0603FR-0721R5L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C245935,4100,0.0024,100,100,https://www.lcsc.com/product-detail/C245935.html,0603,Tape & Reel (TR),Thick Film Resistor,21.5Ω,±1%,75V,100mW,±100ppm/℃
C228351,AC0805FR-07187RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C228351,4100,0.0061,100,100,https://www.lcsc.com/product-detail/C228351.html,0805,Tape & Reel (TR),Thick Film Resistor,187Ω,±1%,150V,125mW,±100ppm/℃
C228026,AC0603FR-076K81L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C228026,4100,0.0075,100,100,https://www.lcsc.com/product-detail/C228026.html,0603,Tape & Reel (TR),Thick Film Resistor,6.81kΩ,±1%,75V,100mW,±100ppm/℃
C227933,AC0603FR-074K87L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C227933,4100,0.0039,100,100,https://www.lcsc.com/product-detail/C227933.html,0603,Tape & Reel (TR),Thick Film Resistor,4.87kΩ,±1%,75V,100mW,±100ppm/℃
