LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Type,Resistance,Tolerance,Voltage Rating,Power(Watts),Temperature Coefficient
C229049,AC0805FR-07931RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C229049,900,0.0043,100,100,https://www.lcsc.com/product-detail/C229049.html,0805,Tape & Reel (TR),Thick Film Resistor,931Ω,±1%,150V,125mW,±100ppm/℃
C228971,AC0805FR-076K98L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C228971,900,0.0061,100,100,https://www.lcsc.com/product-detail/C228971.html,0805,Tape & Reel (TR),Thick Film Resistor,6.98kΩ,±1%,150V,125mW,±100ppm/℃
C228904,AC0805FR-07562KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C228904,900,0.0038,100,100,https://www.lcsc.com/product-detail/C228904.html,0805,Tape & Reel (TR),Thick Film Resistor,562kΩ,±1%,150V,125mW,±100ppm/℃
C228870,AC0805FR-074K87L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C228870,900,0.0062,100,100,https://www.lcsc.com/product-detail/C228870.html,0805,Tape & Reel (TR),Thick Film Resistor,4.87kΩ,±1%,150V,125mW,±100ppm/℃
C228716,AC0805FR-072ML,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C228716,900,0.0106,100,100,https://www.lcsc.com/product-detail/C228716.html,0805,Tape & Reel (TR),Thick Film Resistor,2MΩ,±1%,150V,125mW,±100ppm/℃
C228095,AC0603FR-07909RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C228095,900,0.0032,100,100,https://www.lcsc.com/product-detail/C228095.html,0603,Tape & Reel (TR),Thick Film Resistor,909Ω,±1%,75V,100mW,±100ppm/℃
C227761,AC0603FR-07294KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C227761,900,0.0032,100,100,https://www.lcsc.com/product-detail/C227761.html,0603,Tape & Reel (TR),Thick Film Resistor,294kΩ,±1%,75V,100mW,±100ppm/℃
C226379,AC0402FR-07261RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C226379,900,0.0015,100,100,https://www.lcsc.com/product-detail/C226379.html,0402,Tape & Reel (TR),Thick Film Resistor,261Ω,±1%,50V,62.5mW,±100ppm/℃
C185367,RC0603FR-07169RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C185367,900,0.0022,100,100,https://www.lcsc.com/product-detail/C185367.html,0603,Tape & Reel (TR),Thick Film Resistor,169Ω,±1%,75V,100mW,±100ppm/℃
C163417,RC0603FR-078K45L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C163417,900,0.0040,100,100,https://www.lcsc.com/product-detail/C163417.html,0603,Tape & Reel (TR),Thick Film Resistor,8.45kΩ,±1%,75V,100mW,±100ppm/℃
