LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Polarity,Clamping Voltage,Reverse Leakage Current (Ir),type,Peak Pulse Power Dissipation (Ppp),Operating Temperature,Reverse Stand-Off Voltage (Vrwm),Voltage - Breakdown,Number of Channels,Peak Pulse Current (Ipp)
C413589,SMCJ58CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/7000c79d94cb9d5ab525d6547b3ec1b7.pdf?productCode=C413589,3575,0.3429,5,5,https://www.lcsc.com/product-detail/C413589.html,DO-214AB,Tape & Reel (TR),Bidirectional,93.6V,16.1uA,TVS,1.5kW@10/1000us,-65℃~+150℃,58V,64.4V,1,16.1A
C2936104,SMCJ43CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/b235dae0e8a4c2c7df4434b2c7efcc9c.pdf?productCode=C2936104,3450,0.3065,5,5,https://www.lcsc.com/product-detail/C2936104.html,DO-214AB,Tape & Reel (TR),Bidirectional,69.4V,1uA,TVS,1.5kW@10/1000us,-65℃~+150℃,43V,47.8V,1,21.7A
C2936129,SMCJ54CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/563a25d2eeae7639a3bce3edab949410.pdf?productCode=C2936129,3390,0.3485,5,5,https://www.lcsc.com/product-detail/C2936129.html,DO-214AB,Tape & Reel (TR),Bidirectional,87.1V,1uA,TVS,1.5kW@10/1000us,-65℃~+150℃,54V,60V,1,17.3A
C224038,SMCJ12A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4ffc39069ef6aef3785dfbfda82b9e7d.pdf?productCode=C224038,3390,0.3133,5,5,https://www.lcsc.com/product-detail/C224038.html,DO-214AB,Tape & Reel (TR),Unidirectional,19.9V,1uA,TVS,1.5kW@10/1000us,-65℃~+150℃,12V,14.7V,1,75.4A@10/1000us
C151286,SMCJ48A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4ffc39069ef6aef3785dfbfda82b9e7d.pdf?productCode=C151286,3335,0.2868,5,5,https://www.lcsc.com/product-detail/C151286.html,DO-214AB,Tape & Reel (TR),Unidirectional,77.4V,1uA,TVS,1.5kW@10/1000us,-65℃~+150℃,48V,58.9V,1,19.4A@10/1000us
C3719272,3.0SMCJ5.0CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/35a31d33996db2dcbd5954a30c08c364.pdf?productCode=C3719272,3000,0.8903,1,1,https://www.lcsc.com/product-detail/C3719272.html,DO-214AB(SMCJ),Tape & Reel (TR),Bidirectional,9.2V,800uA,TVS,3kW,-65℃~+150℃,5V,6.4V,1,326.1A
C3719003,SMCJ8.5A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/d99b181af1fd4367abb6f6b0192c317c.pdf?productCode=C3719003,3000,0.5037,5,5,https://www.lcsc.com/product-detail/C3719003.html,DO-214AB(SMCJ),Tape & Reel (TR),Unidirectional,14.4V,20uA,TVS,1.5kW@10/1000us,-65℃~+150℃,8.5V,9.44V,1,104.2A
C3717822,SMCJ9.0CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/d99b181af1fd4367abb6f6b0192c317c.pdf?productCode=C3717822,3000,0.5540,1,1,https://www.lcsc.com/product-detail/C3717822.html,DO-214AB(SMCJ),Tape & Reel (TR),Bidirectional,15.4V,10uA,TVS,1.5kW@10/1000us,-65℃~+150℃,9V,10V,1,97.4A
C3709320,TPSMC110A-VR,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/237913f352266f8cb1112210e3dc8f74.pdf?productCode=C3709320,3000,0.3342,5,5,https://www.lcsc.com/product-detail/C3709320.html,DO-214AB(SMCJ),Tape & Reel (TR),Unidirectional,175.5V,1uA,TVS,1.5kW,-65℃~+150℃,110V,122V,,8.6A
C1976974,TPSMC85A-VR,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/237913f352266f8cb1112210e3dc8f74.pdf?productCode=C1976974,3000,0.4809,5,5,https://www.lcsc.com/product-detail/C1976974.html,DO-214AB(SMCJ),Tape & Reel (TR),Unidirectional,137V,,TVS,1.5kW@10/1000us,-65℃~+150℃,85V,94.4V,,11A
C1975653,SMDJ8.5A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/cf41f2d4916f80c50c8fda3429d1e00b.pdf?productCode=C1975653,3000,1.0609,1,1,https://www.lcsc.com/product-detail/C1975653.html,DO-214AB(SMCJ),Tape & Reel (TR),Unidirectional,14.4V,20uA,TVS,3kW@10/1000us,-65℃~+150℃,8.5V,9.44V,1,208.3A
C1975364,TPSMC68A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/fe4080287c353e08b3ea1d595394f567.pdf?productCode=C1975364,3000,0.9651,1,1,https://www.lcsc.com/product-detail/C1975364.html,DO-214AB(SMCJ),Tape & Reel (TR),Unidirectional,92V,1uA,TVS,1.5kW@10/1000us,,58.1V,64.6V,,16.5A
