LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Polarity,Clamping Voltage,Reverse Leakage Current (Ir),type,Peak Pulse Power Dissipation (Ppp),Operating Temperature,Reverse Stand-Off Voltage (Vrwm),Voltage - Breakdown,Number of Channels,Peak Pulse Current (Ipp)
C223993,SMAJ6.0A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C223993,41090,0.1318,5,5,https://www.lcsc.com/product-detail/C223993.html,DO-214AC(SMA),Tape & Reel (TR),Unidirectional,10.3V,800uA,TVS,400W@10/1000us,-65℃~+150℃,6V,7.37V,1,38.8A
C148230,SMAJ30A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C148230,32090,0.1459,5,5,https://www.lcsc.com/product-detail/C148230.html,DO-214AC(SMA),Tape & Reel (TR),Unidirectional,48.4V,1uA,TVS,400W@10/1000us,-65℃~+150℃,30V,36.8V,1,8.3A@10/1000us
C148222,SMAJ24A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C148222,31950,0.1392,5,5,https://www.lcsc.com/product-detail/C148222.html,DO-214AC(SMA),Tape & Reel (TR),Unidirectional,38.9V,1uA,TVS,400W@10/1000us,-65℃~+150℃,24V,29.5V,1,10.3A
C83266,SMAJ36CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C83266,30480,0.1433,5,5,https://www.lcsc.com/product-detail/C83266.html,DO-214AC(SMA),Tape & Reel (TR),Bidirectional,58.1V,1uA,TVS,400W@10/1000us,-65℃~+150℃,36V,40V,1,6.9A
C83267,SMAJ12CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C83267,25720,0.1324,5,5,https://www.lcsc.com/product-detail/C83267.html,DO-214AC(SMA),Tape & Reel (TR),Bidirectional,19.9V,1uA,TVS,400W@10/1000us,-65℃~+150℃,12V,13.3V,1,20.1A
C148226,SMAJ26CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C148226,22415,0.1162,5,5,https://www.lcsc.com/product-detail/C148226.html,DO-214AC(SMA),Tape & Reel (TR),Bidirectional,42.1V,1uA,TVS,400W@10/1000us,-65℃~+150℃,26V,31.9V,1,9.5A@10/1000us
C151246,SMAJ58A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C151246,21690,0.1133,5,5,https://www.lcsc.com/product-detail/C151246.html,DO-214AC(SMA),Tape & Reel (TR),Unidirectional,93.6V,1uA,TVS,400W@10/1000us,-65℃~+150℃,58V,71.2V,1,4.3A@10/1000us
C83329,SMAJ5.0A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C83329,21450,0.1240,5,5,https://www.lcsc.com/product-detail/C83329.html,DO-214AC(SMA),Tape & Reel (TR),Unidirectional,9.2V,800uA,TVS,400W@10/1000us,-65℃~+150℃,5V,6.4V,1,43.5A
C148225,SMAJ26A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C148225,21110,0.1345,5,5,https://www.lcsc.com/product-detail/C148225.html,DO-214AC(SMA),Tape & Reel (TR),Unidirectional,42.1V,1uA,TVS,400W@10/1000us,-65℃~+150℃,26V,31.9V,1,9.5A
C148231,SMAJ33CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C148231,20950,0.1105,5,5,https://www.lcsc.com/product-detail/C148231.html,DO-214AC(SMA),Tape & Reel (TR),Bidirectional,53.3V,1uA,TVS,400W@10/1000us,-65℃~+150℃,33V,40.6V,1,7.5A@10/1000us
C148213,SMAJ12A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C148213,19735,0.1255,5,5,https://www.lcsc.com/product-detail/C148213.html,DO-214AC(SMA),Tape & Reel (TR),Unidirectional,19.9V,1uA,TVS,400W@10/1000us,-65℃~+150℃,12V,14.7V,1,20.1A@10/1000us
C148227,SMAJ28A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C148227,19115,0.1326,5,5,https://www.lcsc.com/product-detail/C148227.html,DO-214AC(SMA),Tape & Reel (TR),Unidirectional,45.4V,1uA,TVS,400W@10/1000us,-65℃~+150℃,28V,34.4V,1,8.8A@10/1000us
C223985,SMAJ15CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C223985,18570,0.1188,5,5,https://www.lcsc.com/product-detail/C223985.html,DO-214AC(SMA),Tape & Reel (TR),Bidirectional,24.4V,1uA,TVS,400W@10/1000us,-65℃~+150℃,15V,18.5V,1,16.4A
C151240,SMAJ18CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C151240,17815,0.1043,5,5,https://www.lcsc.com/product-detail/C151240.html,DO-214AC(SMA),Tape & Reel (TR),Bidirectional,29.2V,1uA,TVS,400W@10/1000us,-65℃~+150℃,18V,22.1V,1,13.7A@10/1000us
C83324,SMAJ5.0CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C83324,17675,0.1238,5,5,https://www.lcsc.com/product-detail/C83324.html,DO-214AC(SMA),Tape & Reel (TR),Bidirectional,9.2V,800uA,TVS,400W@10/1000us,-65℃~+150℃,5V,6.4V,1,43.5A
C148219,SMAJ18A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C148219,15815,0.1210,5,5,https://www.lcsc.com/product-detail/C148219.html,DO-214AC(SMA),Tape & Reel (TR),Unidirectional,29.2V,1uA,TVS,400W@10/1000us,-65℃~+150℃,18V,22.1V,1,13.7A@10/1000us
C148232,SMAJ36A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C148232,15060,0.1166,5,5,https://www.lcsc.com/product-detail/C148232.html,DO-214AC(SMA),Tape & Reel (TR),Unidirectional,58.1V,6.9uA,TVS,400W@10/1000us,-65℃~+150℃,36V,44.2V,1,6.9A
C83322,SMAJ30CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C83322,13415,0.1088,5,5,https://www.lcsc.com/product-detail/C83322.html,DO-214AC(SMA),Tape & Reel (TR),Bidirectional,48.4V,1uA,TVS,400W@10/1000us,-65℃~+150℃,30V,33.3V,1,8.3A
