LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Polarity,Clamping Voltage,Reverse Leakage Current (Ir),type,Peak Pulse Power Dissipation (Ppp),Operating Temperature,Reverse Stand-Off Voltage (Vrwm),Voltage - Breakdown,Number of Channels,Peak Pulse Current (Ipp)
C83847,SMBJ30CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4ab84a227fae39f9eac85241b8264ead.pdf?productCode=C83847,87175,0.1174,5,5,https://www.lcsc.com/product-detail/C83847.html,DO-214AA,Tape & Reel (TR),Bidirectional,48.4V,1uA,TVS,600W@10/1000us,-65℃~+150℃,30V,33.3V,1,12.4A
C83319,SMBJ6.5CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4ab84a227fae39f9eac85241b8264ead.pdf?productCode=C83319,45470,0.1224,5,5,https://www.lcsc.com/product-detail/C83319.html,DO-214AA,Tape & Reel (TR),Bidirectional,11.2V,52nA,TVS,600W@10/1000us,-65℃~+150℃,6.5V,7.22V,1,53.6A
C83326,SMBJ36CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4ab84a227fae39f9eac85241b8264ead.pdf?productCode=C83326,45230,0.1194,5,5,https://www.lcsc.com/product-detail/C83326.html,DO-214AA,Tape & Reel (TR),Bidirectional,58.1V,1uA,TVS,600W@10/1000us,-65℃~+150℃,36V,40V,1,10.4A
C83333,SMBJ5.0A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4ab84a227fae39f9eac85241b8264ead.pdf?productCode=C83333,41580,0.1117,5,5,https://www.lcsc.com/product-detail/C83333.html,DO-214AA,Tape & Reel (TR),Unidirectional,9.2V,65.3uA,TVS,600W@10/1000us,-65℃~+150℃,5V,6.4V,1,65.3A
C83849,SMBJ12CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4ab84a227fae39f9eac85241b8264ead.pdf?productCode=C83849,41295,0.1304,5,5,https://www.lcsc.com/product-detail/C83849.html,DO-214AA,Tape & Reel (TR),Bidirectional,19.9V,1uA,TVS,600W@10/1000us,-65℃~+150℃,12V,13.3V,1,30.2A
C151262,SMBJ40CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4ab84a227fae39f9eac85241b8264ead.pdf?productCode=C151262,39580,0.1218,5,5,https://www.lcsc.com/product-detail/C151262.html,DO-214AA,Tape & Reel (TR),Bidirectional,64.5V,1uA,TVS,600W@10/1000us,-65℃~+150℃,40V,49.1V,1,9.3A@10/1000us
C83846,SMBJ15A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4ab84a227fae39f9eac85241b8264ead.pdf?productCode=C83846,31200,0.1179,5,5,https://www.lcsc.com/product-detail/C83846.html,DO-214AA,Tape & Reel (TR),Unidirectional,24.4V,1uA,TVS,600W@10/1000us,-65℃~+150℃,15V,16.7V,1,24.6A
C224017,SMBJ24A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4ab84a227fae39f9eac85241b8264ead.pdf?productCode=C224017,29735,0.1585,5,5,https://www.lcsc.com/product-detail/C224017.html,DO-214AA,Tape & Reel (TR),Unidirectional,38.9V,1uA,TVS,600W@10/1000us,-65℃~+150℃,24V,29.5V,1,15.5A@10/1000us
C83327,SMBJ18CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4ab84a227fae39f9eac85241b8264ead.pdf?productCode=C83327,26790,0.1454,5,5,https://www.lcsc.com/product-detail/C83327.html,DO-214AA,Tape & Reel (TR),Bidirectional,29.2V,1uA,TVS,600W@10/1000us,-65℃~+150℃,18V,20V,1,20.6A
C83325,SMBJ33CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4ab84a227fae39f9eac85241b8264ead.pdf?productCode=C83325,20465,0.1304,5,5,https://www.lcsc.com/product-detail/C83325.html,DO-214AA,Tape & Reel (TR),Bidirectional,53.3V,1uA,TVS,600W@10/1000us,-65℃~+150℃,33V,36.7V,1,11.3A
C83323,SMBJ5.0CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4ab84a227fae39f9eac85241b8264ead.pdf?productCode=C83323,20460,0.1419,5,5,https://www.lcsc.com/product-detail/C83323.html,DO-214AA,Tape & Reel (TR),Bidirectional,9.2V,65.3uA,TVS,600W@10/1000us,-65℃~+150℃,5V,6.4V,1,65.3A
C224019,SMBJ33A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4ab84a227fae39f9eac85241b8264ead.pdf?productCode=C224019,20260,0.1205,5,5,https://www.lcsc.com/product-detail/C224019.html,DO-214AA,Tape & Reel (TR),Unidirectional,53.3V,1uA,TVS,600W@10/1000us,-65℃~+150℃,33V,40.6V,1,11.3A@10/1000us
C83278,SMBJ10CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4ab84a227fae39f9eac85241b8264ead.pdf?productCode=C83278,19920,0.1017,5,5,https://www.lcsc.com/product-detail/C83278.html,DO-214AA,Tape & Reel (TR),Bidirectional,17V,5uA,TVS,600W@10/1000us,-65℃~+150℃,10V,11.1V,1,35.3A
C78809,SMBJ15CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4ab84a227fae39f9eac85241b8264ead.pdf?productCode=C78809,19710,0.1421,5,5,https://www.lcsc.com/product-detail/C78809.html,DO-214AA,Tape & Reel (TR),Bidirectional,24.4V,1uA,TVS,600W@10/1000us,-65℃~+150℃,15V,16.7V,1,24.6A
C151251,SMBJ12A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4ab84a227fae39f9eac85241b8264ead.pdf?productCode=C151251,18000,0.1205,5,5,https://www.lcsc.com/product-detail/C151251.html,DO-214AA,Tape & Reel (TR),Unidirectional,21.5V,1uA,TVS,600W@10/1000us,-65℃~+150℃,13V,15.9V,1,28A@10/1000us
C83851,SMBJ30A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4ab84a227fae39f9eac85241b8264ead.pdf?productCode=C83851,17445,0.1416,5,5,https://www.lcsc.com/product-detail/C83851.html,DO-214AA,Tape & Reel (TR),Unidirectional,48.4V,1uA,TVS,600W@10/1000us,-65℃~+150℃,30V,33.3V,1,12.4A
C78812,SMBJ6.0CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4ab84a227fae39f9eac85241b8264ead.pdf?productCode=C78812,16970,0.1184,5,5,https://www.lcsc.com/product-detail/C78812.html,DO-214AA,Tape & Reel (TR),Bidirectional,10.3V,46nA,TVS,600W@10/1000us,-65℃~+150℃,6V,6.67V,1,58.3A
