LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Polarity,Clamping Voltage,Reverse Leakage Current (Ir),type,Peak Pulse Power Dissipation (Ppp),Operating Temperature,Reverse Stand-Off Voltage (Vrwm),Voltage - Breakdown,Number of Channels,Peak Pulse Current (Ipp)
C1973780,1.5SMC16A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/b3cdf5a3fe351b37a79b81a465a20876.pdf?productCode=C1973780,3000,0.2587,5,5,https://www.lcsc.com/product-detail/C1973780.html,DO-214AB(SMCJ),Tape & Reel (TR),Unidirectional,22.5V,1uA,TVS,1.5kW@10/1000us,-65℃~+150℃,13.6V,16.8V,1,67.6A@10/1000us
C1977388,TPSMD40CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/b11f7c4d547ebb924a4813a7a78e322f.pdf?productCode=C1977388,2996,0.6856,1,1,https://www.lcsc.com/product-detail/C1977388.html,DO-214AB(SMCJ),Tape & Reel (TR),Bidirectional,64.5V,2uA,TVS,3kW@10/1000us,-65℃~+150℃,40V,44.4V,,46.5A
C1982151,TPSMC26CA-VR,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/237913f352266f8cb1112210e3dc8f74.pdf?productCode=C1982151,2995,1.0869,1,1,https://www.lcsc.com/product-detail/C1982151.html,DO-214AB(SMCJ),Tape & Reel (TR),Bidirectional,42.1V,,TVS,1.5kW@10/1000us,-65℃~+150℃,26V,28.9V,,35.7A
C1973141,SMDJ10A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/cf41f2d4916f80c50c8fda3429d1e00b.pdf?productCode=C1973141,2986,0.7502,1,1,https://www.lcsc.com/product-detail/C1973141.html,DO-214AB(SMCJ),Tape & Reel (TR),Unidirectional,23.51V,5uA,TVS,3kW@10/1000us,-65℃~+150℃,10V,12.3V,1,882.5A@8/20us
C3719033,SMDJ8.0A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/94eea1b01c8f4f2574953ab88a01bf2f.pdf?productCode=C3719033,2980,1.4395,1,1,https://www.lcsc.com/product-detail/C3719033.html,DO-214AB(SMCJ),Tape & Reel (TR),Unidirectional,13.6V,50uA,TVS,3kW,-65℃~+150℃,8V,8.89V,1,220.6A
C1977839,SMDJ100A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/cf41f2d4916f80c50c8fda3429d1e00b.pdf?productCode=C1977839,2980,0.6112,1,1,https://www.lcsc.com/product-detail/C1977839.html,DO-214AB(SMCJ),Tape & Reel (TR),Unidirectional,162V,2uA,TVS,3kW@10/1000us,-65℃~+150℃,100V,111V,1,18.5A
C1977434,TPSMD16CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/b11f7c4d547ebb924a4813a7a78e322f.pdf?productCode=C1977434,2980,1.2559,1,1,https://www.lcsc.com/product-detail/C1977434.html,DO-214AB(SMCJ),Tape & Reel (TR),Bidirectional,26V,2uA,TVS,3kW@10/1000us,,16V,17.8V,,115.4A
C3720269,SMCJ160A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/d99b181af1fd4367abb6f6b0192c317c.pdf?productCode=C3720269,2938,0.5540,1,1,https://www.lcsc.com/product-detail/C3720269.html,DO-214AB(SMCJ),Tape & Reel (TR),Unidirectional,259V,1uA,TVS,1.5kW@10/1000us,-65℃~+150℃,160V,178V,1,5.8A
C224055,SMCJ5.0A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4ffc39069ef6aef3785dfbfda82b9e7d.pdf?productCode=C224055,2935,0.3640,5,5,https://www.lcsc.com/product-detail/C224055.html,DO-214AB,Tape & Reel (TR),Unidirectional,9.2V,800uA,TVS,1.5kW@10/1000us,-65℃~+150℃,5V,7V,1,163A@10/1000us
C3720139,SMCJ11CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/d99b181af1fd4367abb6f6b0192c317c.pdf?productCode=C3720139,2902,0.4306,1,1,https://www.lcsc.com/product-detail/C3720139.html,DO-214AB(SMCJ),Tape & Reel (TR),Bidirectional,18.2V,1uA,TVS,1.5kW@10/1000us,-65℃~+150℃,11V,12.2V,1,82.5A
