LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Polarity,Clamping Voltage,Reverse Leakage Current (Ir),type,Peak Pulse Power Dissipation (Ppp),Operating Temperature,Reverse Stand-Off Voltage (Vrwm),Voltage - Breakdown,Number of Channels,Peak Pulse Current (Ipp)
C5899909,SMBJ14CA-HRA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/d64ff2eccc9bc07c3837927fc0cf89b8.pdf?productCode=C5899909,0,26.4556,1,1,https://www.lcsc.com/product-detail/C5899909.html,DO-214AA(SMBJ),Tape & Reel (TR),Bidirectional,23.2V,1uA,TVS,600W@10/1000us,-65℃~+150℃,14V,15.6V,1,25.9A
C5802900,TPSMB51CA-VR,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/5212ad8dfcd5d7f6ac36b8fc64cba5a4.pdf?productCode=C5802900,0,0.1084,1,1,https://www.lcsc.com/product-detail/C5802900.html,DO-214AA(SMBJ),Tape & Reel (TR),Bidirectional,82.4V,1uA,TVS,600W@10/1000us,-65℃~+175℃,51V,56.7V,,7.3A
C5791418,SZP6SMB22CAT3G,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/3ed7cc724b217089992ccb5fa5604e4e.pdf?productCode=C5791418,0,0.0831,1,1,https://www.lcsc.com/product-detail/C5791418.html,DO-214AA(SMBJ),Tape & Reel (TR),Bidirectional,30.6V,5uA,TVS,600W@10/1000us,-65℃~+150℃,18.8V,20.9V,,20A
C3720991,SMBJ400CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4ab84a227fae39f9eac85241b8264ead.pdf?productCode=C3720991,0,0.1369,5,5,https://www.lcsc.com/product-detail/C3720991.html,DO-214AA,Tape & Reel (TR),Bidirectional,648V,1.3uA,TVS,600W@10/1000us,-65℃~+150℃,400V,447V,1,900mA
C3719310,1KSMB20CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/7f813d884aa31d48c8787efb2b7a3ec4.pdf?productCode=C3719310,0,0.0888,1,1,https://www.lcsc.com/product-detail/C3719310.html,DO-214AA(SMBJ),Tape & Reel (TR),Bidirectional,27.7V,1uA,TVS,1kW,-65℃~+150℃,17.1V,19V,1,36.1A
C3719239,1KSMB75A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/7f813d884aa31d48c8787efb2b7a3ec4.pdf?productCode=C3719239,0,0.2795,1,1,https://www.lcsc.com/product-detail/C3719239.html,DO-214AA(SMBJ),Tape & Reel (TR),Unidirectional,103V,1uA,TVS,1kW,-65℃~+150℃,64.1V,71.3V,1,9.7A
C3719027,P6SMB160CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/7530c009ea42a79898e1c2f47b27d7df.pdf?productCode=C3719027,0,0.1883,1,1,https://www.lcsc.com/product-detail/C3719027.html,DO-214AA(SMBJ),Tape & Reel (TR),Bidirectional,219V,1uA,TVS,600W,-65℃~+150℃,136V,152V,1,2.8A
C3718795,P6SMB75A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/7530c009ea42a79898e1c2f47b27d7df.pdf?productCode=C3718795,0,0.2790,5,5,https://www.lcsc.com/product-detail/C3718795.html,DO-214AA(SMBJ),Tape & Reel (TR),Unidirectional,103V,1uA,TVS,600W,-65℃~+150℃,64.1V,71.3V,1,5.9A
C3718144,1KSMB82A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/7f813d884aa31d48c8787efb2b7a3ec4.pdf?productCode=C3718144,0,0.2795,1,1,https://www.lcsc.com/product-detail/C3718144.html,DO-214AA(SMBJ),Tape & Reel (TR),Unidirectional,113V,1uA,TVS,1kW,-65℃~+150℃,70.1V,77.9V,1,8.8A
C3718109,1KSMB36CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/7f813d884aa31d48c8787efb2b7a3ec4.pdf?productCode=C3718109,0,0.0810,1,1,https://www.lcsc.com/product-detail/C3718109.html,DO-214AA(SMBJ),Tape & Reel (TR),Bidirectional,49.9V,1uA,TVS,1kW,-65℃~+150℃,30.8V,34.2V,1,20A
C3718065,1KSMB22CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/7f813d884aa31d48c8787efb2b7a3ec4.pdf?productCode=C3718065,0,0.1044,1,1,https://www.lcsc.com/product-detail/C3718065.html,DO-214AA(SMBJ),Tape & Reel (TR),Bidirectional,30.6V,1uA,TVS,1kW,-65℃~+150℃,18.8V,20.9V,1,32.7A
C3715534,1KSMB180A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/7f813d884aa31d48c8787efb2b7a3ec4.pdf?productCode=C3715534,0,0.2795,1,1,https://www.lcsc.com/product-detail/C3715534.html,DO-214AA(SMBJ),Tape & Reel (TR),Unidirectional,246V,1uA,TVS,1kW,-65℃~+150℃,153V,171V,1,4.1A
C3715384,SMBJ8.0CA-HR,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/490660806a110add934c6bde683892df.pdf?productCode=C3715384,0,14.2683,1,1,https://www.lcsc.com/product-detail/C3715384.html,DO-214AA(SMBJ),Tape & Reel (TR),Bidirectional,13.6V,50uA,TVS,600W,-65℃~+150℃,8V,8.89V,1,44.2A
