"LCSC Part#","MPN","Manufacturer","Availability","Minimum","Multiples","Product Detail","Package","Packaging","Number of Lines","Impedance @ Frequency","Tolerance","DC Resistance(DCR)","Current Rating","Operating Temperature"
"C79382","BLM21PG121SN1D","muRata","181220","20","20","https://www.lcsc.com/product-detail/C79382.html","0805","Tape & Reel (TR)","1","120Ω@100MHz","±25%","30mΩ","3A","-55℃~+125℃"
"C79913","BLM18PG331SN1D","muRata","115400","50","50","https://www.lcsc.com/product-detail/C79913.html","0603","Tape & Reel (TR)","1","330Ω@100MHz","±25%","150mΩ","1.2A","-55℃~+125℃"
"C80165","BLM18PG221SN1D","muRata","18200","100","100","https://www.lcsc.com/product-detail/C80165.html","0603","Tape & Reel (TR)","1","220Ω@100MHz","±25%","100mΩ","1.4A","-55℃~+125℃"
"C80983","MPZ2012S102ATD25","TDK","27880","20","20","https://www.lcsc.com/product-detail/C80983.html","0805","Tape & Reel (TR)","1","1kΩ@100MHz","±25%","150mΩ","1.5A","-55℃~+125℃"
"C81034","MPZ2012S601ATD25","TDK","245990","10","10","https://www.lcsc.com/product-detail/C81034.html","0805","Tape & Reel (TR)","1","600Ω@100MHz","±25%","100mΩ","2A","-55℃~+125℃"
"C82155","BLM18HE152SN1D","muRata","373660","10","10","https://www.lcsc.com/product-detail/C82155.html","0603","Tape & Reel (TR)","1","1.5kΩ@100MHz","±25%","500mΩ","500mA","-55℃~+125℃"
"C82848","BLM18HG102SN1D","muRata","33260","20","20","https://www.lcsc.com/product-detail/C82848.html","0603","Tape & Reel (TR)","1","1kΩ@100MHz","±25%","1.6Ω","100mA","-55℃~+125℃"
"C82850","BLM18PG181SN1D","muRata","508800","50","50","https://www.lcsc.com/product-detail/C82850.html","0603","Tape & Reel (TR)","1","180Ω@100MHz","±25%","90mΩ","1.5A","-55℃~+125℃"
"C82861","BLM15EG121SN1D","muRata","33610","10","10","https://www.lcsc.com/product-detail/C82861.html","0402","Tape & Reel (TR)","1","120Ω@100MHz","±25%","95mΩ","1.5A","-55℃~+125℃"
"C82880","BLM15BB750SN1D","muRata","1500","100","100","https://www.lcsc.com/product-detail/C82880.html","0402","Tape & Reel (TR)","1","75Ω@100MHz","±25%","400mΩ","300mA","-55℃~+125℃"
"C85812","BLM15AG121SN1D","muRata","949100","100","100","https://www.lcsc.com/product-detail/C85812.html","0402","Tape & Reel (TR)","1","120Ω@100MHz","±25%","190mΩ","550mA","-55℃~+125℃"
"C85813","BLM15AG221SN1D","muRata","336800","100","100","https://www.lcsc.com/product-detail/C85813.html","0402","Tape & Reel (TR)","1","220Ω@100MHz","±25%","290mΩ","450mA","-55℃~+125℃"
"C85814","BLM15AG700SN1D","muRata","92850","50","50","https://www.lcsc.com/product-detail/C85814.html","0402","Tape & Reel (TR)","1","70Ω@100MHz","±25%","150mΩ","600mA","-55℃~+125℃"
"C85815","BLM15AX102SN1D","muRata","112600","100","100","https://www.lcsc.com/product-detail/C85815.html","0402","Tape & Reel (TR)","1","1kΩ@100MHz","±25%","490mΩ","350mA","-55℃~+125℃"
"C85816","BLM15BA220SN1D","muRata","42900","100","100","https://www.lcsc.com/product-detail/C85816.html","0402","Tape & Reel (TR)","1","22Ω@100MHz","±25%","300mΩ","300mA","-55℃~+125℃"
"C85817","BLM15BB121SN1D","muRata","4500","50","50","https://www.lcsc.com/product-detail/C85817.html","0402","Tape & Reel (TR)","1","120Ω@100MHz","±25%","550mΩ","300mA","-55℃~+125℃"
"C85818","BLM15BB221SN1D","muRata","29050","50","50","https://www.lcsc.com/product-detail/C85818.html","0402","Tape & Reel (TR)","1","220Ω@100MHz","±25%","800mΩ","200mA","-55℃~+125℃"
"C85819","BLM15BD102SN1D","muRata","19200","50","50","https://www.lcsc.com/product-detail/C85819.html","0402","Tape & Reel (TR)","1","1kΩ@100MHz","±25%","900mΩ","200mA","-55℃~+125℃"
"C85820","BLM15BD182SN1D","muRata","5300","100","100","https://www.lcsc.com/product-detail/C85820.html","0402","Tape & Reel (TR)","1","1.8kΩ@100MHz","±25%","1.4Ω","100mA","-55℃~+125℃"
"C85821","BLM15EG221SN1D","muRata","29100","20","20","https://www.lcsc.com/product-detail/C85821.html","0402","Tape & Reel (TR)","1","220Ω@100MHz","±25%","280mΩ","700mA","-55℃~+125℃"
"C85822","BLM15PD300SN1D","muRata","18350","50","50","https://www.lcsc.com/product-detail/C85822.html","0402","Tape & Reel (TR)","1","30Ω@100MHz","±25%","35mΩ","2.2A","-55℃~+125℃"
"C85823","BLM15PG100SN1D","muRata","17500","50","50","https://www.lcsc.com/product-detail/C85823.html","0402","Tape & Reel (TR)","1","10Ω@100MHz","±25%","25mΩ","1A","-55℃~+125℃"
"C85824","BLM18AG102SN1D","muRata","344400","50","50","https://www.lcsc.com/product-detail/C85824.html","0603","Tape & Reel (TR)","1","1kΩ@100MHz","±25%","500mΩ","450mA","-55℃~+125℃"
"C85826","BLM18BB221SN1D","muRata","26550","50","50","https://www.lcsc.com/product-detail/C85826.html","0603","Tape & Reel (TR)","1","220Ω@100MHz","±25%","450mΩ","450mA","-55℃~+125℃"
"C85827","BLM18EG221SN1D","muRata","214420","10","10","https://www.lcsc.com/product-detail/C85827.html","0603","Tape & Reel (TR)","1","220Ω@100MHz","±25%","50mΩ","2A","-55℃~+125℃"
"C85828","BLM18HE102SN1D","muRata","106850","10","10","https://www.lcsc.com/product-detail/C85828.html","0603","Tape & Reel (TR)","1","1kΩ@100MHz","±25%","350mΩ","600mA","-55℃~+125℃"
"C85829","BLM18HG471SN1D","muRata","3980","20","20","https://www.lcsc.com/product-detail/C85829.html","0603","Tape & Reel (TR)","1","470Ω@100MHz","±25%","850mΩ","200mA","-55℃~+125℃"
"C85830","BLM18HG601SN1D","muRata","37140","10","10","https://www.lcsc.com/product-detail/C85830.html","0603","Tape & Reel (TR)","1","600Ω@100MHz","±25%","1Ω","200mA","-55℃~+125℃"
"C85831","BLM18KG121TN1D","muRata","775550","50","50","https://www.lcsc.com/product-detail/C85831.html","0603","Tape & Reel (TR)","1","120Ω@100MHz","±25%","30mΩ","3A","-55℃~+125℃"
"C85832","BLM18KG331SN1D","muRata","31560","20","20","https://www.lcsc.com/product-detail/C85832.html","0603","Tape & Reel (TR)","1","330Ω@100MHz","±25%","80mΩ","1.7A","-55℃~+125℃"
"C85833","BLM18KG601SN1D","muRata","1154200","50","50","https://www.lcsc.com/product-detail/C85833.html","0603","Tape & Reel (TR)","1","600Ω@100MHz","±25%","150mΩ","1.3A","-55℃~+125℃"
"C85834","BLM18PG600SN1D","muRata","202200","50","50","https://www.lcsc.com/product-detail/C85834.html","0603","Tape & Reel (TR)","1","60Ω@100MHz","±25%","100mΩ","1A","-55℃~+125℃"
"C85835","BLM21AG102SN1D","muRata","49460","20","20","https://www.lcsc.com/product-detail/C85835.html","0805","Tape & Reel (TR)","1","1kΩ@100MHz","±25%","280mΩ","600mA","-55℃~+125℃"
"C85836","BLM21AG151SN1D","muRata","6260","10","10","https://www.lcsc.com/product-detail/C85836.html","0805","Tape & Reel (TR)","1","150Ω@100MHz","±25%","100mΩ","1A","-55℃~+125℃"
"C85837","BLM21AG601SN1D","muRata","106300","20","20","https://www.lcsc.com/product-detail/C85837.html","0805","Tape & Reel (TR)","1","600Ω@100MHz","±25%","210mΩ","700mA","-55℃~+125℃"
"C85838","BLM21BD222TN1D","muRata","4400","10","10","https://www.lcsc.com/product-detail/C85838.html","0805","Tape & Reel (TR)","1","2.2kΩ@100MHz","±25%","600mΩ","200mA","-55℃~+125℃"
"C85839","BLM21BD272SN1L","muRata","60860","10","10","https://www.lcsc.com/product-detail/C85839.html","0805","Tape & Reel (TR)","1","2.7kΩ@100MHz","±25%","800mΩ","200mA","-55℃~+125℃"
"C85840","BLM21PG221SN1D","muRata","567740","20","20","https://www.lcsc.com/product-detail/C85840.html","0805","Tape & Reel (TR)","1","220Ω@100MHz","±25%","45mΩ","2A","-55℃~+125℃"
"C87063","BLM18SG260TN1D","muRata","43350","10","10","https://www.lcsc.com/product-detail/C87063.html","0603","Tape & Reel (TR)","1","26Ω@100MHz","±25%","7mΩ","6A","-55℃~+125℃"
"C87549","MMZ1005S241CT000","TDK","29670","10","10","https://www.lcsc.com/product-detail/C87549.html","0402","Tape & Reel (TR)","1","240Ω@100MHz","±25%","280mΩ","400mA","-55℃~+125℃"
"C87550","MMZ1005S601ET000","TDK","1380","10","10","https://www.lcsc.com/product-detail/C87550.html","0402","Tape & Reel (TR)","1","600Ω@100MHz","±25%","650mΩ","300mA","-55℃~+125℃"
"C87552","MMZ1005Y601CT000","TDK","9000","100","100","https://www.lcsc.com/product-detail/C87552.html","0402","Tape & Reel (TR)","1","600Ω@100MHz","±25%","540mΩ","250mA","-55℃~+125℃"
"C87553","MMZ1608Y600BTA00","TDK","3650","50","50","https://www.lcsc.com/product-detail/C87553.html","0603","Tape & Reel (TR)","1","60Ω@100MHz","±25%","150mΩ","500mA","-55℃~+125℃"
"C87554","MPZ1608D101BTA00","TDK","7390","10","10","https://www.lcsc.com/product-detail/C87554.html","0603","Tape & Reel (TR)","1","100Ω@100MHz","±25%","150mΩ","1A","-55℃~+125℃"
"C87555","MPZ1608S471ATA00","TDK","18100","50","50","https://www.lcsc.com/product-detail/C87555.html","0603","Tape & Reel (TR)","1","470Ω@100MHz","±25%","150mΩ","1A","-55℃~+125℃"
"C88961","BLM15BA330SN1D","muRata","14550","50","50","https://www.lcsc.com/product-detail/C88961.html","0402","Tape & Reel (TR)","1","33Ω@100MHz","±25%","400mΩ","300mA","-55℃~+125℃"
"C88964","BLM15GG471SN1D","muRata","10040","5","5","https://www.lcsc.com/product-detail/C88964.html","0402","Tape & Reel (TR)","1","470Ω@100MHz","±25%","1.3Ω","200mA","-55℃~+125℃"
"C88965","BLM15HB121SN1D","muRata","850","50","50","https://www.lcsc.com/product-detail/C88965.html","0402","Tape & Reel (TR)","1","120Ω@100MHz","±25%","700mΩ","300mA","-55℃~+125℃"
"C88966","BLM15HB221SN1D","muRata","25150","50","50","https://www.lcsc.com/product-detail/C88966.html","0402","Tape & Reel (TR)","1","220Ω@100MHz","±25%","1Ω","250mA","-55℃~+125℃"
"C88967","BLM15HD601SN1D","muRata","52500","50","50","https://www.lcsc.com/product-detail/C88967.html","0402","Tape & Reel (TR)","1","600Ω@100MHz","±25%","850mΩ","300mA","-55℃~+125℃"
"C88969","BLM15PD600SN1D","muRata","68250","50","50","https://www.lcsc.com/product-detail/C88969.html","0402","Tape & Reel (TR)","1","60Ω@100MHz","±25%","60mΩ","1.7A","-55℃~+125℃"
"C88970","BLM15PX121SN1D","muRata","322200","20","20","https://www.lcsc.com/product-detail/C88970.html","0402","Tape & Reel (TR)","1","120Ω@100MHz","±25%","55mΩ","2A","-55℃~+125℃"
"C88971","BLM18AG221SN1D","muRata","90950","50","50","https://www.lcsc.com/product-detail/C88971.html","0603","Tape & Reel (TR)","1","220Ω@100MHz","±25%","250mΩ","700mA","-55℃~+125℃"
"C88972","BLM18AG471SN1D","muRata","31450","50","50","https://www.lcsc.com/product-detail/C88972.html","0603","Tape & Reel (TR)","1","470Ω@100MHz","±25%","350mΩ","550mA","-55℃~+125℃"
"C88973","BLM18BA100SN1D","muRata","3060","10","10","https://www.lcsc.com/product-detail/C88973.html","0603","Tape & Reel (TR)","1","10Ω@100MHz","±25%","250mΩ","500mA","-55℃~+125℃"
"C88974","BLM18BB050SN1D","muRata","5700","50","50","https://www.lcsc.com/product-detail/C88974.html","0603","Tape & Reel (TR)","1","5Ω@100MHz","±25%","50mΩ","700mA","-55℃~+125℃"
"C88975","BLM18BB220SN1D","muRata","3600","50","50","https://www.lcsc.com/product-detail/C88975.html","0603","Tape & Reel (TR)","1","22Ω@100MHz","±25%","200mΩ","700mA","-55℃~+125℃"
"C88976","BLM18BD601SN1D","muRata","99600","50","50","https://www.lcsc.com/product-detail/C88976.html","0603","Tape & Reel (TR)","1","600Ω@100MHz","±25%","650mΩ","200mA","-55℃~+125℃"
"C88977","BLM18GG471SN1D","muRata","3835","5","5","https://www.lcsc.com/product-detail/C88977.html","0603","Tape & Reel (TR)","1","470Ω@100MHz","±25%","1.3Ω","200mA","-55℃~+125℃"
"C88978","BLM18HD601SN1D","muRata","42440","20","20","https://www.lcsc.com/product-detail/C88978.html","0603","Tape & Reel (TR)","1","600Ω@100MHz","±25%","1.5Ω","100mA","-55℃~+125℃"
"C88979","BLM18HE601SN1D","muRata","19380","20","20","https://www.lcsc.com/product-detail/C88979.html","0603","Tape & Reel (TR)","1","600Ω@100MHz","±25%","250mΩ","800mA","-55℃~+125℃"
"C88980","BLM18KG221SN1D","muRata","146700","20","20","https://www.lcsc.com/product-detail/C88980.html","0603","Tape & Reel (TR)","1","220Ω@100MHz","±25%","50mΩ","2.2A","-55℃~+125℃"
"C88981","BLM18KG260TN1D","muRata","52100","20","20","https://www.lcsc.com/product-detail/C88981.html","0603","Tape & Reel (TR)","1","26Ω@100MHz","±25%","7mΩ","6A","-55℃~+125℃"
"C88982","BLM18KG300TN1D","muRata","39650","50","50","https://www.lcsc.com/product-detail/C88982.html","0603","Tape & Reel (TR)","1","30Ω@100MHz","±25%","10mΩ","5A","-55℃~+125℃"
"C88983","BLM18PG330SH1D","muRata","14540","20","20","https://www.lcsc.com/product-detail/C88983.html","0603","Tape & Reel (TR)","1","33Ω@100MHz","±25%","25mΩ","3A","-55℃~+125℃"
"C88984","BLM18PG330SN1D","muRata","242500","50","50","https://www.lcsc.com/product-detail/C88984.html","0603","Tape & Reel (TR)","1","33Ω@100MHz","±25%","25mΩ","3A","-55℃~+125℃"
"C88985","BLM18PG600SH1D","muRata","3800","20","20","https://www.lcsc.com/product-detail/C88985.html","0603","Tape & Reel (TR)","1","60Ω@100MHz","±25%","100mΩ","1A","-55℃~+125℃"
"C88986","BLM18RK102SN1D","muRata","122900","20","20","https://www.lcsc.com/product-detail/C88986.html","0603","Tape & Reel (TR)","1","1kΩ@100MHz","±25%","800mΩ","200mA","-55℃~+125℃"
"C88987","BLM18RK601SN1D","muRata","1650","50","50","https://www.lcsc.com/product-detail/C88987.html","0603","Tape & Reel (TR)","1","600Ω@100MHz","±25%","600mΩ","200mA","-55℃~+125℃"
"C88988","BLM18SG221TN1D","muRata","59740","20","20","https://www.lcsc.com/product-detail/C88988.html","0603","Tape & Reel (TR)","1","220Ω@100MHz","±25%","40mΩ","2.5A","-55℃~+125℃"
"C88989","BLM18SG331TN1D","muRata","41530","10","10","https://www.lcsc.com/product-detail/C88989.html","0603","Tape & Reel (TR)","1","330Ω@100MHz","±25%","70mΩ","1.5A","-55℃~+125℃"
"C88990","BLM21AG121SN1D","muRata","59320","20","20","https://www.lcsc.com/product-detail/C88990.html","0805","Tape & Reel (TR)","1","120Ω@100MHz","±25%","100mΩ","1A","-55℃~+125℃"
"C88991","BLM21AG221SN1D","muRata","12695","5","5","https://www.lcsc.com/product-detail/C88991.html","0805","Tape & Reel (TR)","1","220Ω@100MHz","±25%","130mΩ","900mA","-55℃~+125℃"
"C88992","BLM21AG331SN1D","muRata","460","10","10","https://www.lcsc.com/product-detail/C88992.html","0805","Tape & Reel (TR)","1","330Ω@100MHz","±25%","160mΩ","800mA","-55℃~+125℃"
"C88993","BLM21PG220SN1D","muRata","89580","20","20","https://www.lcsc.com/product-detail/C88993.html","0805","Tape & Reel (TR)","1","22Ω@100MHz","±25%","9mΩ","6A","-55℃~+125℃"
"C88994","BLM21PG221SH1D","muRata","72210","10","10","https://www.lcsc.com/product-detail/C88994.html","0805","Tape & Reel (TR)","1","220Ω@100MHz","±25%","45mΩ","2A","-"
"C89445","MMZ1608R102ATA00","TDK","28950","50","50","https://www.lcsc.com/product-detail/C89445.html","0603","Tape & Reel (TR)","1","1kΩ@100MHz","±25%","500mΩ","400mA","-55℃~+125℃"
"C89458","MMZ1005F121ET000","TDK","8310","10","10","https://www.lcsc.com/product-detail/C89458.html","0402","Tape & Reel (TR)","1","120Ω@100MHz","±25%","1.5Ω","200mA","-55℃~+125℃"
"C91573","BLM15AG121SH1D","muRata","12380","20","20","https://www.lcsc.com/product-detail/C91573.html","0402","Tape & Reel (TR)","1","120Ω@100MHz","±25%","250mΩ","500mA","-55℃~+125℃"
"C92036","MMZ1005S121CT000","TDK","19500","10","10","https://www.lcsc.com/product-detail/C92036.html","0402","Tape & Reel (TR)","1","120Ω@100MHz","±25%","220mΩ","500mA","-55℃~+125℃"
"C94131","BLM15BD221SN1D","muRata","8800","50","50","https://www.lcsc.com/product-detail/C94131.html","0402","Tape & Reel (TR)","1","220Ω@100MHz","±25%","400mΩ","300mA","-55℃~+125℃"
"C94265","MMZ1608S181ATA00","TDK","2100","10","10","https://www.lcsc.com/product-detail/C94265.html","0603","Tape & Reel (TR)","1","180Ω@100MHz","±25%","200mΩ","500mA","-55℃~+125℃"
"C97120","MMZ1608B601CTAH0","TDK","97230","10","10","https://www.lcsc.com/product-detail/C97120.html","0603","Tape & Reel (TR)","1","600Ω@100MHz","±25%","400mΩ","500mA","-55℃~+125℃"
"C97851","BLM18BD121SN1D","muRata","8160","20","20","https://www.lcsc.com/product-detail/C97851.html","0603","Tape & Reel (TR)","1","120Ω@100MHz","±25%","400mΩ","300mA","-55℃~+125℃"
"C97852","BLM18HK102SN1D","muRata","10940","20","20","https://www.lcsc.com/product-detail/C97852.html","0603","Tape & Reel (TR)","1","1kΩ@100MHz","±25%","1.5Ω","50mA","-55℃~+125℃"
"C97853","BLM18PG471SN1D","muRata","188150","50","50","https://www.lcsc.com/product-detail/C97853.html","0603","Tape & Reel (TR)","1","470Ω@100MHz","±25%","200mΩ","1A","-55℃~+125℃"
"C107324","MMZ1005Y121CT000","TDK","19050","50","50","https://www.lcsc.com/product-detail/C107324.html","0402","Tape & Reel (TR)","1","120Ω@100MHz","±25%","180mΩ","400mA","-55℃~+125℃"
"C107326","MMZ1608R601ATA00","TDK","8200","50","50","https://www.lcsc.com/product-detail/C107326.html","0603","Tape & Reel (TR)","1","600Ω@100MHz","±25%","400mΩ","500mA","-55℃~+125℃"
"C107328","MMZ1608S800ATA00","TDK","300","50","50","https://www.lcsc.com/product-detail/C107328.html","0603","Tape & Reel (TR)","1","80Ω@100MHz","±25%","150mΩ","500mA","-55℃~+125℃"
"C107331","MPZ1005S121CT000","TDK","5860","10","10","https://www.lcsc.com/product-detail/C107331.html","0402","Tape & Reel (TR)","1","120Ω@100MHz","±25%","90mΩ","1.2A","-55℃~+125℃"
"C107332","MPZ1608S101ATAH0","TDK","799350","10","10","https://www.lcsc.com/product-detail/C107332.html","0603","Tape & Reel (TR)","1","100Ω@100MHz","±25%","30mΩ","3A","-55℃~+125℃"
"C107335","MPZ1608S601ATA00","TDK","306420","10","10","https://www.lcsc.com/product-detail/C107335.html","0603","Tape & Reel (TR)","1","600Ω@100MHz","±25%","150mΩ","1A","-55℃~+125℃"
"C113008","BLM15BB100SN1D","muRata","12200","50","50","https://www.lcsc.com/product-detail/C113008.html","0402","Tape & Reel (TR)","1","10Ω@100MHz","±25%","100mΩ","300mA","-55℃~+125℃"
"C113009","BLM15GA750SN1D","muRata","11780","5","5","https://www.lcsc.com/product-detail/C113009.html","0402","Tape & Reel (TR)","1","75Ω@100MHz","±25%","1.3Ω","200mA","-55℃~+125℃"
"C113010","BLM18AG331SN1D","muRata","14850","50","50","https://www.lcsc.com/product-detail/C113010.html","0603","Tape & Reel (TR)","1","330Ω@100MHz","±25%","300mΩ","600mA","-55℃~+125℃"
"C113016","BLM18BB100SN1D","muRata","7820","20","20","https://www.lcsc.com/product-detail/C113016.html","0603","Tape & Reel (TR)","1","10Ω@100MHz","±25%","100mΩ","700mA","-55℃~+125℃"
"C113018","BLM18BB470SN1D","muRata","3950","50","50","https://www.lcsc.com/product-detail/C113018.html","0603","Tape & Reel (TR)","1","47Ω@100MHz","±25%","250mΩ","600mA","-55℃~+125℃"
"C113020","BLM18BD182SN1D","muRata","450","50","50","https://www.lcsc.com/product-detail/C113020.html","0603","Tape & Reel (TR)","1","1.8kΩ@100MHz","±25%","1.5Ω","150mA","-55℃~+125℃"
"C113022","BLM18BD222SN1D","muRata","5360","20","20","https://www.lcsc.com/product-detail/C113022.html","0603","Tape & Reel (TR)","1","2.2kΩ@100MHz","±25%","1.5Ω","150mA","-55℃~+125℃"
"C113023","BLM18BD421SN1D","muRata","1850","50","50","https://www.lcsc.com/product-detail/C113023.html","0603","Tape & Reel (TR)","1","420Ω@100MHz","±25%","550mΩ","250mA","-55℃~+125℃"
"C113024","BLM18BD471SN1D","muRata","490","10","10","https://www.lcsc.com/product-detail/C113024.html","0603","Tape & Reel (TR)","1","470Ω@100MHz","±25%","550mΩ","250mA","-55℃~+125℃"
"C113025","BLM18EG221TN1D","muRata","8430","10","10","https://www.lcsc.com/product-detail/C113025.html","0603","Tape & Reel (TR)","1","220Ω@100MHz","±25%","150mΩ","1A","-55℃~+125℃"
